Band,t_max_f,day_score,day_label,night_score,night_label
1,20,0.0,Unacceptable,0.0,Unacceptable
2,24,0.0,Unacceptable,1.0,Undesirable
3,29,1.0,Undesirable,1.0,Undesirable
4,34,1.0,Undesirable,1.0,Undesirable
5,39,2.0,Acceptable,2.0,Acceptable
6,44,2.0,Acceptable,2.0,Acceptable
7,49,3.0,Desirable,2.0,Acceptable
8,54,3.0,Desirable,3.0,Desirable
9,59,3.0,Desirable,3.0,Desirable
10,64,3.0,Desirable,3.0,Desirable
11,69,3.0,Desirable,3.0,Desirable
12,74,2.0,Acceptable,1.0,Undesirable
13,79,2.0,Acceptable,1.0,Undesirable
14,84,1.0,Undesirable,0.0,Unacceptable
15,89,0.0,Unacceptable,0.0,Unacceptable
