id,state_code,div_no,month,tmax_f,tmin_f,pcpn_in,climdiv_id
1001,1,1,1,50.90,30.50,5.25,101
1002,1,1,2,55.30,33.60,5.34,101
1003,1,1,3,64.10,40.10,5.45,101
1004,1,1,4,73.10,47.60,5.32,101
1005,1,1,5,80.20,56.80,4.66,101
1006,1,1,6,86.80,64.70,4.46,101
1007,1,1,7,89.60,68.20,4.85,101
1008,1,1,8,89.30,66.90,4.16,101
1009,1,1,9,84.20,60.30,3.82,101
1010,1,1,10,73.90,48.70,3.83,101
1011,1,1,11,62.40,38.30,4.38,101
1012,1,1,12,53.60,33.30,6.06,101
1013,1,2,1,51.40,31.70,5.43,102
1014,1,2,2,56.00,34.90,5.32,102
1015,1,2,3,64.30,41.40,5.58,102
1016,1,2,4,72.90,48.60,5.24,102
1017,1,2,5,79.90,57.50,4.46,102
1018,1,2,6,86.30,65.20,4.75,102
1019,1,2,7,89.00,68.60,4.73,102
1020,1,2,8,88.70,67.60,4.03,102
1021,1,2,9,83.80,61.50,4.04,102
1022,1,2,10,73.80,50.10,3.66,102
1023,1,2,11,62.60,39.70,4.55,102
1024,1,2,12,54.10,34.50,5.68,102
1025,1,3,1,54.30,32.90,5.46,103
1026,1,3,2,59.00,36.40,5.59,103
1027,1,3,3,67.20,42.60,5.43,103
1028,1,3,4,75.10,49.40,5.42,103
1029,1,3,5,82.10,58.40,4.34,103
1030,1,3,6,88.10,66.40,4.62,103
1031,1,3,7,90.80,69.70,4.79,103
1032,1,3,8,90.50,68.80,4.18,103
1033,1,3,9,85.70,63.00,3.77,103
1034,1,3,10,75.90,51.10,3.57,103
1035,1,3,11,64.80,40.50,4.46,103
1036,1,3,12,56.60,35.50,5.59,103
1037,1,4,1,53.80,32.50,5.22,104
1038,1,4,2,58.40,35.70,5.34,104
1039,1,4,3,66.40,42.00,5.49,104
1040,1,4,4,74.50,48.50,4.85,104
1041,1,4,5,81.40,57.40,4.32,104
1042,1,4,6,87.50,65.50,4.63,104
1043,1,4,7,90.20,69.10,4.55,104
1044,1,4,8,89.70,68.10,4.06,104
1045,1,4,9,85.00,61.90,3.85,104
1046,1,4,10,75.20,50.50,3.46,104
1047,1,4,11,64.40,39.80,4.36,104
1048,1,4,12,56.10,35.10,5.22,104
1049,1,5,1,55.50,33.00,5.19,105
1050,1,5,2,60.10,36.20,5.19,105
1051,1,5,3,67.70,42.30,5.44,105
1052,1,5,4,75.20,48.40,4.66,105
1053,1,5,5,82.10,57.20,4.06,105
1054,1,5,6,87.60,65.20,4.66,105
1055,1,5,7,90.30,68.60,4.87,105
1056,1,5,8,89.40,67.70,4.24,105
1057,1,5,9,85.00,62.00,3.63,105
1058,1,5,10,75.50,50.80,3.29,105
1059,1,5,11,65.50,40.20,4.29,105
1060,1,5,12,57.60,35.50,5.45,105
1061,1,6,1,57.30,35.30,5.06,106
1062,1,6,2,62.00,38.90,5.21,106
1063,1,6,3,69.70,45.00,5.32,106
1064,1,6,4,76.60,51.30,4.53,106
1065,1,6,5,83.80,60.10,3.86,106
1066,1,6,6,89.30,67.80,4.60,106
1067,1,6,7,91.60,70.90,4.78,106
1068,1,6,8,91.10,70.10,4.26,106
1069,1,6,9,87.00,64.80,3.70,106
1070,1,6,10,77.70,53.20,3.19,106
1071,1,6,11,67.20,42.30,4.11,106
1072,1,6,12,59.40,37.70,5.12,106
1073,1,7,1,59.60,37.00,5.31,107
1074,1,7,2,64.10,40.40,4.90,107
1075,1,7,3,71.30,46.20,5.27,107
1076,1,7,4,77.70,51.90,4.59,107
1077,1,7,5,84.80,60.50,3.92,107
1078,1,7,6,89.60,68.00,5.34,107
1079,1,7,7,91.50,70.70,5.69,107
1080,1,7,8,90.80,70.00,5.08,107
1081,1,7,9,87.20,65.30,4.42,107
1082,1,7,10,78.70,54.20,3.44,107
1083,1,7,11,68.90,43.60,4.15,107
1084,1,7,12,61.70,39.30,5.41,107
1085,1,8,1,61.50,40.40,5.45,108
1086,1,8,2,65.50,43.80,4.56,108
1087,1,8,3,71.90,49.40,5.23,108
1088,1,8,4,77.80,55.20,5.11,108
1089,1,8,5,84.70,63.20,4.65,108
1090,1,8,6,89.40,70.20,6.38,108
1091,1,8,7,91.00,72.50,7.23,108
1092,1,8,8,90.80,71.90,6.43,108
1093,1,8,9,87.50,68.00,5.62,108
1094,1,8,10,79.70,57.30,3.98,108
1095,1,8,11,70.50,47.00,4.36,108
1096,1,8,12,63.70,42.60,5.24,108
1097,2,1,1,55.60,34.30,1.17,201
1098,2,1,2,58.80,36.40,1.42,201
1099,2,1,3,65.80,41.00,1.07,201
1100,2,1,4,73.00,46.10,0.49,201
1101,2,1,5,82.70,54.60,0.34,201
1102,2,1,6,93.50,64.00,0.14,201
1103,2,1,7,97.70,70.80,0.95,201
1104,2,1,8,96.00,69.50,1.15,201
1105,2,1,9,89.70,62.60,0.76,201
1106,2,1,10,77.40,51.30,0.79,201
1107,2,1,11,64.60,40.50,0.64,201
1108,2,1,12,54.40,33.60,0.94,201
1109,2,2,1,45.80,21.10,1.12,202
1110,2,2,2,50.40,24.30,1.07,202
1111,2,2,3,58.10,29.50,1.01,202
1112,2,2,4,65.50,34.60,0.52,202
1113,2,2,5,74.90,42.40,0.50,202
1114,2,2,6,86.10,51.20,0.24,202
1115,2,2,7,89.10,58.70,1.62,202
1116,2,2,8,86.20,57.50,1.92,202
1117,2,2,9,80.20,49.90,1.22,202
1118,2,2,10,68.60,38.20,0.98,202
1119,2,2,11,55.80,27.90,0.77,202
1120,2,2,12,45.20,20.40,1.01,202
1121,2,3,1,56.60,30.70,1.70,203
1122,2,3,2,59.10,32.60,1.87,203
1123,2,3,3,65.30,36.70,1.48,203
1124,2,3,4,72.10,41.20,0.57,203
1125,2,3,5,81.00,48.90,0.40,203
1126,2,3,6,91.50,57.40,0.18,203
1127,2,3,7,94.40,64.90,1.79,203
1128,2,3,8,92.20,63.90,2.39,203
1129,2,3,9,87.10,57.30,1.40,203
1130,2,3,10,76.60,46.40,0.99,203
1131,2,3,11,65.10,36.30,0.94,203
1132,2,3,12,55.50,30.00,1.48,203
1133,2,4,1,56.00,31.20,2.25,204
1134,2,4,2,59.00,33.30,2.22,204
1135,2,4,3,65.40,37.50,1.75,204
1136,2,4,4,72.60,42.20,0.61,204
1137,2,4,5,81.40,49.40,0.46,204
1138,2,4,6,91.80,58.40,0.27,204
1139,2,4,7,93.60,65.20,2.36,204
1140,2,4,8,91.30,64.20,2.74,204
1141,2,4,9,86.70,58.30,1.54,204
1142,2,4,10,76.60,47.60,1.21,204
1143,2,4,11,64.60,37.50,1.30,204
1144,2,4,12,55.00,30.80,1.89,204
1145,2,5,1,67.50,41.90,0.69,205
1146,2,5,2,71.10,44.60,0.75,205
