"state","division","march_max","april_max","rank_st"
"GA","SOUTHEAST","72.6","79.2","1"
"GA","EAST CENTRAL","69.9","77.3","4"
"GA","NORTHWEST","63.9","72.8","8"
"AL","GULF","71.9","77.8","1"
"AL","PIEDMONT PLATEAU","67.7","75.2","4"
"AL","APPALACHIAN MOUNTAIN","64.3","72.9","8"
"MS","COASTAL","71.7","77.6","1"
"MS","SOUTHWEST","70.4","77.0","4"
"MS","UPPER DELTA","64.8","73.9","8"
"AR","SOUTH CENTRAL","66.9","75.0","1"
"AR","CENTRAL","64.5","73.4","4"
"AR","NORTH CENTRAL","60.7","70.3","8"
"KS","SOUTHWEST","60.2","68.8","1"
"KS","CENTRAL","57.5","67.1","4"
"KS","NORTHEAST","54.9","65.4","8"
"OK","SOUTHWEST","65.5","74.1","1"
"OK","CENTRAL","63.6","72.4","4"
"OK","NORTHEAST","61.6","70.9","8"
"NM","SOUTHERN DESERT","68.7","76.2","1"
"NM","NORTHEASTERN PLAINS","63.3","70.9","4"
"NM","NORTHERN MOUNTAINS","53.4","60.3","8"
"AZ","SOUTHWEST","77.9","85.0","1"
"AZ","NORTHWEST","65.8","73.0","4"
"NV","EXTREME SOUTHERN","67.7","75.0","1"
"NV","NORTHEASTERN","49.5","55.5","4"
