lon,lat,name,type,open,sites,elev,amenities,state
-113.579,34.231,Alamo Lake State Park,SP,all year,80, ,E DP 35ft FT DW SH RS ,AZ
-109.153,33.895,Alpine Divide,NF,mid may-mid sep,12,8579,NH ND 24ft VT DW NS NR L$ ,AZ
-112.561,34.589,Alto Pit,NF, ,10,6097,NH ND VT NW NS NR ,AZ
-110.366,31.560,Apache Flats Military -  Fort Huachuca,MIL, , ,4946,E DP FT DW SH RS ,AZ
-109.819,32.649,Arcadia,NF, ,19,6709,NH ND 22ft VT DW NS NR L$ ,AZ
-111.409,35.018,Ashurst Lake,NF, ,25,7152,NH ND 22ft VT DW NS NR N$ ,AZ
-110.946,34.327,Aspen,NF,mid apr-mid nov,148,7635,NH ND 32ft VT DW NS NR ,AZ
-109.314,33.807,Aspen,NF, ,6,7831,NH DP 25ft VT DW NS RS PA L$ ,AZ
-111.204,33.714,Bachelors Cove,NF,all year,100,2146,NH ND VT NW NS NR ,AZ
-111.639,33.840,Bartlett Flat,NF, , ,1854,NH ND VT NW NS NR ,AZ
-109.307,31.781,Bathtub,NF, ,11,6132,NH NR ,AZ
-111.714,34.670,Beaver Creek,NF, ,13,3793,NH ND 22ft VT DW NS NR ,AZ
-109.449,34.044,Benny Creek,NF,mid may-mid sep,24,8278,NH DP 24ft VT DW NS NR L$ ,AZ
-111.226,33.746,Bermuda Flat,NF, , ,2130,NH ND 32ft PT NW NS NR ,AZ
-110.743,34.305,Black Canyon Rim,NF,mid may-mid nov,21,7598,NH ND 16ft VT DW NS NR ,AZ
-109.080,33.057,Black Jack,NF, ,10,6276,NH ND VT NW NS NR N$ ,AZ
-111.201,34.591,Blue Ridge,NF,mid may-mid sep,10,6952,NH ND 32ft VT DW NS NR L$ ,AZ
-110.876,31.727,Bog Springs,NF, ,13,5023,NH ND 22ft VT DW NS NR L$ ,AZ
-109.355,32.011,Bonita Canyon - Chiricahua National Monument,NP, ,22,5361,NH ND 29ft FT DW NS NR ,AZ
-109.576,33.065,Bonito,NF, ,44,6900,NH ND 42ft FT DW NS NR ,AZ
-111.556,35.372,Bonito - Sunset Crater National Monument,NP,mid may-mid oct,44,6959,NH ND 35ft FT DW NS NR ,AZ
-111.750,34.969,Bootlegger,NF, ,10,5217,VT NW NR ,AZ
-109.918,34.071,Bootlegger,NF, ,10,7081,NH ND VT DW NS NR ,AZ
-114.020,33.928,Bouse Community Park,CP, ,25, ,E ND FT DW NS ,AZ
-111.660,33.740,Box Bar,NF, ,20,1526,NH ND VT NS NR ,AZ
-109.413,33.876,Brookchar,NF,mid may-mid nov,13,9012,NH DP FT DW SH RS PA ,AZ
-112.642,33.277,Buckeye Hills Co Park,CP,all year, , ,NH ND VT NW NS N$ ,AZ
-114.161,34.254,Buckskin State Park,SP,all year,89, ,E DP 35ft FT DW SH RS ,AZ
-109.355,33.768,Buffalo Crossing,NF,mid may-mid oct,16,7575,NH ND 20ft VT DW NS NR L$ ,AZ
-111.203,33.626,Burnt Corral,NF, ,13,1949,NH ND 22ft VT DW NS NR L$ ,AZ
-113.450,34.538,Burro Creek,BLM,all year,22,1932,NH DP 45ft FT DW NS NR L$ ,AZ
-109.370,31.758,Camp Rucker, , , ,5577,NH ,AZ
-110.823,34.320,Canyon Point,NF,early may-mid nov,88,7710,E DP 75ft VT DW SH RS PA ,AZ
-111.599,35.125,Canyon Vista,NF,mid may-mid oct,11,6837,NH ND 22ft VT DW NS NR ,AZ
-110.938,32.416,Catalina State Park,SP,all year,120,2644,E DP 35ft FT DW SH RS ,AZ
