name,state,place_type,subtype,favorite,lon,lat
Alamo Lake State Park,AZ,camps,SP,FALSE,-113.579,34.231
Alpine Divide,AZ,camps,NF,FALSE,-109.153,33.895
Alto Pit,AZ,camps,NF,FALSE,-112.561,34.589
Apache Flats Military -  Fort Huachuca,AZ,camps,MIL,FALSE,-110.366,31.56
Arcadia,AZ,camps,NF,FALSE,-109.819,32.649
Ashurst Lake,AZ,camps,NF,FALSE,-111.409,35.018
Aspen,AZ,camps,NF,FALSE,-110.946,34.327
Aspen,AZ,camps,NF,FALSE,-109.314,33.807
Bachelors Cove,AZ,camps,NF,FALSE,-111.204,33.714
Bartlett Flat,AZ,camps,NF,FALSE,-111.639,33.84
Bathtub,AZ,camps,NF,FALSE,-109.307,31.781
Beaver Creek,AZ,camps,NF,FALSE,-111.714,34.67
Benny Creek,AZ,camps,NF,FALSE,-109.449,34.044
Bermuda Flat,AZ,camps,NF,FALSE,-111.226,33.746
Black Canyon Rim,AZ,camps,NF,FALSE,-110.743,34.305
Black Jack,AZ,camps,NF,FALSE,-109.08,33.057
Blue Ridge,AZ,camps,NF,FALSE,-111.201,34.591
Bog Springs,AZ,camps,NF,FALSE,-110.876,31.727
Bonita Canyon - Chiricahua National Monument,AZ,camps,NP,FALSE,-109.355,32.011
Bonito,AZ,camps,NF,FALSE,-109.576,33.065
Bonito - Sunset Crater National Monument,AZ,camps,NP,FALSE,-111.556,35.372
Bootlegger,AZ,camps,NF,FALSE,-111.75,34.969
Bootlegger,AZ,camps,NF,FALSE,-109.918,34.071
Bouse Community Park,AZ,camps,CP,FALSE,-114.02,33.928
Box Bar,AZ,camps,NF,FALSE,-111.66,33.74
Brookchar,AZ,camps,NF,FALSE,-109.413,33.876
Buckeye Hills Co Park,AZ,camps,CP,FALSE,-112.642,33.277
Buckskin State Park,AZ,camps,SP,FALSE,-114.161,34.254
Buffalo Crossing,AZ,camps,NF,FALSE,-109.355,33.768
Burnt Corral,AZ,camps,NF,FALSE,-111.203,33.626
Burro Creek,AZ,camps,BLM,FALSE,-113.45,34.538
Camp Rucker,AZ,camps, ,FALSE,-109.37,31.758
Canyon Point,AZ,camps,NF,FALSE,-110.823,34.32
Canyon Vista,AZ,camps,NF,FALSE,-111.599,35.125
Catalina State Park,AZ,camps,SP,FALSE,-110.938,32.416
Cattail Cove State Park,AZ,camps,SP,FALSE,-114.171,34.354
