"lat","lon","open","sites","elev"
"34.23100","-113.57900","all year","80"," "
"33.89500","-109.15300","mid may-mid sep","12","8579"
"34.58900","-112.56100"," ","10","6097"
"31.56000","-110.36600"," "," ","4946"
"32.64900","-109.81900"," ","19","6709"
"35.01800","-111.40900"," ","25","7152"
"34.32700","-110.94600","mid apr-mid nov","148","7635"
"33.80700","-109.31400"," ","6","7831"
"33.71400","-111.20400","all year","100","2146"
"33.84000","-111.63900"," "," ","1854"
"31.78100","-109.30700"," ","11","6132"
"34.67000","-111.71400"," ","13","3793"
"34.04400","-109.44900","mid may-mid sep","24","8278"
"33.74600","-111.22600"," "," ","2130"
"34.30500","-110.74300","mid may-mid nov","21","7598"
"33.05700","-109.08000"," ","10","6276"
"34.59100","-111.20100","mid may-mid sep","10","6952"
"31.72700","-110.87600"," ","13","5023"
"32.01100","-109.35500"," ","22","5361"
"33.06500","-109.57600"," ","44","6900"
"35.37200","-111.55600","mid may-mid oct","44","6959"
"34.96900","-111.75000"," ","10","5217"
"34.07100","-109.91800"," ","10","7081"
"33.92800","-114.02000"," ","25"," "
"33.74000","-111.66000"," ","20","1526"
"33.87600","-109.41300","mid may-mid nov","13","9012"
"33.27700","-112.64200","all year"," "," "
"34.25400","-114.16100","all year","89"," "
"33.76800","-109.35500","mid may-mid oct","16","7575"
"33.62600","-111.20300"," ","13","1949"
"34.53800","-113.45000","all year","22","1932"
"31.75800","-109.37000"," "," ","5577"
"34.32000","-110.82300","early may-mid nov","88","7710"
"35.12500","-111.59900","mid may-mid oct","11","6837"
"32.41600","-110.93800","all year","120","2644"
"34.35400","-114.17100","all year","61"," "
"33.82400","-112.01500"," ","38","1929"
"34.99600","-111.74000","early apr-late oct","82","5459"
"33.97100","-111.86500"," ","10","3379"
"33.78900","-113.56100"," "," ","1834"
"34.50900","-110.84100","mid mar-mid dec","10","6975"
"34.59100","-110.78800","all year","6","6158"
"34.35300","-111.70200","all year","30","2680"
"33.73200","-111.20300"," ","206","2195"
"33.71900","-111.20500"," ","20","2185"
"34.30800","-111.03500","early apr-late oct","43","5715"
"34.51500","-111.76500"," ","18","3238"
"34.55500","-111.31500","all year","7","6896"
"33.10300","-109.06000","all year","5","5748"
"31.92200","-109.96700"," ","10","4944"
"33.98100","-112.71100"," ","30"," "
"33.54700","-111.64600","mid oct - mid apr","5"," "
"33.44800","-114.90000"," ","29"," "
