"byway_id","name","designats","state","source","geom_geojson"
"1","Appalachian Medley","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-82.956612,35.572739],[-82.953323,35.577141],[-82.94503,35.581551],[-82.941071,35.589458],[-82.933693,35.598358],[-82.938347,35.604641],[-82.93795,35.608879],[-82.93457,35.61515],[-82.936378,35.6203],[-82.942963,35.628429],[-82.940819,35.644482],[-82.94339,35.6535],[-82.940788,35.66415],[-82.942963,35.6754],[-82.916344,35.676891],[-82.913651,35.67453],[-82.909523,35.67598],[-82.908821,35.678169],[-82.913643,35.681381],[-82.908752,35.684212],[-82.905403,35.689308],[-82.896553,35.688309],[-82.895447,35.685589],[-82.891029,35.689468],[-82.891533,35.692039],[-82.89006,35.69408],[-82.879898,35.702061],[-82.882202,35.707481],[-82.879227,35.711922],[-82.880661,35.718071],[-82.879982,35.723289],[-82.86602,35.734692],[-82.86834,35.742062],[-82.873123,35.746368],[-82.869621,35.750252],[-82.869461,35.754318],[-82.876251,35.756939],[-82.876602,35.758781],[-82.871117,35.783272],[-82.87204,35.78833],[-82.869621,35.793499],[-82.865372,35.791809],[-82.85273,35.800049],[-82.854218,35.80275],[-82.852951,35.807129],[-82.856102,35.812099],[-82.855621,35.81448],[-82.859741,35.817162],[-82.858047,35.819569],[-82.859459,35.82193],[-82.857208,35.824131],[-82.858498,35.828308],[-82.85582,35.830959],[-82.858871,35.832039],[-82.861588,35.830601],[-82.86306,35.832829],[-82.860901,35.834648],[-82.857841,35.834412],[-82.857437,35.837318],[-82.854752,35.837559],[-82.85495,35.839439],[-82.852531,35.841808],[-82.853943,35.844139],[-82.851753,35.843842],[-82.849777,35.845951],[-82.847168,35.844299],[-82.84565,35.845638],[-82.847527,35.853371],[-82.846428,35.854809],[-82.843163,35.854729],[-82.850182,35.859982],[-82.847397,35.860668],[-82.846542,35.863911],[-82.84787,35.866131],[-82.842499,35.866982],[-82.84317,35.869541],[-82.840622,35.873611],[-82.842072,35.87492],[-82.841743,35.877399],[-82.836678,35.877651],[-82.835876,35.880428],[-82.833252,35.882141],[-82.83255,35.88596],[-82.829292,35.886082],[-82.831543,35.88945],[-82.830978,35.891029],[-82.824661,35.893719],[-82.808861,35.890091],[-82.804451,35.89883],[-82.797508,35.90704],[-82.785492,35.913269],[-82.771133,35.917],[-82.763573,35.914391],[-82.757072,35.91415],[-82.756439,35.911442],[-82.754089,35.91272],[-82.748459,35.904968],[-82.749786,35.892368],[-82.747292,35.88884],[-82.743782,35.88818],[-82.738449,35.88324],[-82.73864,35.87989],[-82.734093,35.871101],[-82.736034972,35.85025586]]]}"
"2","Averasboro Battlefield Scenic Byway","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-78.68869,35.221699],[-78.681488,35.227852],[-78.678497,35.23283],[-78.681892,35.241329],[-78.680122,35.253681],[-78.671143,35.26757],[-78.671692,35.288441],[-78.664124,35.292721],[-78.672302,35.30899]]]}"
"3","Birkhead Wilderness Route","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-79.860481,35.62326],[-79.863739,35.615761],[-79.869087,35.610699],[-79.875351,35.607979],[-79.885742,35.598171],[-79.887283,35.594292],[-79.89106,35.590889],[-79.893341,35.581909],[-79.896851,35.57906],[-79.898247,35.573299],[-79.903839,35.56744],[-79.907608,35.565819],[-79.910797,35.559391],[-79.917839,35.55093],[-79.924042,35.54781],[-79.93129,35.548279],[-79.937668,35.55357],[-79.944427,35.554981],[-79.950859,35.562511],[-79.955292,35.563049],[-79.959763,35.56065],[-79.976082,35.564049],[-79.980217,35.572231],[-79.990723,35.577881],[-79.999321,35.585129],[-80.008553,35.589321],[-80.019951,35.590729]]]}"
"4","Black Mountain Rag","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-82.286324,35.451401],[-82.293114,35.447552],[-82.29438,35.441422],[-82.302177,35.435291],[-82.305511,35.426521],[-82.325523,35.400391],[-82.341293,35.39357]],[[-82.318802,35.611679],[-82.320358,35.603889],[-82.310471,35.59798],[-82.315086,35.598148],[-82.315308,35.596539],[-82.310593,35.595348],[-82.308479,35.593128],[-82.311836,35.59454],[-82.309349,35.590141],[-82.30751,35.590191],[-82.302193,35.583698],[-82.297707,35.581772],[-82.298729,35.58091],[-82.29673,35.576729],[-82.289009,35.568439],[-82.266747,35.559952],[-82.26667,35.557831],[-82.268692,35.556171],[-82.258873,35.544659],[-82.255363,35.544022],[-82.257782,35.54047],[-82.250008,35.530739],[-82.250992,35.525459],[-82.249168,35.52177],[-82.257339,35.517399],[-82.258858,35.513081],[-82.262703,35.510731],[-82.269501,35.512569],[-82.276558,35.509682],[-82.271202,35.50235],[-82.270218,35.498058],[-82.276207,35.487259],[-82.27935,35.48444],[-82.279762,35.477112],[-82.283241,35.47184],[-82.280617,35.464142],[-82.284142,35.464378],[-82.289017,35.457699],[-82.289879,35.45322],[-82.286324,35.451401]],[[-82.286324,35.451401],[-82.285759,35.451118]],[[-82.281887,35.449555009],[-82.285759,35.451118]],[[-82.285759,35.451118],[-82.281887,35.449555009]],[[-82.281887,35.449555009],[-82.281764842,35.449514922]],[[-82.281764842,35.449514922],[-82.281887,35.449555009]],[[-82.28157899,35.449466208],[-82.281764842,35.449514922]],[[-82.281764842,35.449514922],[-82.28157899,35.449466208]],[[-82.28157899,35.449466208],[-82.278809,35.449211]],[[-82.278809,35.449211],[-82.28157899,35.449466208]],[[-82.27774093,35.44891636],[-82.278809,35.449211]],[[-82.278809,35.449211],[-82.27774093,35.44891636]],[[-82.27774093,35.44891636],[-82.277501809,35.448819435]],[[-82.277501809,35.448819435],[-82.27774093,35.44891636]],[[-82.277470525,35.448804224],[-82.277501809,35.448819435]],[[-82.277501809,35.448819435],[-82.277470525,35.448804224]],[[-82.277470525,35.448804224],[-82.276909,35.448441]],[[-82.276909,35.448441],[-82.277470525,35.448804224]],[[-82.276909,35.448441],[-82.274948,35.44603]],[[-82.273987,35.445572],[-82.274948,35.44603]],[[-82.274948,35.44603],[-82.273987,35.445572]],[[-82.273590875,35.44551541],[-82.273987,35.445572]],[[-82.273987,35.445572],[-82.273590875,35.44551541]],[[-82.273522612,35.445520418],[-82.273590875,35.44551541]],[[-82.273590875,35.44551541],[-82.273522612,35.445520418]],[[-82.272774,35.445709],[-82.273522612,35.445520418]],[[-82.273522612,35.445520418],[-82.272774,35.445709]],[[-82.272774,35.445709],[-82.264374,35.442459],[-82.260872,35.44315],[-82.254784,35.440369],[-82.251167,35.440861],[-82.235512,35.436581],[-82.229599,35.43364],[-82.228912,35.429798],[-82.217728,35.431751],[-82.210457,35.431221],[-82.209084,35.430359],[-82.209618,35.428768],[-82.208138,35.42815],[-82.208412,35.42955],[-82.206688,35.429649],[-82.204659,35.428329],[-82.204727,35.426392],[-82.199249,35.423908],[-82.198387,35.42223],[-82.200729,35.421261],[-82.196838,35.420078],[-82.196022,35.415691]]]}"
"5","Brunswick Town Road","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-77.956373479,34.069013677],[-77.954637,34.073413],[-77.957088,34.078752]],[[-77.956482,34.069],[-77.960678,34.059292],[-77.95739,34.052071],[-77.957222,34.045731],[-77.954887,34.04073],[-77.94848,34.041312]],[[-77.94848,34.041312],[-77.948543923,34.047988772]],[[-77.94848,34.041312],[-77.946864,34.039824]]]}"
"6","Cape Fear Historic Byway","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-77.947357,34.250839],[-77.947662,34.248379]],[[-77.947662,34.248379],[-77.950531,34.240749],[-77.95002,34.236031],[-77.94783,34.227779],[-77.945107,34.228001]],[[-77.945107,34.228001],[-77.947662,34.248379]],[[-77.945107,34.228001],[-77.942497,34.228222],[-77.94101,34.21558]],[[-77.94101,34.21558],[-77.939377,34.21262],[-77.935471,34.21426],[-77.935753,34.21138],[-77.932922,34.207878],[-77.931473,34.208382],[-77.932083,34.21254],[-77.930748,34.212132],[-77.929871,34.20726],[-77.932251,34.20612],[-77.93502,34.19846],[-77.93634,34.199188],[-77.935402,34.205391],[-77.937897,34.20919],[-77.941093,34.20863],[-77.942902,34.21106],[-77.945618,34.211201],[-77.944099,34.215309],[-77.94101,34.21558]]]}"
"8","Hanging Rock Scenic Byway","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-80.231361,36.41729],[-80.239578,36.425591],[-80.241386,36.432388],[-80.245293,36.435211],[-80.250137,36.43457],[-80.261528,36.43771],[-80.268669,36.442669],[-80.285507,36.448299],[-80.289963,36.455502],[-80.296227,36.460289],[-80.297401,36.467041],[-80.303673,36.47435],[-80.305061,36.47921],[-80.308708,36.481789],[-80.316139,36.482479],[-80.318047,36.491711],[-80.31707,36.494781],[-80.319221,36.498798],[-80.32695,36.49984],[-80.330849,36.506229],[-80.345833,36.513721],[-80.356392,36.509029],[-80.364517,36.513512],[-80.380898,36.513981],[-80.38372,36.51017],[-80.384529,36.503632],[-80.390411,36.50045],[-80.390381,36.49411],[-80.3936,36.49242],[-80.394402,36.487801],[-80.410294,36.483452],[-80.414902,36.484692],[-80.416328,36.481232],[-80.424492,36.476799],[-80.431091,36.47818],[-80.446503,36.475342],[-80.457863,36.493031],[-80.464943,36.498589],[-80.475754,36.49889],[-80.484444,36.50465],[-80.490112,36.503792],[-80.505043,36.511341],[-80.508904,36.50795],[-80.515717,36.506889],[-80.51725,36.504169],[-80.522469,36.501129],[-80.528427,36.50005],[-80.542961,36.493641],[-80.55491,36.493733],[-80.563124,36.491018],[-80.56596,36.492089],[-80.570529,36.490207],[-80.578630286,36.489990573]],[[-80.231194,36.41732],[-80.233353,36.414051],[-80.238876,36.413658],[-80.242416,36.41555],[-80.253677,36.41227],[-80.26075,36.419781],[-80.265182,36.421261],[-80.282631,36.418411],[-80.288589,36.42123],[-80.315048,36.41045],[-80.319321,36.404221],[-80.320259,36.394451],[-80.325928,36.388618],[-80.323639,36.385399],[-80.324448,36.36628],[-80.326108,36.357924],[-80.330473,36.351841],[-80.331259,36.341994],[-80.329809,36.337809],[-80.333871966,36.332456583]]]}"
"9","Colonial Heritage Byway","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-79.677422,36.21928],[-79.63443,36.219669],[-79.627861,36.222599],[-79.62574,36.225262],[-79.615379,36.22802],[-79.615494,36.230251],[-79.601868,36.25259],[-79.604858,36.257439],[-79.604736,36.265282],[-79.59967,36.275719],[-79.596901,36.27779],[-79.597107,36.283058],[-79.57888,36.288311],[-79.556084,36.299591],[-79.552254,36.304779],[-79.541893,36.3092],[-79.529778,36.323318],[-79.500954,36.337818],[-79.495979,36.344398],[-79.480507,36.350769],[-79.468681,36.35886],[-79.448807,36.360958],[-79.436813,36.368549],[-79.43222,36.373371],[-79.422447,36.372139],[-79.407784,36.37611],[-79.401672,36.384178],[-79.391098,36.389019],[-79.387367,36.392578],[-79.388222,36.40453],[-79.382523,36.407452],[-79.378838,36.411572],[-79.367409,36.415859],[-79.355942,36.417179],[-79.350548,36.415421],[-79.342049,36.405449],[-79.335182,36.40366],[-79.318748,36.406471],[-79.303741,36.418541],[-79.29615,36.419571],[-79.291321,36.429329],[-79.282654,36.434631],[-79.272987,36.462269],[-79.270393,36.465839],[-79.258209,36.4715],[-79.255531,36.474442],[-79.254379,36.480251],[-79.243111,36.48851],[-79.241562,36.491619],[-79.240952,36.502079],[-79.232437,36.510231],[-79.228882,36.517818],[-79.220551,36.527241],[-79.215698,36.5294],[-79.208763,36.539181],[-79.201897,36.53801],[-79.195587,36.53331],[-79.1912,36.526649],[-79.188087,36.524818],[-79.181618,36.524818],[-79.178619,36.522591],[-79.17041,36.502312],[-79.14875,36.498402],[-79.150497,36.495178],[-79.166313,36.486641],[-79.170303,36.476742],[-79.178902,36.47266],[-79.183571,36.46434],[-79.191147,36.458221],[-79.190945454,36.456409091],[-79.182681818,36.450436363],[-79.182,36.443854545],[-79.184745455,36.435409091],[-79.188372727,36.431],[-79.189872727,36.425272727],[-79.194072727,36.418681819],[-79.197945455,36.416318182],[-79.2029,36.409454545],[-79.211963636,36.408809091],[-79.217709091,36.3997],[-79.218645454,36.391545455],[-79.223118182,36.385963636],[-79.222063636,36.381354545],[-79.2233,36.362509091],[-79.227145455,36.356072727],[-79.229054545,36.343463637],[-79.242890909,36.328827273],[-79.220032,36.314968],[-79.213997,36.296391],[-79.2136,36.290291],[-79.207672,36.27734],[-79.197731,36.269421],[-79.190422,36.249039],[-79.190514,36.239681],[-79.181412,36.218159],[-79.147491,36.202999],[-79.142372,36.198441],[-79.13549,36.17704],[-79.130997,36.168629],[-79.129501,36.159031],[-79.123222,36.1488],[-79.118538,36.130268],[-79.10685,36.09893],[-79.097977,36.09848],[-79.091393,36.101871],[-79.078133,36.10257],[-79.08429,36.093819],[-79.08316,36.082371],[-79.094681,36.07748],[-79.096329,36.075481],[-79.099419,36.075409],[-79.09938,36.07029],[-79.093948,36.066639],[-79.085243,36.06583],[-79.031754,36.050091],[-79.016991,36.043179],[-79.00824,36.036369],[-78.988739,36.032242],[-78.989342,36.0243],[-78.987846,36.021931],[-78.981018,36.015621],[-78.967392,36.008381],[-78.962181,36.000751],[-78.958908,35.998829]]]}"
"10","Edenton-Windsor Loop","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-76.608566,36.059872],[-76.61998,36.062],[-76.624802,36.058411],[-76.630859,36.056679],[-76.656128,36.057041],[-76.665413,36.057831],[-76.669678,36.061562],[-76.673302,36.058231],[-76.712898,36.03936],[-76.722977,36.036381],[-76.749474,36.039558],[-76.761971,36.037048],[-76.770081,36.037899],[-76.78463,36.034481],[-76.766251,35.984699],[-76.770233,35.982609],[-76.771744,35.9799],[-76.776642,35.977901],[-76.782082,35.971882],[-76.78521,35.95805],[-76.794342,35.951019],[-76.7966,35.94223],[-76.801651,35.93367]],[[-76.801651,35.93367],[-76.807999,35.927952],[-76.81073,35.921909],[-76.817337,35.9202],[-76.818718,35.915131],[-76.81723,35.91095],[-76.817871,35.90704],[-76.825241,35.904449],[-76.830971,35.897091],[-76.835518,35.895771],[-76.849411,35.905891],[-76.85553,35.913078],[-76.865639,35.918251],[-76.871674,35.925209],[-76.882881,35.927952],[-76.895821,35.928108],[-76.904556,35.933701],[-76.913033,35.933491],[-76.925194,35.936432],[-76.931038,35.941391],[-76.930878,35.94981],[-76.935471,35.956219],[-76.944839,35.95879],[-76.951942,35.965069],[-76.955566,35.973331],[-76.957901,35.985291],[-76.952739011,35.991147263],[-76.952136,35.99605],[-76.946615,35.998432],[-76.940498,35.991459],[-76.935471,35.98975],[-76.923958,35.989941],[-76.920174,35.983768],[-76.9105,35.978771],[-76.890633,35.973499],[-76.880219,35.96867],[-76.877724,35.961239],[-76.874702,35.957878],[-76.852478,35.956821],[-76.844429,35.95245],[-76.831032,35.95182],[-76.825684,35.94915],[-76.81913,35.94244],[-76.801651,35.93367]],[[-76.801651,35.93367],[-76.792824,35.932949],[-76.762894,35.937672],[-76.742981,35.93734],[-76.740181,35.929661],[-76.716454,35.909359],[-76.702843,35.891891],[-76.690018,35.901089],[-76.682053,35.904121],[-76.672203,35.904758],[-76.65374,35.91169],[-76.643066,35.91996],[-76.624527,35.925861],[-76.615982,35.93074],[-76.604507,35.929031],[-76.597908,35.925461],[-76.590469,35.92506],[-76.577888,35.926949],[-76.569618,35.93465],[-76.554863,35.934639],[-76.528877,35.94117],[-76.51963,35.93903],[-76.514648,35.933842],[-76.507698,35.93425],[-76.498291,35.943119],[-76.489693,35.955719],[-76.489433,35.95903],[-76.526443,36.031052],[-76.555267,36.03883],[-76.569229,36.050819],[-76.584976,36.059391],[-76.59404,36.062069],[-76.608566,36.059872]]]}"
"11","Little Parkway","North Carolina State Scenic Byway","NC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/71/query","{""type"":""MultiLineString"",""coordinates"":[[[-81.670341,36.13842],[-81.67321,36.13414],[-81.679001,36.135059],[-81.686493,36.13866],[-81.694031,36.139801],[-81.698242,36.145611],[-81.70533,36.146179],[-81.709846,36.142849],[-81.710648,36.139439],[-81.713173,36.139042],[-81.714317,36.13583],[-81.712982,36.134731],[-81.71344,36.132309],[-81.71582,36.131111],[-81.714882,36.12862],[-81.716904,36.125401],[-81.71949,36.125381],[-81.723213,36.122662],[-81.728958,36.12117],[-81.737679,36.12336],[-81.738342,36.119839],[-81.740631,36.118599],[-81.745003,36.120701],[-81.75087,36.120991],[-81.75808,36.11895],[-81.775009,36.118832],[-81.778442,36.11438],[-81.774681,36.111118],[-81.781921,36.107491],[-81.777771,36.106819],[-81.77301,36.103271],[-81.773872,36.102001],[-81.771233,36.098621],[-81.772392,36.097252],[-81.779984,36.096371],[-81.785133,36.09201],[-81.790398,36.09417],[-81.790993,36.09663],[-81.796227,36.09692],[-81.7985,36.093891],[-81.807381,36.097031],[-81.80706,36.094181],[-81.81115,36.091831],[-81.810181,36.090179],[-81.811577,36.08638],[-81.813393,36.088421],[-81.819557,36.089748],[-81.821091,36.085629],[-81.824333,36.088799],[-81.829376,36.085411],[-81.839813,36.086151],[-81.844177,36.084301],[-81.8564,36.08427],[-81.860397,36.07933],[-81.863426,36.077999],[-81.86422,36.071079],[-81.870377,36.07111]]]}"
