"byway_id","name","designats","state","source","geom_geojson"
"604","From the Desert to Tall Pines Scenic Road","Arizona State Scenic Byway, National Forest Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-110.857712,34.302448],[-110.856361,34.298141],[-110.861382,34.292068],[-110.85994,34.285751],[-110.856758,34.279331],[-110.847389,34.267948],[-110.842567,34.254002],[-110.836113,34.249001],[-110.835709,34.246479],[-110.831558,34.247639],[-110.830742,34.242081],[-110.826927,34.242599],[-110.822777,34.240479],[-110.820702,34.233688],[-110.822273,34.225449],[-110.817711,34.214619],[-110.808533,34.20892],[-110.806328,34.20364],[-110.803123,34.200722],[-110.791656,34.193249],[-110.790779,34.18523],[-110.799843,34.17342],[-110.797508,34.16996],[-110.799133,34.166149],[-110.802101,34.16394],[-110.803047,34.15406],[-110.80555,34.151089],[-110.808731,34.15015],[-110.816078,34.152199],[-110.822563,34.150558],[-110.830406,34.147381],[-110.833214,34.143539],[-110.841476,34.145851],[-110.845261,34.144218],[-110.853111,34.14682],[-110.855911,34.150318],[-110.869164,34.157318],[-110.873741,34.16151],[-110.87957,34.162949],[-110.885231,34.16177],[-110.882599,34.159809],[-110.884048,34.157471],[-110.895554,34.161499],[-110.907181,34.15612],[-110.912918,34.156109],[-110.916031,34.152599],[-110.935112,34.101849],[-110.963287,34.10112],[-110.963722,34.087349],[-110.966469,34.0812],[-110.974319,34.078171],[-110.980141,34.069538],[-110.97776,34.068649],[-110.97908,34.064629],[-110.977074,34.061661],[-110.970268,34.055649],[-110.970901,34.045898],[-110.964111,34.04554],[-110.962929,34.04034],[-110.96656,34.031849],[-110.964256,34.031361],[-110.963341,34.028301],[-110.9664,34.024368],[-110.965881,34.02169],[-110.960007,34.009209],[-110.958733,34.00156],[-110.950287,33.996059],[-110.947708,33.987968],[-110.950348,33.978149],[-110.953102,33.974201],[-110.951973,33.967018],[-110.955116,33.960331],[-110.962753,33.953812],[-110.96418,33.946991],[-110.962959,33.944351],[-110.964821,33.94009],[-110.964088,33.93391],[-110.965538,33.933041],[-110.951309,33.91684],[-110.953201,33.902988],[-110.951736,33.901138],[-110.954269,33.901218],[-110.957283,33.898849],[-110.96196,33.89204],[-110.959969,33.8899],[-110.963867,33.888561],[-110.969116,33.889488],[-110.974983,33.876041],[-110.97242,33.863972],[-110.970161,33.86245],[-110.971626,33.856609],[-110.968597,33.84613],[-110.978973,33.827881],[-110.98304,33.813061],[-110.976509,33.813992],[-110.985023,33.800541],[-110.982513,33.797428],[-110.975372,33.79771],[-110.972618,33.799721],[-110.970131,33.798569],[-110.97113,33.797119],[-110.969131,33.796959],[-110.973099,33.79126],[-110.970673,33.784271],[-110.965492,33.780121],[-110.96846,33.777779],[-110.970833,33.772629],[-110.969978,33.7645],[-110.971283,33.759079],[-110.968102,33.751801],[-110.962341,33.746929],[-110.965042,33.742989],[-110.960953,33.740311],[-110.954002,33.729568],[-110.955643,33.728279],[-110.958557,33.72942],[-110.963417,33.723701],[-110.972816,33.719238],[-110.979599,33.711861],[-110.982727,33.705021],[-110.97831,33.69331],[-110.978813,33.685959],[-110.976761,33.679741],[-110.9748,33.676762],[-110.9702,33.67614],[-110.965424,33.6721],[-110.954399,33.647942],[-110.955177,33.645618],[-110.946159,33.63805],[-110.938683,33.634102],[-110.931801,33.625961],[-110.921631,33.61985],[-110.929108,33.61652],[-110.93602,33.604549],[-110.941277,33.59927],[-110.948288,33.586788],[-110.94915,33.579441],[-110.947769,33.570019],[-110.953667,33.56543]]]}"
"605","Historic Route 66","National Scenic Byway, National Scenic Byway, All-American Road, National Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.04679224,35.363150082],[-109.046793,35.363149]],[[-112.585747,35.229519],[-112.585777,35.230789],[-112.590179,35.23151],[-112.686432,35.27314],[-112.691772,35.277088],[-112.72773,35.287079],[-112.737328,35.294079],[-112.769379,35.303451999],[-112.823151,35.314098],[-112.861099,35.322632],[-112.865593,35.32494],[-112.951332,35.339901],[-112.966179,35.349411],[-112.978493,35.373459],[-112.986542,35.381859],[-113.190514,35.51199],[-113.214439,35.525249],[-113.319778,35.553719],[-113.356796,35.552151],[-113.375259001,35.554089],[-113.389748001,35.551529],[-113.404227999,35.54298],[-113.417091,35.539421],[-113.422790999,35.52964],[-113.452461,35.521751],[-113.475112999,35.524101],[-113.487541,35.521518999],[-113.632683001,35.450878],[-113.643303,35.442558],[-113.648453,35.433719999],[-113.64946,35.425079001],[-113.647148,35.412189001],[-113.659233,35.386688],[-113.671967,35.368561],[-113.687492,35.362221],[-113.695297,35.361801],[-113.711052,35.366791],[-113.723213,35.374851],[-113.736458,35.387321],[-113.777481,35.410511],[-113.802361,35.41877],[-113.810608,35.418449001],[-113.819939,35.415119],[-113.919022,35.313351],[-114.035884,35.189757],[-114.040417,35.186947],[-114.061314,35.190406],[-114.063988,35.176941001],[-114.060432,35.17067],[-114.061089,35.16684],[-114.079429999,35.159321],[-114.087486,35.154259001],[-114.091721,35.150089],[-114.100997999,35.135460001],[-114.107101001,35.139229],[-114.115761,35.134151001],[-114.135048,35.122082001],[-114.15448,35.105942],[-114.175262,35.093361],[-114.185272,35.089161],[-114.248154,35.050171],[-114.253387,35.04393],[-114.274902,35.032749],[-114.279312,35.027241],[-114.304741,35.025551],[-114.320412,35.03067],[-114.328041,35.035599],[-114.338501,35.037761999],[-114.344971,35.036949],[-114.347931,35.038422],[-114.353432,35.037311999],[-114.353783,35.038898],[-114.356232,35.038738],[-114.356522001,35.042301001],[-114.362983999,35.047241],[-114.362297,35.045699999],[-114.368103,35.04409],[-114.372931999,35.040619],[-114.379082,35.045849001],[-114.383301,35.046299001],[-114.388939,35.042209999],[-114.391868999,35.043919001],[-114.393578,35.03651],[-114.382713,35.025612],[-114.383331,35.020748],[-114.394707,35.005871],[-114.410622,34.998199],[-114.418098,34.990082],[-114.425148,34.98505],[-114.423721,34.980621],[-114.418297,34.97382],[-114.415237,34.973011],[-114.413963,34.968608999],[-114.409042,34.96294],[-114.410004,34.953941],[-114.416946,34.94421],[-114.423477,34.931141],[-114.426353,34.915161],[-114.430138,34.905529],[-114.427902,34.90321],[-114.428001001,34.90081],[-114.431992,34.894951],[-114.437027001,34.87566],[-114.445679,34.85828],[-114.448303,34.856979],[-114.457175999,34.841888],[-114.466827,34.829418],[-114.466919,34.822781],[-114.4711,34.810581],[-114.470154,34.802189],[-114.471313,34.7985],[-114.477867,34.797081],[-114.480759,34.794621],[-114.481461,34.78231],[-114.477928,34.764439],[-114.482048,34.747021],[-114.484657,34.742401],[-114.481277,34.734820999],[-114.477790999,34.732899],[-114.477149999,34.730431],[-114.478409,34.72139],[-114.484192,34.717682],[-114.478447,34.718449],[-114.487821004,34.717312119]],[[-112.474197,35.221149],[-112.474983,35.222672],[-112.489197,35.224949],[-112.496902,35.220348]],[[-112.122307,35.258411],[-112.142998,35.258389],[-112.150879,35.26112],[-112.153899999,35.257870001],[-112.173827999,35.256672],[-112.188606001,35.250992],[-112.193069,35.25983],[-112.202248,35.254688]],[[-111.407188,35.201962],[-111.413673,35.203018],[-111.424713,35.201698],[-111.47718,35.20203],[-111.523139999,35.210831],[-111.530029,35.21793],[-111.53347,35.219311],[-111.554764001,35.21883],[-111.578537,35.222],[-111.591766,35.218498],[-111.612419,35.206600001],[-111.621681,35.197418001],[-111.632796999,35.194019],[-111.637584,35.19399],[-111.653297,35.198738],[-111.658500999,35.192928001],[-111.661842,35.192669],[-111.667862,35.188381],[-111.678299,35.187820001],[-111.695137001,35.189331],[-111.711037,35.193081],[-111.726463,35.192848]],[[-110.641518,35.008911001],[-110.643707001,35.005711],[-110.662139999,35.008560001],[-110.678452,35.014969],[-110.685287,35.01952],[-110.714256,35.030731],[-110.724281,35.036671],[-110.724182,35.037861]],[[-110.31076,34.952591],[-110.310028,34.954651],[-110.31131,34.955551],[-110.339157,34.956059],[-110.350821999,34.95845],[-110.351341,34.956249]],[[-110.128615999,34.939651],[-110.131157,34.93895],[-110.156532,34.913101],[-110.158546,34.90163],[-110.184323,34.904663],[-110.185831,34.905919]]]}"
"606","Old Route 66 - Oatman Road","BLM Back Country Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.052788,35.189419],[-114.06073,35.1898],[-114.062462,35.18819],[-114.063988,35.176941],[-114.060432,35.17067],[-114.061287,35.166569],[-114.07943,35.159321],[-114.087486,35.154259],[-114.091721,35.150089],[-114.100998,35.13546],[-114.107101,35.139229],[-114.115761,35.134151],[-114.135048,35.122082],[-114.15448,35.105942],[-114.175262,35.093361],[-114.185272,35.089161],[-114.248154,35.050171],[-114.253387,35.04393],[-114.274902,35.032749],[-114.279312,35.027241],[-114.304741,35.025551],[-114.320412,35.03067],[-114.328041,35.035599],[-114.338501,35.037762],[-114.344971,35.036949],[-114.347931,35.038422],[-114.353432,35.037312],[-114.353783,35.038898],[-114.356232,35.038738],[-114.356522,35.042301],[-114.362984,35.047241],[-114.362297,35.0457],[-114.368103,35.04409],[-114.372932,35.040619],[-114.376877,35.0453],[-114.379082,35.045849],[-114.383301,35.046299],[-114.389099,35.042179],[-114.39196,35.043839],[-114.393578,35.03651],[-114.382713,35.025612],[-114.382683,35.022148],[-114.394707,35.005871],[-114.410622,34.998199],[-114.418098,34.990082],[-114.42511,34.985149],[-114.423721,34.980621],[-114.418297,34.97382],[-114.415237,34.973011],[-114.413963,34.968609],[-114.409073,34.963009],[-114.410004,34.953941],[-114.416946,34.94421],[-114.423477,34.931141],[-114.426353,34.915161],[-114.430138,34.905529],[-114.427902,34.90321],[-114.428001,34.90081],[-114.431992,34.894951],[-114.437027,34.87566],[-114.445679,34.85828],[-114.448303,34.856979],[-114.457176,34.841888],[-114.466827,34.829418],[-114.466919,34.822781],[-114.4711,34.810581],[-114.470154,34.802189],[-114.471313,34.7985],[-114.477867,34.797081],[-114.480759,34.794621],[-114.481461,34.78231],[-114.477928,34.764439],[-114.482048,34.747021],[-114.484657,34.742401],[-114.481277,34.734821],[-114.477791,34.732899],[-114.47715,34.730431],[-114.478409,34.72139],[-114.4842,34.717751],[-114.47821,34.718029]]]}"
"607","Swift Trail Parkway","Arizona Parkway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.713966,32.729881],[-109.75666,32.68758],[-109.759537,32.6866],[-109.760651,32.689812],[-109.762611,32.690189],[-109.772758,32.679218],[-109.776192,32.678791],[-109.777138,32.67638],[-109.786453,32.670429],[-109.796822,32.667709],[-109.796288,32.665588],[-109.802544,32.666672],[-109.800491,32.663502],[-109.801208,32.660599],[-109.806137,32.656151],[-109.804901,32.653782],[-109.808807,32.65382],[-109.812981,32.651379],[-109.808678,32.64996],[-109.811287,32.64867],[-109.811058,32.647339],[-109.811096,32.649761],[-109.811913,32.64917],[-109.812073,32.645729],[-109.81295,32.648869],[-109.819069,32.64967],[-109.819107,32.648159],[-109.815781,32.64653],[-109.815811,32.644749],[-109.820511,32.641602],[-109.821663,32.638168],[-109.824852,32.63689],[-109.822563,32.634472],[-109.818748,32.635342],[-109.818359,32.63311],[-109.815666,32.63205],[-109.822678,32.627869],[-109.825203,32.63102],[-109.824738,32.62677],[-109.82708,32.62994],[-109.826317,32.625648],[-109.829758,32.62944],[-109.828743,32.62619],[-109.823708,32.622379],[-109.825737,32.620319],[-109.830681,32.621819],[-109.836159,32.627762],[-109.839539,32.628639],[-109.842438,32.632549],[-109.841881,32.634811],[-109.844887,32.636108],[-109.848267,32.63501],[-109.84938,32.643459],[-109.852547,32.643471],[-109.853691,32.64526],[-109.856369,32.643909],[-109.858849,32.648548],[-109.862267,32.64864],[-109.860352,32.652168],[-109.860397,32.656239],[-109.865044,32.657459],[-109.866226,32.66214],[-109.869637,32.66452],[-109.87307,32.66452],[-109.873413,32.667519]]]}"
"608","Trail of the Ancients - NM","New Mexico State Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.046336364,35.661981818],[-109.046210315,35.661893281]],[[-109.045995057,35.909491621],[-109.046128237,35.90941473]],[[-109.046063636,35.020190909],[-109.04599715,35.020208747]],[[-109.04539091,36.871809091],[-109.045383522,36.871792079]]]}"
"609","White Mountain Scenic Road","Arizona State Scenic Byway, National Forest Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.592032999,34.043362],[-109.606979,34.0387],[-109.638512,34.024940001],[-109.647293001,34.023571],[-109.658173,34.028511],[-109.66568,34.03664],[-109.677528,34.04187],[-109.69648,34.044949],[-109.707030999,34.043899999],[-109.731918,34.0527],[-109.752502001,34.053139001],[-109.775047,34.06448],[-109.79232,34.078121],[-109.818489,34.079361],[-109.833,34.072979],[-109.843513,34.072151001],[-109.862243999,34.07412],[-109.871368001,34.082298],[-109.886742,34.078689999],[-109.904732,34.080421001]],[[-109.248916999,34.108231001],[-109.25618,34.111061],[-109.320037999,34.110802],[-109.348824,34.104469],[-109.363136,34.10384],[-109.428970001,34.093860999],[-109.457382,34.07766],[-109.46508,34.075802],[-109.472153,34.077229],[-109.476334,34.076359],[-109.488532999,34.065311],[-109.495262,34.06271],[-109.500221,34.057509999],[-109.535187,34.05043],[-109.542106999,34.050732],[-109.548759,34.05434],[-109.567131,34.05526],[-109.592032999,34.043362]],[[-109.592032999,34.043362],[-109.58007,34.023918],[-109.568236999,34.015419],[-109.565941,34.00544],[-109.560432001,34.004379],[-109.554108,33.999770999],[-109.529876999,34.00201],[-109.502388,33.981831],[-109.49897,33.965561],[-109.50795,33.959648001],[-109.502991,33.959278],[-109.495102,33.955601],[-109.493683,33.949780001],[-109.490143001,33.945412001],[-109.492188,33.934689],[-109.487639999,33.931061],[-109.482132,33.9286],[-109.470627,33.928421],[-109.461014,33.925491],[-109.455359999,33.920712],[-109.431396,33.921082],[-109.414528,33.911839],[-109.411812001,33.915340001],[-109.412064001,33.925049],[-109.404846001,33.937931],[-109.405838,33.944592],[-109.397331,33.951141],[-109.393829,33.96006],[-109.387421,33.96336],[-109.369202,33.984249],[-109.365402,33.992249],[-109.371093999,33.999641],[-109.371063,34.003521],[-109.361603,34.015011001],[-109.361488,34.020229],[-109.358566,34.027569],[-109.353828,34.02924],[-109.348099,34.035091],[-109.348732,34.041981],[-109.356667,34.044472],[-109.361412,34.048458001],[-109.347572001,34.051331],[-109.357513,34.058208],[-109.353699,34.060558],[-109.356232001,34.066928999],[-109.350952,34.06739],[-109.351372,34.07],[-109.347801,34.070969],[-109.349091001,34.072689],[-109.348251,34.074551],[-109.352142,34.074211],[-109.353607,34.075649],[-109.345336999,34.081421],[-109.34169,34.090969],[-109.341972,34.100922],[-109.34491,34.105701]],[[-109.465445999,33.99371],[-109.458382,34.007149],[-109.457321,34.015678001],[-109.450958,34.01899],[-109.450302,34.025791],[-109.452744,34.035301],[-109.458969,34.042068],[-109.460570999,34.05653],[-109.464218,34.061291],[-109.463722,34.064739],[-109.468483,34.072472],[-109.466377001,34.075771]]]}"
"613","Dine' Tah ""Among the People"" Scenic Road","Arizona State Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.556709,36.15239],[-109.553122999,36.149921],[-109.54908,36.149632],[-109.538643,36.15361],[-109.528992001,36.166111],[-109.520378,36.170761001],[-109.515419,36.176861],[-109.501877,36.176979],[-109.491951,36.17347],[-109.475952,36.175838],[-109.467247,36.17202],[-109.448463,36.177761],[-109.438293,36.186969999],[-109.430717,36.190048],[-109.411682,36.202049],[-109.40535,36.20977],[-109.387207,36.224018],[-109.356429999,36.27494],[-109.349869,36.279339],[-109.308693,36.292300999],[-109.303436,36.291168],[-109.285088,36.276779],[-109.265671,36.27446],[-109.26178,36.275879],[-109.25251,36.284328],[-109.233513,36.2896],[-109.21666,36.3116],[-109.208610999,36.31023],[-109.200058,36.30518],[-109.188789,36.295689],[-109.186691,36.289371001],[-109.174179,36.280392],[-109.173218,36.276588],[-109.178162,36.267879001],[-109.178062001,36.260891],[-109.175277999,36.256672],[-109.164238,36.247028],[-109.161072,36.245701],[-109.145493001,36.24675],[-109.136589,36.24564],[-109.105904,36.225121],[-109.09845,36.20808],[-109.10215,36.193871],[-109.101044,36.189651],[-109.075981,36.172031],[-109.062538,36.147141],[-109.046109,36.140063853]],[[-109.046423914,35.755550489],[-109.055266999,35.746281],[-109.059059,35.73447],[-109.056793,35.72377],[-109.062233,35.711498],[-109.064697,35.692638],[-109.057152,35.663399],[-109.089172,35.65733],[-109.090492,35.646591],[-109.096680001,35.64175],[-109.101784,35.631271],[-109.104766999,35.615318],[-109.107536,35.610439],[-109.106086999,35.600819],[-109.100098,35.590149],[-109.09771,35.575729001],[-109.099899,35.547798001],[-109.109528,35.521511],[-109.116348,35.517719],[-109.125061,35.504791],[-109.128403,35.492191],[-109.125969,35.455421],[-109.117569,35.436008],[-109.107407,35.418541],[-109.101821999,35.401249],[-109.085037,35.380058],[-109.077538,35.36372],[-109.077087,35.355061],[-109.071404,35.34499],[-109.070389,35.339909],[-109.068230001,35.33799]]]}"
"617","Kayenta-Monument Valley Scenic Road","Navajo Nation Scenic Byway, Arizona State Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-110.25457,36.72781],[-110.249969,36.727581],[-110.245651,36.729382],[-110.230247,36.743679],[-110.226547,36.748661],[-110.226196,36.754559],[-110.234779,36.81897],[-110.238838,36.82629],[-110.247147,36.833328],[-110.264519,36.840591],[-110.270576,36.84819],[-110.270866,36.853779],[-110.220871,36.93108],[-110.181999,36.982559],[-110.175735839,36.998250929]]]}"
"600","Apache Trail Historic Road","Arizona Scenic Historic Byway, National Forest Scenic Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.550117,33.414768],[-111.545471,33.419559],[-111.51049,33.444519],[-111.504211,33.446301],[-111.492302,33.454121],[-111.478798,33.46767],[-111.474663,33.478432],[-111.468048,33.487438],[-111.466087,33.494911],[-111.4617,33.50201],[-111.458763,33.50267],[-111.458229,33.507721],[-111.456047,33.508591],[-111.458153,33.51815],[-111.455933,33.519981],[-111.45192,33.51886],[-111.450203,33.521198],[-111.454048,33.52486],[-111.454903,33.535019],[-111.452026,33.540939],[-111.449303,33.541248],[-111.448997,33.545021],[-111.444321,33.543411],[-111.442841,33.540909],[-111.444862,33.540119],[-111.443672,33.53896],[-111.435402,33.537128],[-111.434334,33.538181],[-111.427261,33.532768],[-111.420799,33.534779],[-111.412064,33.529289],[-111.404053,33.529671],[-111.395889,33.525902],[-111.391998,33.525688],[-111.385201,33.53027],[-111.380531,33.5312],[-111.377434,33.536369],[-111.372368,33.5336],[-111.365479,33.532341],[-111.34964,33.534],[-111.345032,33.539021],[-111.346397,33.540539],[-111.342613,33.542141],[-111.342972,33.5438],[-111.336128,33.54459],[-111.334869,33.542568],[-111.32782,33.54187],[-111.32769,33.539688],[-111.324966,33.537628],[-111.318199,33.52581],[-111.309402,33.537579],[-111.307259,33.524712],[-111.304771,33.533009],[-111.300697,33.536079],[-111.288727,33.538609],[-111.281754,33.538799],[-111.27906,33.537418],[-111.260857,33.54163],[-111.248573,33.557598],[-111.243347,33.560051],[-111.23378,33.568508],[-111.227707,33.579369],[-111.219078,33.584122],[-111.213181,33.581779],[-111.21109,33.582432],[-111.210419,33.59087],[-111.204788,33.598228],[-111.203133,33.596371],[-111.204163,33.601711],[-111.199287,33.60371],[-111.197594,33.606251],[-111.19751,33.608452],[-111.199791,33.61055],[-111.196404,33.61129],[-111.197037,33.617809],[-111.195251,33.626652],[-111.19751,33.639519],[-111.19548,33.640121],[-111.196259,33.64217],[-111.194183,33.643501],[-111.194397,33.645481],[-111.188591,33.650452],[-111.186218,33.650539],[-111.185661,33.653172],[-111.181938,33.652889],[-111.183388,33.65543],[-111.179993,33.658531],[-111.175461,33.658409],[-111.171181,33.660919],[-111.168343,33.66732],[-111.164093,33.66901],[-111.159271,33.66798],[-111.161903,33.66951],[-111.152962,33.672619]]]}"
"601","Harquahala Mountain Back Country Byway","BLM Back Country Byway","AZ","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-113.293841297,33.727955286],[-113.313097586,33.736851184],[-113.315177315,33.745611132],[-113.315117499,33.755031756],[-113.318756895,33.760708359],[-113.327899809,33.762360152],[-113.330976023,33.767729052],[-113.338224105,33.774986631],[-113.343771941,33.774941171],[-113.346187779,33.776523473],[-113.346900621,33.773570837],[-113.345676389,33.773009212],[-113.347207122,33.773090348],[-113.34814484,33.775559359],[-113.351202134,33.777329597],[-113.350178076,33.779305177],[-113.352573883,33.78147065],[-113.35343147,33.786778262],[-113.350502251,33.794471823],[-113.356283273,33.807735755],[-113.349510465,33.81105727],[-113.346217165,33.806856293],[-113.344757257,33.808424961],[-113.346720495,33.811988571]]]}"
