"byway_id","name","designats","state","source","geom_geojson"
"930","SR 149 Nr Wicks Corner to SR 89","PLU","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-121.193609923,40.012684425],[-121.205525476,40.012865669],[-121.210312953,40.016634735],[-121.216490034,40.015051798],[-121.217681317,40.011387784],[-121.222257849,40.014490245],[-121.226417147,40.014109531],[-121.232489532,40.008025248],[-121.240194228,40.008448792],[-121.243137621,40.00620258],[-121.250941428,40.007038127],[-121.259151396,40.003877845],[-121.264395729,40.005467325],[-121.267717457,40.004582165],[-121.269718562,40.000880214],[-121.274108562,39.999098213],[-121.274983141,39.995264194],[-121.278983016,39.994421865],[-121.284876076,39.988991055],[-121.282262295,39.982184212],[-121.277770565,39.979884308],[-121.277434294,39.974183211],[-121.274589293,39.972316212],[-121.276103423,39.968000982],[-121.274381755,39.963899938],[-121.279871627,39.962380991],[-121.284340255,39.958528643],[-121.291344559,39.957705209],[-121.299623559,39.953760208],[-121.307958832,39.944730232],[-121.307919826,39.94169628],[-121.309836181,39.939357323],[-121.315817294,39.937511205],[-121.316376366,39.920848604],[-121.326191559,39.915102202],[-121.329295525,39.910511351],[-121.358860332,39.900755558],[-121.360348629,39.890564202],[-121.370148921,39.882201217],[-121.372353942,39.877458784],[-121.373043441,39.869302614],[-121.387353088,39.862704341]]]}"
"931","SR 91 Nr Corona to SR 83 NO Corona","RIV","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.654431077,33.922866875],[-117.647009795,33.902282987],[-117.645642128,33.887630803],[-117.643760072,33.884831871],[-117.640537729,33.883549476]],[[-117.655209399,33.924330968],[-117.654431077,33.922866875]],[[-117.655406945,33.924332886],[-117.654431077,33.922866875]]]}"
"932","I-5 Nr San Juan Capistrano to I-111 (All)","ORA","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.658493002,33.502432114],[-117.652305518,33.505100024]],[[-117.658504049,33.502438136],[-117.62731909,33.518691259],[-117.613265852,33.521989608],[-117.605395852,33.522329609],[-117.60135585,33.519349608],[-117.582565846,33.513679609],[-117.565755844,33.51496961],[-117.559135844,33.522329612],[-117.554095842,33.525329612],[-117.549965505,33.533440036],[-117.548595505,33.540770037],[-117.548965507,33.556890039],[-117.541035507,33.574060041],[-117.537175844,33.577389619],[-117.524235842,33.583039621],[-117.521536899,33.586550419],[-117.51210584,33.592219622],[-117.499395838,33.590349623],[-117.496835838,33.592269622],[-117.483425836,33.595269623],[-117.46994872,33.591587848],[-117.465372833,33.593653624],[-117.464244956,33.596813991],[-117.461422552,33.597233571],[-117.457752944,33.60219661]]]}"
"951","I-5 in Weed to Oregon SL NO Dorris (All)","SIS","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-122.383397898,41.418370079],[-122.3830117,41.419743228],[-122.387192305,41.422730693],[-122.389276702,41.427860228],[-122.386689703,41.439566228],[-122.364044702,41.448280231],[-122.357411702,41.457624232],[-122.349729704,41.477249235],[-122.342949703,41.482286236],[-122.324036704,41.504238239],[-122.306809703,41.519476242],[-122.2854937,41.523999244],[-122.2704687,41.534058246],[-122.248667697,41.533733248],[-122.235778695,41.536552249],[-122.196894695,41.571353255],[-122.192962695,41.581237256],[-122.2008867,41.604439257],[-122.200766703,41.618570257],[-122.189730704,41.63771026],[-122.185798704,41.639492261],[-122.167157701,41.641943263],[-122.130654696,41.643848266],[-122.125984696,41.646522266],[-122.120614696,41.652763267],[-122.086430693,41.669884271],[-122.075922692,41.673278273],[-122.056758691,41.686250275],[-122.041879689,41.689770277],[-122.03937269,41.696133277],[-122.058320697,41.726943278],[-122.059354699,41.734628278],[-122.063625701,41.743879279],[-122.066416703,41.756055279],[-122.005227706,41.82921229],[-122.001366707,41.838698291],[-121.921421713,41.957471307],[-121.92124452,41.962530235],[-121.918300713,41.962831307],[-121.918143274,41.967035801],[-121.910683713,41.967976309],[-121.908895714,41.971946309],[-121.909115714,41.977138309],[-121.903332714,41.98115331],[-121.891756715,42.000098312],[-121.889047688,41.999935746]]]}"
"959","SR 37 Nr Ignacio to SR 37 (Unc) Nr Novato","MRN","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-122.548323654,38.081811627],[-122.560573735,38.09374064],[-122.561772554,38.10177874]],[[-122.54816239,38.082010015],[-122.560345274,38.09383896],[-122.561458275,38.10162996]]]}"
"960","SR 20 Nr Calpella to SR 20 Nr Willits ","MEN","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-123.207400665,39.239739368],[-123.207672815,39.244494889],[-123.212996515,39.253835],[-123.223578327,39.262557379],[-123.256668307,39.277195821],[-123.264420594,39.288388806],[-123.271438528,39.292876998],[-123.286648531,39.299617997],[-123.294950533,39.300754997],[-123.299420093,39.304468012],[-123.300613394,39.307420924],[-123.297679519,39.313143528],[-123.301370065,39.317467009],[-123.301368538,39.325553998],[-123.304392539,39.331112998],[-123.304120539,39.334539998],[-123.312627283,39.339092716],[-123.32225579,39.349178087],[-123.315637544,39.361655],[-123.315567355,39.365832518],[-123.323912547,39.374215],[-123.329753897,39.375596097],[-123.324373777,39.374457661],[-123.315771534,39.365566349],[-123.315738772,39.361758666],[-123.32230974,39.348997913],[-123.312455761,39.338850668],[-123.304217758,39.334501672],[-123.304498757,39.331099672],[-123.301506756,39.325729674],[-123.301440661,39.31731778],[-123.297790567,39.313058546],[-123.300700646,39.307609579],[-123.299478791,39.304380651],[-123.295006743,39.300684678],[-123.286578742,39.299500682],[-123.271488739,39.292818689],[-123.264445978,39.288287183],[-123.256681792,39.277096582],[-123.223801203,39.26255333],[-123.21290872,39.253455716],[-123.207850476,39.244428984],[-123.207673683,39.239611484]],[[-123.329753897,39.375596097],[-123.337099549,39.377342],[-123.341329551,39.380362999],[-123.348798554,39.394583999],[-123.351222555,39.403605]],[[-123.351372889,39.403597001],[-123.349180877,39.395064858],[-123.343435783,39.384208653]]]}"
"961","SR 1 Nr Leggett to SR 199 Nr Crescent City ","MEN","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-123.713224081,39.86906521],[-123.710416202,39.874647554],[-123.714919672,39.878655005],[-123.720525881,39.877063165],[-123.73112102,39.878187458],[-123.737409686,39.886550345],[-123.74679627,39.887079652],[-123.748588007,39.890798748],[-123.753749058,39.89237395],[-123.753828028,39.89514363],[-123.750542197,39.897655909],[-123.754820469,39.901489221],[-123.749983024,39.903640254],[-123.749640382,39.906055407],[-123.753810191,39.907332139],[-123.75858175,39.906423474],[-123.757498035,39.910043445],[-123.758639683,39.913103004],[-123.767006685,39.916908004],[-123.76688614,39.919005728],[-123.767159917,39.917049568]],[[-123.765973214,39.919335982],[-123.761181614,39.923713641],[-123.761322406,39.929026566],[-123.777415651,39.940047154],[-123.781190432,39.948693161],[-123.780720255,39.957205921],[-123.794922062,39.965670424],[-123.802379069,39.979858421],[-123.800814071,39.983720421],[-123.789339075,39.990776425],[-123.788120934,39.997062839],[-123.783389939,40.00178975]],[[-123.783298503,40.00178854],[-123.787999013,39.997077887],[-123.789250698,39.990731007],[-123.800829699,39.983564006],[-123.802224699,39.979757005],[-123.794734696,39.965629005],[-123.780412692,39.956913005],[-123.781077569,39.948703442],[-123.777316116,39.940085985],[-123.762422258,39.929954999]]]}"
"1112","SR 65 Nr Porterville/SR 127 Nr Death Vlly Jct","INY","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-116.68461713,36.375358207],[-116.692098131,36.376395206],[-116.700804132,36.368210204],[-116.710714133,36.362513203],[-116.724864135,36.365558203],[-116.74373514,36.384894204],[-116.757304144,36.388144203],[-116.773436147,36.401774203],[-116.790709152,36.407380203],[-116.802274154,36.414232203],[-116.819655159,36.435718204],[-116.836142163,36.442153204],[-116.841172164,36.445851204],[-116.844087165,36.450457204],[-116.848893166,36.451379204],[-116.853905166,36.448263203],[-116.862063168,36.451345203],[-116.864939169,36.455607204],[-116.868423172,36.478145206],[-116.871335173,36.482400206],[-116.868538173,36.487932207],[-116.874697175,36.497126208],[-116.875799175,36.502870208],[-116.881306178,36.512150208],[-116.88259318,36.53184721],[-116.885202181,36.541189211],[-116.891615183,36.549688211],[-116.894267184,36.556613212],[-116.905691187,36.562313212],[-116.911375189,36.569846213],[-116.927688193,36.576353212],[-116.934630195,36.583104213],[-116.941864196,36.587464212],[-116.971540202,36.597453212],[-117.005006211,36.624333213],[-117.016664213,36.628765212],[-117.029020217,36.638991212],[-117.032150217,36.640022212],[-117.035725218,36.639226212],[-117.067722221,36.617910207],[-117.082045223,36.611304206],[-117.095114224,36.601376204],[-117.110594228,36.605333203],[-117.12712523,36.603528202],[-117.137142232,36.607226202],[-117.145532233,36.607330201],[-117.197639238,36.565440194],[-117.219294239,36.529034187],[-117.222820238,36.519425186],[-117.227014236,36.495020184],[-117.236128235,36.46383518],[-117.244152234,36.445751177],[-117.251161235,36.434150176],[-117.261900236,36.427685174],[-117.266829235,36.420048173],[-117.270454236,36.419467173],[-117.274159236,36.414645172],[-117.279808128,36.401614899]]]}"
"1113","SR 65 Nr Porterville/SR 127 Nr Death Vlly Jct","INY","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.279808128,36.401614899],[-117.287000234,36.368147166],[-117.286265234,36.364738166],[-117.288876234,36.359213165],[-117.300954234,36.347222163],[-117.307649235,36.346867163],[-117.311843236,36.342433162],[-117.317296237,36.346122162],[-117.33528624,36.348718161],[-117.349036243,36.344629159],[-117.45497226,36.336691152],[-117.469434263,36.339925152],[-117.478082264,36.335281151],[-117.481094265,36.342333151],[-117.492105268,36.346530151],[-117.504395269,36.34558015],[-117.506355269,36.341772149],[-117.51232127,36.340283148],[-117.518324272,36.344922148],[-117.527739273,36.348481149],[-117.529292275,36.35838815],[-117.534883276,36.357639149],[-117.535917275,36.348919148],[-117.540757276,36.348452147],[-117.538341275,36.345491147],[-117.539388275,36.344019148],[-117.543687277,36.349317148],[-117.548887277,36.348951147],[-117.553359279,36.352183147],[-117.571136281,36.352538146],[-117.574509282,36.355169146],[-117.575134283,36.358919147],[-117.578008284,36.358732146],[-117.582948284,36.361666146],[-117.585159286,36.369355146],[-117.595020288,36.379918148],[-117.615326141,36.370033249]]]}"
"901","SR 10 Nr Redlands to SR 18 Nr Fawnskin (All)","SBD","CA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.186452008,34.061322917],[-117.182560007,34.061334917],[-117.182506008,34.070038918],[-117.104990995,34.069621923],[-117.096430993,34.073160923],[-117.073381989,34.073323925],[-117.065683989,34.075988925],[-117.054163986,34.076643926],[-117.048807986,34.078359927],[-117.043145985,34.082549927],[-117.041616985,34.087134928],[-117.032807984,34.09573193],[-117.028993984,34.09674393],[-117.024231983,34.101115931],[-117.014132982,34.104346931],[-117.00551898,34.101495931],[-116.994866978,34.102369932],[-116.986883976,34.099679932],[-116.959001971,34.095525933],[-116.958558972,34.097153934],[-116.971239974,34.104157934],[-116.977180976,34.112545935],[-116.980975976,34.113822934],[-116.976995976,34.119334935],[-116.980957977,34.119766935],[-116.982149978,34.124531936],[-116.984699978,34.125389935],[-116.982311978,34.130613936],[-116.985230979,34.140006937],[-116.98395198,34.144549937],[-116.98044298,34.148953939],[-116.972233979,34.153190939],[-116.968530977,34.151401939],[-116.967906977,34.154849939],[-116.966020977,34.15611894],[-116.961979976,34.15432294],[-116.960673976,34.15690394],[-116.956201976,34.158421941],[-116.953764976,34.157199941],[-116.948462974,34.159116942],[-116.941312973,34.158336942],[-116.937154973,34.159790942],[-116.931970972,34.157063942],[-116.929593971,34.159267943],[-116.92596197,34.157615943],[-116.92490397,34.160483942],[-116.91803197,34.159155944],[-116.913111968,34.160286944],[-116.911376968,34.161198944],[-116.911001968,34.164281944],[-116.902394968,34.167220945],[-116.900679968,34.169801946],[-116.893685966,34.168819946],[-116.887266965,34.170799946],[-116.874592962,34.170406947],[-116.868915962,34.173037948],[-116.848487851,34.172550521],[-116.846306958,34.173848949],[-116.841293957,34.170725949],[-116.827272688,34.17065995]],[[-116.82765099,34.170605074],[-116.815986953,34.16909495],[-116.80473695,34.16166595],[-116.794162949,34.163167951],[-116.785622947,34.162243951],[-116.782859946,34.163357951],[-116.779909946,34.167329952],[-116.773371945,34.167797952],[-116.759986943,34.173337953],[-116.749145941,34.173901954],[-116.74277894,34.175862955],[-116.722159936,34.171519956],[-116.716204935,34.174076956],[-116.714405935,34.176958957],[-116.716218936,34.188194957],[-116.722045939,34.196254958],[-116.722866938,34.199776959],[-116.72793294,34.202932959],[-116.733794941,34.203987959],[-116.769078949,34.22810496],[-116.777154951,34.228256959],[-116.787136953,34.231746959],[-116.800204955,34.227778958],[-116.803703955,34.228252957],[-116.805718956,34.230457957],[-116.807331957,34.241437959],[-116.809362957,34.244482959]],[[-116.80916977,34.244301557],[-116.816669959,34.251829959],[-116.81839096,34.25844296],[-116.821961961,34.262724961],[-116.826971962,34.26128996],[-116.844010164,34.261161824]]]}"
