"byway_id","name","designats","state","source","geom_geojson"
"1221","SCENIC SUMTER HERITAGE BYWAY","Sumter","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.054718175,28.602743301],[-82.054803011,28.650180537]]]}"
"1229","BIG BEND SCENIC BYWY","Franklin","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.86278464,29.663432481],[-84.864593658,29.666300915]]]}"
"1353","TAMIAMI TRAIL HWY (OBS)","Manatee","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.576081891,27.462299991],[-82.563292279,27.462426732]]]}"
"1230","PALMA SOLA HWY","Manatee","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.707457162,27.497155226],[-82.636551211,27.4960432]]]}"
"1231","HALIFAX HERITAGE BYWAY","Volusia","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.037682193,29.187155545],[-81.039177843,29.190242816]]]}"
"1264","INDIAN RIVER LAGOON","Brevard","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.607149025,27.822783254],[-80.622767527,27.841172759],[-80.622711607,27.874075256]]]}"
"1116","LEMON BAY/MYAKKA TRL","Sarasota","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.357123956,26.962157677],[-82.353051431,26.962094091]]]}"
"1184","RIV OF LKS HRTG CORR","Volusia","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.253017112,28.869329339],[-81.244636808,28.870348585],[-81.239585095,28.872751996],[-81.227513575,28.871144193],[-81.219100921,28.866093486],[-81.162089693,28.850171298]]]}"
"1236","INDIAN RIVER LAGOON","Brevard","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.807525575,28.615382047],[-80.790675716,28.626019563],[-80.770273347,28.643172824],[-80.687422701,28.64350798],[-80.683363165,28.644868271]]]}"
"1249","HALIFAX HERITAGE BYWAY","Volusia","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.923151325,29.07830108],[-80.926097753,29.08457268]]]}"
"1117","TAMIAMI TRAIL HWY (OBS)","Sarasota","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.424955748,27.074510771],[-82.42507787,27.081714442],[-82.433371877,27.092719655],[-82.434179777,27.104251793],[-82.444518946,27.109716188]]]}"
"1118","OLD FLORIDA HERITAGE","Alachua","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.279483628,29.510203557],[-82.278278599,29.520494749],[-82.266184649,29.539636547],[-82.259791517,29.553838644],[-82.257160202,29.568976101],[-82.22772712,29.595797757]]]}"
"1119","BIG BEND SCENIC BYWY","Franklin","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.887970336,29.728768457],[-84.894309289,29.728208331],[-84.898438049,29.731810724],[-84.899415307,29.735653559]]]}"
"1120","INDIAN RIVER LAGOON","Brevard","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.789375141,28.527679436],[-80.692997885,28.526204133]]]}"
"1185","HALIFAX HERITAGE BYWAY","Volusia","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.930746228,29.083340873],[-80.926097753,29.08457268],[-80.942213186,29.104920315],[-80.969077667,29.15121063]]]}"
"1141","RIV OF LKS HRTG CORR","Seminole","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.273260968,28.815786151],[-81.287324623,28.81693487],[-81.29730942,28.82437672],[-81.305868177,28.825847368],[-81.322447862,28.833169724]]]}"
"1186","GREEN MOUNTAIN BYWAY","Orange","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.653715245,28.765927047],[-81.649156702,28.761678958],[-81.641889086,28.761684047]]]}"
"1187","SCENIC SUMTER HERITAGE BYWAY","Sumter","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.203520929,28.602267434],[-82.208869306,28.601600503],[-82.210387892,28.603059311],[-82.207723382,28.610619793],[-82.203480022,28.614285841],[-82.203421609,28.640526941]]]}"
"1188","IRL-TREASURE COAST","St. Lucie","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.327282331,27.455459225],[-80.333914206,27.470416817]]]}"
"1121","SUNCOAST SCENIC PKWY","Hillsborough","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.548162622,28.128557619],[-82.545994822,28.142765109],[-82.537941146,28.154430675],[-82.535709898,28.17261667]]]}"
"1122","HRTG CROSSROADS HWY","Volusia","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.146435732,29.403833014],[-81.148713218,29.416716702]]]}"
"1123","GREEN MOUNTAIN BYWAY","Lake","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.737407431,28.666879895],[-81.737580124,28.679040352],[-81.735526729,28.685775195],[-81.730928226,28.691138712],[-81.733224397,28.710046301]]]}"
"1204","SCENIC SUMTER HERITAGE BYWAY","Sumter","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.20341693,28.640528352],[-82.169269246,28.647726142],[-82.156726795,28.657710819],[-82.114805256,28.657606612]]]}"
"1218","TAMIAMI TRAIL HWY (OBS)","Manatee","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.564409811,27.544645161],[-82.562656154,27.549877698]]]}"
"1278","RIV OF LKS HRTG CORR","Volusia","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.212068723,28.799741279],[-81.206919733,28.80725368],[-81.187696219,28.817542218],[-81.1636705,28.844688363],[-81.162020571,28.850169586]]]}"
"1279","GREEN MOUNTAIN BYWAY","Lake","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.708077685,28.674578228],[-81.708011552,28.677757666]]]}"
"1280","BIG BEND SCENIC BYWY","Wakulla","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.398381813,30.285795113],[-84.400447816,30.302427415]]]}"
"1281","GREEN MOUNTAIN BYWAY","Lake","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.746109335,28.710178676],[-81.733224421,28.710030327]]]}"
"1282","HRTG CROSSROADS HWY","Flagler","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.122489104,29.423565236],[-81.13028692,29.446279987],[-81.137274056,29.453962609],[-81.145850957,29.476583331]]]}"
"1142","A1A OCEAN ISLANDS TRAIL (OBS)","Nassau","FL","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.458515447,30.592543321],[-81.446972604,30.598518413],[-81.443827642,30.602390056],[-81.43168853,30.667634859]]]}"
