"byway_id","name","designats","state","source","geom_geojson"
"92","Warren County-Piedmont Scenic Byway Extension","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-82.784782,33.295029],[-82.774246,33.296291],[-82.764877,33.294182],[-82.748352,33.298882],[-82.740623,33.30949],[-82.733887,33.325081],[-82.725647,33.333061],[-82.722832,33.343319],[-82.718079,33.350368],[-82.700562,33.364948],[-82.690659,33.3769],[-82.682632,33.383701],[-82.67926,33.391281],[-82.667648,33.406101],[-82.662003,33.407001]]]}"
"93","Altamaha Historic Scenic Byway","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-81.36496,31.455099],[-81.363541,31.45715],[-81.370247,31.462681],[-81.376251,31.45355],[-81.392677,31.44043],[-81.39653,31.41643],[-81.407669,31.39938],[-81.4104,31.390511],[-81.42025,31.37314],[-81.42646,31.369249],[-81.434242,31.370279],[-81.446259,31.352779],[-81.450928,31.34067],[-81.448151,31.332911],[-81.447701,31.32308],[-81.460899,31.30702]]]}"
"87","Cohutta-Chattahoochee Scenic Byway","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-84.939217,34.955151],[-84.927307,34.955109],[-84.90966,34.944279],[-84.895264001,34.944149],[-84.89402,34.941769],[-84.864983,34.942581],[-84.842628001,34.921379],[-84.830627,34.921958999],[-84.816963,34.929649],[-84.80069,34.93502],[-84.787651,34.94215],[-84.781197,34.943161],[-84.774161999,34.956661],[-84.756187,34.957470001],[-84.753982999,34.955479001],[-84.749168,34.955299],[-84.74041,34.951111],[-84.737,34.95116],[-84.743141,34.939701],[-84.747580999,34.935089],[-84.745911,34.909512],[-84.749268,34.898478999],[-84.750282,34.88097],[-84.752968,34.867989],[-84.745880001,34.867889],[-84.739113001,34.859909],[-84.732536,34.855099],[-84.731178,34.846668],[-84.724060001,34.83181],[-84.710312,34.824901999],[-84.706703001,34.825111],[-84.696068,34.819221],[-84.694770999,34.80685],[-84.699493,34.803100999],[-84.703751,34.803509],[-84.708214,34.80064]],[[-84.754288,34.765598],[-84.769653,34.766121]],[[-84.708214,34.80064],[-84.720108,34.798901001],[-84.735397,34.787628],[-84.746429001,34.774349001],[-84.755081,34.76936],[-84.754288,34.765598]],[[-84.754288,34.765598],[-84.748581,34.764309],[-84.744948999,34.759071],[-84.732552,34.759139999],[-84.729424,34.752528999],[-84.72036,34.745831],[-84.718581999,34.74065],[-84.718437,34.743649],[-84.715599,34.744801],[-84.712737999,34.74221],[-84.707359,34.743622],[-84.705688,34.75045],[-84.703918,34.751438],[-84.697098,34.752392],[-84.695663,34.751048999],[-84.693901,34.75367],[-84.689308,34.75425],[-84.692047,34.759312],[-84.686409,34.766972],[-84.686127,34.770222],[-84.683029001,34.771759],[-84.678223,34.771481],[-84.665894,34.77594],[-84.657639001,34.773312],[-84.654792999,34.775669],[-84.64904,34.776138],[-84.646423001,34.77911],[-84.639190999,34.779449],[-84.623672,34.78577]],[[-84.708214,34.80064],[-84.702919,34.797459001],[-84.703056,34.792431],[-84.700157,34.790112],[-84.69072,34.792739999],[-84.690018,34.790909],[-84.683441,34.788361]]]}"
"88","Lookout Mountain Parkway","Alabama State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-85.514689006,34.529404215],[-85.495117,34.514839],[-85.484947,34.518791],[-85.47393,34.53067],[-85.456383,34.538311],[-85.450401,34.543541],[-85.451302,34.55014],[-85.447517,34.558998],[-85.447678,34.57214],[-85.444908,34.580059],[-85.438278,34.587349],[-85.441368,34.592819],[-85.483429,34.613312],[-85.485138,34.615688],[-85.482597,34.620628],[-85.478378,34.623341],[-85.47522,34.628181],[-85.469368,34.643688],[-85.470779,34.648159],[-85.46907,34.660461],[-85.471977,34.66827],[-85.470451,34.674709],[-85.47261,34.678909],[-85.470779,34.715961],[-85.462143,34.741951],[-85.449593,34.750999],[-85.441628,34.759892],[-85.441742,34.768169],[-85.438766,34.775768],[-85.44165,34.784489],[-85.439613,34.792061],[-85.475807,34.80899],[-85.460648,34.827412],[-85.453163,34.829651],[-85.447327,34.834679],[-85.4487,34.83942],[-85.454002,34.84407],[-85.456009,34.849098],[-85.45549,34.854382],[-85.463654,34.872131],[-85.444771,34.897919],[-85.438858,34.902031],[-85.436897,34.907089],[-85.419151,34.92152],[-85.412071,34.923481],[-85.407494,34.928181],[-85.39917,34.932629],[-85.396118,34.939041],[-85.395332,34.945591],[-85.386658,34.955059],[-85.37677,34.95953],[-85.370872,34.97187],[-85.363579,34.980301],[-85.360031,34.98299],[-85.355760047,34.98356828]]]}"
"89","Ocmulgee-Piedmont Scenic Byway","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-83.534058,33.009579],[-83.537201,33.03075],[-83.555908,33.04763],[-83.56208,33.05809],[-83.578972,33.064869],[-83.584396,33.06366],[-83.589417,33.05991],[-83.605217,33.06049],[-83.608452,33.065971],[-83.609329,33.08345],[-83.615501,33.090038],[-83.616417,33.101589],[-83.614906,33.110909],[-83.625221,33.119671],[-83.640007,33.1129],[-83.647179,33.112068],[-83.654251,33.11377],[-83.66024,33.107101],[-83.665443,33.106529],[-83.680862,33.09676],[-83.696198,33.095501],[-83.700691,33.096218],[-83.70713,33.094799],[-83.714287,33.098621],[-83.725433,33.100349],[-83.733948,33.096859],[-83.741371,33.097401],[-83.747063,33.093719],[-83.751701,33.093281],[-83.755272,33.095909],[-83.76178,33.096851],[-83.771027,33.10078],[-83.780762,33.109161],[-83.787468,33.110519],[-83.799957,33.107121]]]}"
"90","Ridge and Valley Scenic Byway","Georgia State Scenic Byway, National Forest Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-85.269142,34.465729],[-85.260612,34.480309],[-85.250702,34.490479],[-85.238678,34.508629],[-85.231796,34.511959],[-85.22953,34.517101],[-85.2192,34.52198],[-85.206146,34.537079],[-85.2043,34.542061],[-85.199242,34.548328],[-85.191803,34.554008],[-85.188148,34.56012],[-85.15696,34.56945],[-85.153664,34.574879],[-85.145302,34.583012],[-85.141861,34.590599],[-85.136749,34.595001],[-85.131142,34.611229],[-85.129883,34.629238],[-85.121162,34.644779],[-85.121689,34.651031],[-85.118423,34.651169],[-85.117798,34.652729],[-85.117073,34.666069],[-85.114609,34.67382],[-85.108368,34.67128],[-85.092262,34.669769],[-85.080109,34.671001],[-85.078827,34.665909],[-85.083893,34.650291],[-85.085587,34.648849],[-85.090927,34.649021],[-85.089813,34.645859],[-85.084084,34.641418],[-85.080772,34.63485],[-85.079163,34.62112],[-85.082481,34.59639],[-85.085403,34.59304],[-85.086159,34.584309],[-85.089157,34.580601],[-85.091232,34.57901],[-85.098167,34.578918],[-85.101357,34.563889],[-85.106148,34.551048],[-85.10791,34.549641],[-85.107552,34.536369],[-85.111794,34.529171],[-85.116379,34.528759],[-85.116867,34.52594],[-85.119682,34.524872],[-85.12001,34.511909],[-85.116173,34.504261],[-85.127769,34.491112],[-85.128487,34.488258],[-85.133781,34.485859],[-85.137352,34.479778],[-85.137611,34.47525],[-85.14653,34.464699],[-85.151108,34.455551],[-85.151512,34.440071],[-85.153061,34.43082],[-85.156731,34.423569],[-85.156967,34.412289],[-85.165993,34.407871],[-85.170807,34.40173],[-85.181038,34.39896],[-85.189499,34.39241],[-85.214043,34.401642],[-85.219673,34.410561],[-85.229507,34.412971],[-85.244362,34.42107],[-85.247383,34.424179],[-85.249329,34.428761],[-85.247368,34.445351],[-85.250679,34.45256],[-85.25914,34.460911],[-85.269142,34.465729]]]}"
"91","Russell-Brasstown National Scenic Byway","National Scenic Byway, Georgia State Scenic Byway, National Forest Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-83.810205,34.874042],[-83.811329,34.874322],[-83.810205,34.874042]],[[-83.798465992,34.847620231],[-83.802322,34.860039],[-83.799248,34.860271001],[-83.803436,34.862419001],[-83.807404,34.867568999],[-83.805122,34.86956],[-83.809867,34.870141],[-83.813204,34.873545],[-83.810205,34.874042]],[[-83.798465992,34.847620231],[-83.798828,34.843639],[-83.802094,34.840591],[-83.804909,34.83437],[-83.815933,34.824451],[-83.821991,34.823479],[-83.829536,34.819279],[-83.838608,34.809799],[-83.843941,34.811211],[-83.850143,34.809738],[-83.863213,34.800110001],[-83.869339,34.799789],[-83.874138,34.79565],[-83.877517999,34.795059001],[-83.880493,34.775169001],[-83.883873001,34.770191],[-83.881622,34.76704],[-83.869621,34.76181],[-83.861602999,34.76083],[-83.859138,34.757091999],[-83.844948,34.749432],[-83.844169999,34.746941],[-83.848259,34.735222],[-83.847923,34.726452001],[-83.844063,34.728851001],[-83.838364,34.72496],[-83.835167,34.72794],[-83.829224,34.7258],[-83.827728001,34.730221],[-83.823624,34.731251],[-83.81118,34.725849001],[-83.808899,34.72646],[-83.800728,34.719681],[-83.798042,34.719311],[-83.797287,34.717288999],[-83.792191,34.71627],[-83.791321,34.712929],[-83.78878,34.712729999],[-83.787277,34.710098],[-83.783684,34.710499],[-83.785728,34.70509],[-83.788391,34.703461],[-83.786879999,34.7006],[-83.783241001,34.70314],[-83.781036,34.702438],[-83.777924,34.695469],[-83.771155999,34.693439],[-83.76944,34.699108001],[-83.766602,34.701809],[-83.759178001,34.701099],[-83.753036001,34.709011],[-83.745178,34.71307],[-83.747841,34.717789],[-83.747566,34.722889],[-83.751312,34.7253],[-83.748901001,34.728371],[-83.750633,34.76133],[-83.748833,34.767792],[-83.737419,34.777721001],[-83.745857,34.775951],[-83.744873,34.778351],[-83.74675,34.780411001],[-83.742622001,34.791939],[-83.744759,34.793709],[-83.742882,34.80323],[-83.744881,34.809818],[-83.742973,34.815289],[-83.73954,34.817089],[-83.737823,34.82122],[-83.734283,34.823738],[-83.730141,34.832218],[-83.744942,34.834091],[-83.749031,34.832062],[-83.758537,34.833241001],[-83.762917,34.83205],[-83.767937,34.837421],[-83.772903001,34.839432],[-83.774094,34.8437],[-83.779892,34.85051],[-83.780586,34.854172],[-83.78495,34.856152],[-83.792023,34.854641],[-83.798271,34.85022],[-83.798465992,34.847620231]]]}"
"94","Enduring Farmlands Scenic Byway","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-83.468567,32.282108],[-83.466873,32.282009],[-83.466377,32.274521],[-83.474167,32.254181],[-83.468941,32.23489],[-83.469711,32.225559],[-83.466881,32.220089],[-83.459808,32.21452],[-83.455383,32.202969],[-83.448479,32.193352],[-83.431541,32.17458],[-83.43058,32.167751],[-83.425583,32.161869],[-83.422272,32.145741],[-83.413879,32.134689],[-83.396172,32.098721],[-83.389748,32.08934],[-83.391182,32.082829],[-83.405777,32.06274],[-83.407303,32.05616],[-83.413865941,32.042786718]],[[-83.413865941,32.042786718],[-83.43264,32.054989],[-83.435318,32.059109],[-83.442436,32.064072],[-83.454247,32.07655],[-83.472443,32.076672],[-83.503349,32.085709],[-83.500618,32.126019],[-83.461983,32.125919],[-83.427483,32.13055],[-83.424019,32.13295],[-83.413091669,32.133252392]],[[-83.413865941,32.042786718],[-83.431374,32.017578],[-83.44133,31.991529],[-83.456421,31.976629],[-83.45623,31.950871],[-83.441383,31.950951],[-83.433739,31.95705],[-83.423943,31.960751],[-83.400612,31.961161],[-83.370567,31.9716],[-83.343193,31.985069],[-83.319519,31.991819],[-83.306892,31.99234],[-83.307022,31.99593],[-83.323563,32.00425],[-83.336731,32.007549],[-83.358932,32.016479],[-83.370049,32.023239],[-83.381088,32.033031],[-83.389488,32.033611],[-83.413865941,32.042786718]]]}"
"95","Historic Effingham-Ebenezer Scenic Byway","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-81.417379842,32.309805706],[-81.420753,32.306808001],[-81.449188,32.297741],[-81.448593,32.296638]],[[-81.269203,32.487129],[-81.267769,32.476871],[-81.272018,32.469891],[-81.273598,32.451241],[-81.277122,32.442822],[-81.277718,32.413448],[-81.284081,32.398391999],[-81.299460999,32.393101001],[-81.306252,32.388279],[-81.308350001,32.381321],[-81.315773,32.374451],[-81.313301001,32.370731],[-81.318314,32.3666],[-81.330513,32.36121],[-81.363907,32.341801],[-81.403938,32.325901],[-81.417379842,32.309805706]],[[-81.417379842,32.309805706],[-81.412376,32.29866],[-81.405792,32.295078],[-81.391869,32.293701],[-81.39109,32.26408],[-81.393562,32.257149],[-81.402008,32.24828],[-81.405388,32.240540001],[-81.401687999,32.21859],[-81.393867,32.210152],[-81.391723999,32.205212],[-81.391838,32.196239],[-81.400139,32.18454],[-81.385986001,32.168700999],[-81.36853,32.160079999],[-81.377319,32.146778],[-81.378532001,32.13966],[-81.383461,32.139889001],[-81.389458,32.137821],[-81.385391,32.129101],[-81.387009,32.124729]],[[-81.269203,32.487129],[-81.273849,32.515888],[-81.269653,32.526058],[-81.277672,32.531059],[-81.276482,32.531929]],[[-81.221268,32.350361],[-81.228668,32.362999],[-81.238708,32.367222001],[-81.25013,32.37785],[-81.245712,32.379822],[-81.243149,32.389679],[-81.237213,32.396729],[-81.237747,32.399971],[-81.250427,32.418812],[-81.244812001,32.433392],[-81.243134001,32.44698],[-81.238327,32.451889],[-81.237732001,32.456821],[-81.243423,32.464210999],[-81.248108,32.475849001],[-81.253403,32.479038],[-81.261208,32.48093],[-81.263420001,32.484619],[-81.267189,32.484169],[-81.26767,32.48708],[-81.269203,32.487129]],[[-81.235893,32.296169],[-81.230658999,32.296822001],[-81.217239001,32.302849001],[-81.211967,32.310791],[-81.215469,32.32267],[-81.212540001,32.335789],[-81.212951999,32.342811999],[-81.213951,32.345871],[-81.221268,32.350361]],[[-81.221268,32.350361],[-81.182091,32.373341],[-81.182158999,32.37801]]]}"
"96","Historic Piedmont Scenic Byway","Georgia State Scenic Byway","GA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer/27","{""type"":""MultiLineString"",""coordinates"":[[[-83.539917,33.312222],[-83.481468,33.306561],[-83.405151,33.320461],[-83.388573,33.32666],[-83.387909,33.325539],[-83.380798,33.32795],[-83.368179,33.336109],[-83.35463,33.340092],[-83.341522,33.340431],[-83.326157,33.338371],[-83.314148,33.341461],[-83.241188,33.34824],[-83.138184,33.33403],[-83.123528,33.34412],[-83.092903,33.345989],[-83.089111,33.345058],[-83.069199,33.331921],[-82.977791,33.28775],[-82.976501,33.285831],[-82.976578,33.275398],[-82.970306,33.27634],[-82.965401,33.278759],[-82.962593,33.282349],[-82.895302,33.308311],[-82.871338,33.315849],[-82.857239,33.31609],[-82.846558,33.314072],[-82.828629,33.308262],[-82.811096,33.29874],[-82.790466,33.294579],[-82.774719,33.296299],[-82.764877,33.294182],[-82.750359,33.297722],[-82.746399,33.300892],[-82.740356,33.309971],[-82.733887,33.325081],[-82.725647,33.333061],[-82.722832,33.343319],[-82.718079,33.350368],[-82.700562,33.364948],[-82.690659,33.3769],[-82.682632,33.383701],[-82.67926,33.391281],[-82.666557,33.40691]]]}"
