"byway_id","name","designats","state","source","geom_geojson"
"196","Wilderness Road Heritage Highway","National Scenic Byway, Kentucky Heritage Highway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-83.676082639,36.59816763],[-83.687988,36.60498],[-83.700089,36.605572],[-83.70356,36.614429],[-83.704132,36.639118],[-83.699821,36.645721],[-83.7006,36.658001],[-83.692589,36.666512],[-83.68692,36.668911],[-83.684248,36.676327],[-83.685413,36.680943],[-83.684063,36.685871],[-83.684865,36.69455],[-83.692048,36.698587],[-83.696613,36.706227],[-83.689667,36.71759],[-83.690063,36.727039],[-83.696083,36.737492],[-83.693108,36.744591],[-83.69371,36.757278],[-83.698769,36.761429],[-83.705811,36.764309],[-83.710999,36.763161],[-83.717522,36.768589],[-83.726967,36.771069],[-83.735573,36.775391],[-83.74218,36.787762],[-83.752831,36.792839],[-83.757538,36.80537],[-83.771957,36.819931],[-83.794838,36.861771],[-83.807961,36.86874],[-83.813789,36.87421],[-83.821808,36.876461],[-83.827744,36.875401],[-83.851288,36.853729],[-83.855278,36.851879],[-83.862244,36.852589],[-83.877823,36.861511],[-83.882751,36.881882],[-83.889069,36.89521],[-83.888901,36.904381],[-83.895668,36.911751],[-83.901901,36.912788],[-83.905632,36.917931],[-83.904938,36.920311],[-83.898071,36.926472],[-83.897636,36.9291],[-83.893387,36.93177],[-83.894974,36.941269],[-83.891037,36.949841],[-83.891769,36.95578],[-83.895088,36.96228],[-83.900101,36.964218],[-83.904579,36.970741],[-83.91552,36.974152],[-83.926018,36.975128],[-83.929031,36.98156],[-83.928726,36.985722],[-83.923553,36.994518],[-83.927498,37.003231],[-83.947739,37.014],[-83.959969,37.030869],[-83.969498,37.03376],[-83.976212,37.033298],[-83.980453,37.0354],[-83.988602,37.03455],[-83.996643,37.036861],[-84.014282,37.037521],[-84.017738,37.047482],[-84.025383,37.051128],[-84.028358,37.05661],[-84.032867,37.06068],[-84.042381,37.080002],[-84.051376,37.084049],[-84.054977,37.083881],[-84.059441,37.088032],[-84.062553,37.08783],[-84.075394,37.113461],[-84.075142,37.11972],[-84.085648,37.130871],[-84.095016,37.135979],[-84.101967,37.142422],[-84.10498,37.157398],[-84.120178,37.167358],[-84.137352,37.185989],[-84.141808,37.188862],[-84.149742,37.189991],[-84.155144,37.19313],[-84.163811,37.20414],[-84.167717,37.215611],[-84.171547,37.21806],[-84.172501,37.221931],[-84.181549,37.22081],[-84.198647,37.227619],[-84.202179,37.230381],[-84.207253,37.230701],[-84.211906,37.235161],[-84.219048,37.238651],[-84.22123,37.24646],[-84.227158,37.252548],[-84.226624,37.259109],[-84.229736,37.266418],[-84.21859,37.275059],[-84.222382,37.284489],[-84.221428,37.292721],[-84.214218,37.296478],[-84.222549,37.302292],[-84.227501,37.302521],[-84.232018,37.299759],[-84.234772,37.300179],[-84.237549,37.306061],[-84.245654,37.30998],[-84.247978,37.319328],[-84.24707,37.32592],[-84.248573,37.32819],[-84.256912,37.331161],[-84.264832,37.32943],[-84.277344,37.337181],[-84.294762,37.338161],[-84.313591,37.343731],[-84.317749,37.347721],[-84.323273,37.346958],[-84.330742,37.348541],[-84.340538,37.35289],[-84.33606,37.362801],[-84.337219,37.368221],[-84.330521,37.377689],[-84.330368,37.383282],[-84.336449,37.409149],[-84.333313,37.414719],[-84.332527,37.428082],[-84.329674,37.431099],[-84.31955,37.4347],[-84.317543,37.438259],[-84.330902,37.459221],[-84.33287,37.470558],[-84.320007,37.513321],[-84.313835,37.523371],[-84.313316,37.542969],[-84.309418,37.551399],[-84.309608,37.556259],[-84.305473,37.563332],[-84.305969,37.56773],[-84.296608,37.568539]]]}"
"190","Cordell Hull Highway","Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-86.112427,37.17955],[-86.108017,37.17749],[-86.090973,37.181549],[-86.088531,37.17168],[-86.083397,37.170559],[-86.079178,37.166618],[-86.07489,37.165138],[-86.064697,37.155022],[-86.04586,37.152012],[-86.038239,37.144588],[-86.039436,37.137611],[-86.035744,37.133942],[-86.030518,37.131809],[-86.007317,37.134251],[-86.001953,37.13298],[-85.980164,37.136021],[-85.970139,37.1334],[-85.962097,37.127258],[-85.963493,37.115589],[-85.970673,37.10664],[-85.973068,37.100842],[-85.973228,37.09446],[-85.970848,37.086601],[-85.960022,37.065472],[-85.949608,37.05024],[-85.941017,37.029629],[-85.924103,37.010941],[-85.908157,37.004101],[-85.913498,36.993328],[-85.907578,36.99094],[-85.908798,36.989231],[-85.895683,36.975391],[-85.887939,36.9613],[-85.875847,36.929619],[-85.868568,36.921452],[-85.866272,36.912521],[-85.868027,36.90593],[-85.862717,36.899712],[-85.857719,36.896912],[-85.854118,36.890442],[-85.844971,36.884659],[-85.847794,36.880341],[-85.848396,36.86636],[-85.838341,36.854099],[-85.836212,36.843189],[-85.828812,36.83857],[-85.826523,36.813049],[-85.820808,36.80743],[-85.819122,36.801479],[-85.819893,36.799412],[-85.804413,36.78022],[-85.799713,36.776451],[-85.799171,36.7668],[-85.787804,36.754501],[-85.770943,36.750191],[-85.760727,36.744209],[-85.753342,36.73695],[-85.739532,36.73735],[-85.728409,36.729839],[-85.724182,36.728588],[-85.720909,36.724281],[-85.71946,36.718658],[-85.706718,36.715172],[-85.70546,36.71051],[-85.700523,36.70784],[-85.699188,36.705021],[-85.69516,36.704441],[-85.68853,36.70042],[-85.684799,36.694302],[-85.681023,36.69244],[-85.669128,36.680248],[-85.661667,36.677212],[-85.65538,36.66563],[-85.64193,36.662731],[-85.63726,36.658779],[-85.631569,36.65815],[-85.629372,36.654099],[-85.625908,36.653271],[-85.625069,36.646439],[-85.619858,36.641731],[-85.622627,36.635979],[-85.628563,36.632721],[-85.62822,36.626381],[-85.634666,36.623131],[-85.636032,36.620289],[-85.640339486,36.617535173]]]}"
"194","Pine Mountain Road","Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-83.324501,36.86087],[-83.322983,36.86327],[-83.317047,36.864498],[-83.312607,36.870152],[-83.300392,36.873779],[-83.293312,36.881241],[-83.274918,36.88435],[-83.269409,36.891891],[-83.259361,36.89695],[-83.225792,36.904171],[-83.218338,36.90844],[-83.211151,36.909088],[-83.189957,36.915089],[-83.169899,36.9245],[-83.16037,36.92577],[-83.14492,36.931381],[-83.127907,36.940861],[-83.119507,36.941391],[-83.110268,36.945381],[-83.078972,36.950451],[-83.053482,36.964882],[-83.021294,36.967491],[-83.010803,36.973259],[-82.997353,36.97197],[-82.992378,36.973492],[-82.979462,36.973511],[-82.975594,36.975712],[-82.972839,36.981701],[-82.96965,36.984051],[-82.95874,36.985298],[-82.953972,36.989929],[-82.945328,36.989941],[-82.901802,37.004631],[-82.890244,37.015381],[-82.881157,37.016171],[-82.881142,37.018318],[-82.878677,37.02063],[-82.871964,37.01981],[-82.87001,37.029671],[-82.852303,37.032719],[-82.847527,37.038589],[-82.842911,37.0406],[-82.839394,37.037689],[-82.839661,37.042068],[-82.833603,37.043018],[-82.833191,37.045368],[-82.829582,37.047192],[-82.828491,37.050659],[-82.821648,37.051079],[-82.820312,37.055931],[-82.814178,37.055592],[-82.807709,37.05994],[-82.804298,37.057968],[-82.803413,37.061211],[-82.799721,37.059341],[-82.797607,37.05999],[-82.797157,37.064049],[-82.793297,37.066311],[-82.798927,37.066292],[-82.799873,37.064281],[-82.801376,37.065708],[-82.798691,37.069679],[-82.80674,37.06855],[-82.81002,37.073021],[-82.810829,37.077541],[-82.807503,37.080528],[-82.801262,37.08223],[-82.792099,37.091202],[-82.799248,37.089539],[-82.796272,37.09111],[-82.792053,37.098701],[-82.801437,37.09639],[-82.800613,37.101131],[-82.804108,37.10358],[-82.80304,37.111118]]]}"
"187","Boone Creek Scenic Byway","Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.426224,37.983898],[-84.356163,37.94482],[-84.347511,37.936798],[-84.345161,37.936272]]]}"
"188","Lincoln Heritage Scenic Highway","National Scenic Byway, Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-85.732948,37.531391001],[-85.73555,37.547379001],[-85.734642,37.558633],[-85.740181,37.569518999],[-85.740242,37.573559],[-85.730667,37.573109],[-85.716811999,37.579361],[-85.704689,37.580959],[-85.690407,37.588131],[-85.669861,37.586159],[-85.664436,37.589169],[-85.659828,37.599541],[-85.648048,37.601211999],[-85.64032,37.60508],[-85.637901,37.610771],[-85.632720999,37.61549],[-85.607017999,37.632019],[-85.60228,37.639469],[-85.601341001,37.647017999],[-85.593941,37.6525],[-85.591476,37.663234],[-85.583656,37.667252],[-85.574318,37.67564],[-85.56543,37.688541],[-85.559569999,37.691921],[-85.556381,37.698002],[-85.546867,37.70079],[-85.539963,37.707481],[-85.533783,37.710709],[-85.525452,37.723171],[-85.527344,37.72744],[-85.526718,37.729469001],[-85.507362001,37.740920999],[-85.50312,37.755459],[-85.496788,37.765739],[-85.495079,37.778568],[-85.470963,37.81002],[-85.453659,37.807331],[-85.443481,37.79887],[-85.432152,37.798161],[-85.42466,37.795929],[-85.418968,37.788471],[-85.402496,37.785400001],[-85.388908,37.776421],[-85.361313,37.775219],[-85.35157,37.76334],[-85.313263,37.759029],[-85.304153,37.75111],[-85.295563,37.739658],[-85.284668,37.728859],[-85.27803,37.71748],[-85.258667,37.709511],[-85.250793,37.7005],[-85.240379,37.692219],[-85.23381,37.691292],[-85.212807,37.681759],[-85.201607,37.686291001],[-85.199852,37.678349],[-85.194641,37.672459],[-85.173203,37.661228],[-85.164261,37.662048],[-85.151978,37.65984],[-85.110786,37.657822],[-85.091843,37.654411],[-85.082229999,37.650612],[-85.043358,37.64716],[-85.007736,37.650242],[-84.98082,37.649071],[-84.96431,37.651489],[-84.948532,37.650452],[-84.93718,37.65295],[-84.917511,37.653450001],[-84.833672,37.648159],[-84.803108,37.64856],[-84.79071,37.647461],[-84.787527,37.645647],[-84.77404,37.64592]]]}"
"189","Coal Heritage Trail - VA","Virginia State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.307289089,37.300870822],[-82.309156,37.30024]]]}"
"191","Cumberland Cultural Heritage Highway","Kentucky Heritage Highway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-85.614326001,36.946121],[-85.614853,36.951561],[-85.608909999,36.970451],[-85.612419,36.983059],[-85.608307,36.99102],[-85.600052001,36.99733],[-85.57592,37.001141001],[-85.56916,37.005241],[-85.564078999,37.00404],[-85.558693,37.006931],[-85.551559,37.00631],[-85.549522,37.009941],[-85.542686,37.014462001],[-85.538322,37.007778],[-85.529556,37.004681],[-85.525902,36.99984],[-85.514023,36.997650001],[-85.506401,37.00349],[-85.500893,37.01022],[-85.482245999,37.011349],[-85.478333,37.016628],[-85.478889,37.021671],[-85.471428,37.031119999],[-85.471489,37.037071],[-85.460083,37.044868],[-85.448921,37.045761001],[-85.444000001,37.051601],[-85.422142,37.063541],[-85.420035999,37.067501001],[-85.414963,37.071178],[-85.381638,37.079479001],[-85.372139001,37.0798],[-85.338309999,37.076069],[-85.319878,37.0886],[-85.313828,37.09866],[-85.305962,37.102638]],[[-85.368111,36.792728001],[-85.374687,36.784088],[-85.363922,36.776309999],[-85.361121999,36.770191],[-85.327133,36.758411],[-85.277367,36.77037],[-85.251251,36.768742],[-85.233910001,36.77005],[-85.21431,36.768539],[-85.193047,36.758091001],[-85.185303,36.75605],[-85.118103,36.753311],[-85.096619001,36.754291999],[-85.08255,36.749088],[-85.046463,36.761929],[-85.02581,36.76228],[-84.998383,36.76659],[-84.985184,36.763939],[-84.965538,36.765839],[-84.953957,36.779289],[-84.943741,36.787868],[-84.924492,36.800209],[-84.910728,36.806938],[-84.898567,36.817902],[-84.88443,36.819561001],[-84.875793,36.816448],[-84.869972,36.821011],[-84.869179,36.823891],[-84.858062999,36.825668],[-84.854172001,36.824841],[-84.849121,36.829369]],[[-85.305962,37.102638],[-85.303749,37.104519],[-85.302673,37.110481],[-85.296242,37.120731],[-85.296066,37.129311],[-85.331718,37.197639],[-85.345177,37.2164],[-85.346008,37.221821001],[-85.343422,37.23201],[-85.34462,37.23703],[-85.350402999,37.24411],[-85.357742,37.248871],[-85.36158,37.256699],[-85.373993,37.266602],[-85.376548999,37.270850999],[-85.375397,37.276779],[-85.35807,37.297489001],[-85.355522001,37.302731],[-85.36042,37.338081]],[[-85.305962,37.102638],[-85.302460001,37.09927],[-85.302169999,37.095589],[-85.295181001,37.092998999],[-85.255835999,37.087151],[-85.221153,37.075981],[-85.195511,37.0816],[-85.153107,37.075439],[-85.141182,37.07238],[-85.13031,37.0742],[-85.116508,37.07238],[-85.091423,37.057961]],[[-85.071250999,37.066109],[-85.071381,37.075539001],[-85.058890999,37.103882],[-85.050659,37.112358001],[-85.046738,37.120609001],[-85.034828,37.130932],[-85.030983,37.143379],[-85.026199,37.148819],[-85.022392,37.15659],[-85.007187,37.167271],[-85.010597,37.17905],[-85.008201999,37.186859],[-85.011253,37.190601001],[-85.013046,37.196999],[-84.99633,37.201569],[-84.991371,37.206612001],[-84.980339,37.20705],[-84.973,37.212970999],[-84.956558,37.220321999],[-84.955978,37.223518],[-84.964087999,37.241291],[-84.966751,37.252838],[-84.958298,37.279148],[-84.958748,37.285278],[-84.947258,37.30117],[-84.944878,37.307259001],[-84.931976,37.3153],[-84.922234,37.326019],[-84.90918,37.331841],[-84.907043001,37.337582],[-84.892693,37.344410001],[-84.880898,37.346661],[-84.868698,37.355129],[-84.867400999,37.363892001],[-84.869377,37.375751],[-84.863449,37.399158],[-84.854523,37.412682],[-84.850304,37.432892],[-84.828590001,37.453732],[-84.821510001,37.465099],[-84.821806424,37.4715312]],[[-84.610184,37.001381],[-84.613297,36.995762],[-84.625061,36.98753],[-84.643044,36.984451],[-84.68338,36.971241],[-84.702399999,36.959041999],[-84.713852,36.948769],[-84.760841001,36.925812],[-84.766541,36.929829],[-84.783669,36.934212001],[-84.787331,36.93346],[-84.788498,36.935532],[-84.800812,36.941681],[-84.808037,36.942982],[-84.818329,36.941479],[-84.822227,36.93383],[-84.826858999,36.928902],[-84.832237,36.934021],[-84.837288001,36.93486],[-84.837601,36.931961],[-84.842857,36.930430999],[-84.846992,36.923512]],[[-84.821806424,37.4715312],[-84.821762001,37.479408],[-84.808601001,37.499439],[-84.804626,37.533821],[-84.797462,37.564629],[-84.79026,37.577919],[-84.773979,37.59964],[-84.775032,37.635288],[-84.77327,37.637248999],[-84.772423,37.645802],[-84.766617,37.645401],[-84.759521,37.637581],[-84.734688,37.621521],[-84.730713,37.617069],[-84.727898,37.608501],[-84.727509,37.596851],[-84.723808001,37.591221],[-84.697807,37.571442],[-84.676743,37.558369],[-84.671219,37.547321],[-84.667060999,37.528999],[-84.671508999,37.526749001],[-84.680748,37.528881],[-84.686661,37.526669],[-84.703102,37.512611],[-84.71785,37.507648],[-84.721786,37.504391],[-84.722977,37.500228999],[-84.73774,37.48996],[-84.754204,37.48896],[-84.769698999,37.483871],[-84.781769,37.483008999],[-84.785751,37.479308999],[-84.793678,37.476021],[-84.803703001,37.475788],[-84.821806424,37.4715312]],[[-84.785217001,36.946522],[-84.779327001,36.963871001],[-84.781181,36.97113],[-84.772391999,36.974289001],[-84.764191,36.980141],[-84.760963,36.984329],[-84.756248,36.985939],[-84.753639,36.9907],[-84.744659,36.995949],[-84.733658,37.017269],[-84.734809999,37.027771],[-84.733597001,37.031929],[-84.734009,37.044868],[-84.740959,37.057281],[-84.743362,37.06509],[-84.741828999,37.068599999]]]}"
"192","Duncan Hines Scenic Road","Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-86.397293,37.01022],[-86.381767,37.01059],[-86.375153,37.016979],[-86.333647664,37.03869091]],[[-86.333647664,37.03869091],[-86.290039,37.061871],[-86.228699,37.085499],[-86.232613,37.093578],[-86.228996,37.10323],[-86.229172,37.11533],[-86.235222,37.120331],[-86.237007,37.123711],[-86.230247,37.14043],[-86.221512,37.147591],[-86.221878,37.15889],[-86.235268,37.173431],[-86.254898,37.189869],[-86.264351,37.190331],[-86.282784,37.204731],[-86.284447,37.207771],[-86.288353,37.20771],[-86.292313,37.212589],[-86.301628,37.21394],[-86.30632,37.217659],[-86.314461,37.217911],[-86.321983,37.21574],[-86.325653,37.216549],[-86.337433,37.226238],[-86.339508,37.23111],[-86.345352,37.234879],[-86.354942,37.246422],[-86.361549,37.24881],[-86.368134,37.248508],[-86.36924,37.260529],[-86.37355,37.264488],[-86.378563,37.275349],[-86.376053,37.292488],[-86.369843,37.297169],[-86.366783,37.294861],[-86.346329,37.297161],[-86.338631,37.292252],[-86.325539,37.290218],[-86.320572,37.287289],[-86.313164,37.288181],[-86.304817,37.29184],[-86.287872,37.289951],[-86.276047,37.285809],[-86.274742,37.276051],[-86.276016,37.27346],[-86.26725,37.27227],[-86.26236,37.273331],[-86.260963,37.27494],[-86.260689,37.281071],[-86.258049,37.282242],[-86.244453,37.276421],[-86.234627,37.26952],[-86.225548,37.266788],[-86.222313,37.267899],[-86.220673,37.271881],[-86.214996,37.27346],[-86.204277,37.27029],[-86.189377,37.27705],[-86.174622,37.27684],[-86.166138,37.271011],[-86.16053,37.269161],[-86.152939,37.25975],[-86.142738,37.259129],[-86.133293,37.25502],[-86.126869,37.240559],[-86.124336,37.23838],[-86.131653,37.223888],[-86.130081,37.213001],[-86.125862,37.20348],[-86.119431,37.19886],[-86.118141,37.191929],[-86.11908,37.18959],[-86.116653,37.181419],[-86.108818,37.177448],[-86.090973,37.181549],[-86.087502,37.16798],[-86.088913,37.165668],[-86.097397,37.16193],[-86.100418,37.152729],[-86.11039,37.15229],[-86.1157,37.14991],[-86.122391,37.151711],[-86.125664,37.157761],[-86.133759,37.16198],[-86.151993,37.15974],[-86.160362,37.16283],[-86.165756,37.168011],[-86.17865,37.168381],[-86.186531,37.157501],[-86.183838,37.141258],[-86.155067,37.123379],[-86.145599,37.106209],[-86.147362,37.10162],[-86.147408,37.089771],[-86.139458,37.081779],[-86.140007,37.072289],[-86.137016,37.06892],[-86.135986,37.063831],[-86.143211,37.063782],[-86.146294,37.05093],[-86.163048,37.046761],[-86.17202,37.049252],[-86.208687,37.051239],[-86.20768,37.057732],[-86.211052,37.057812],[-86.211304,37.06134],[-86.221588,37.060162],[-86.236359,37.0616],[-86.237328,37.054428],[-86.240112,37.054352],[-86.241119,37.049122],[-86.251488,37.047409],[-86.249153,37.042019],[-86.248802,37.031921],[-86.27359,37.033508],[-86.288582,37.032822],[-86.297417,37.030128],[-86.304352,37.03281],[-86.326462,37.033379],[-86.333647664,37.03869091]]]}"
"193","Midway-Versailles Road (US-62)","Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.730324,38.052879],[-84.72998,38.055988],[-84.737427,38.069519],[-84.7099,38.106098],[-84.682961,38.152802],[-84.684273,38.156841],[-84.681778,38.159389]]]}"
"195","Riverboat Row Scenic Byway","Kentucky State Scenic Byway","KY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.488662999,39.101822],[-84.501862,39.092812],[-84.503418,39.087509]]]}"
