"byway_id","name","designats","state","source","geom_geojson"
"789","ACADIA SCENIC BYWAY","A","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-68.20345804,44.361251319],[-68.203409549,44.361297563]],[[-68.203409549,44.361297563],[-68.200522766,44.359043966],[-68.193445337,44.363133209],[-68.188494805,44.360111274],[-68.187609456,44.347699405],[-68.183227728,44.339167675],[-68.185059796,44.334693419],[-68.184997992,44.328052393],[-68.191426977,44.317903609],[-68.191864426,44.313259363],[-68.189284601,44.310707774],[-68.19044187,44.307727257],[-68.192845754,44.307296505],[-68.197035721,44.316512151],[-68.199959038,44.317175432],[-68.200383299,44.308515724],[-68.202944225,44.30233744],[-68.207076619,44.300810212],[-68.208457514,44.298662847],[-68.214599761,44.297220874],[-68.21682844,44.299655466],[-68.218033717,44.304845407],[-68.22748181,44.317146795],[-68.234048676,44.315979235],[-68.236549143,44.312075829],[-68.24150137,44.311833149],[-68.247145267,44.313354542],[-68.252836544,44.319751255],[-68.248327814,44.322244047],[-68.251371558,44.334490071],[-68.248881875,44.347001333],[-68.246150777,44.348169613],[-68.244556095,44.351634571],[-68.240588893,44.350058678],[-68.24149742,44.364531111],[-68.235221778,44.37133503],[-68.233924505,44.374971476]],[[-68.203409549,44.361297563],[-68.197718671,44.365350212],[-68.197297502,44.372915491],[-68.202249031,44.37975637],[-68.204298492,44.387592735],[-68.213002427,44.386048748],[-68.215409002,44.389005894]],[[-68.233924505,44.374971476],[-68.231933464,44.378223229],[-68.229258885,44.378496501],[-68.222228772,44.372588591],[-68.221293807,44.376352049],[-68.218610487,44.376799218],[-68.214734421,44.372993804],[-68.204300784,44.368610195],[-68.203409549,44.361297563]],[[-68.233924505,44.374971476],[-68.23120306,44.383437163],[-68.226787801,44.386144046],[-68.230025359,44.390176249],[-68.22810882,44.396362553],[-68.238085047,44.406286856],[-68.245961215,44.410334804]],[[-68.215409002,44.389005894],[-68.216101712,44.389172336]],[[-68.216101712,44.389172336],[-68.215409002,44.389005894]],[[-68.216101712,44.389172336],[-68.216700905,44.389260582]],[[-68.216700905,44.389260582],[-68.216101712,44.389172336]],[[-68.216700905,44.389260582],[-68.222636173,44.39427598]],[[-68.222636172,44.39427607],[-68.231075771,44.399873651],[-68.23700222,44.40699801],[-68.245961215,44.410334804]],[[-68.245961215,44.410334804],[-68.250496723,44.412083632],[-68.250372848,44.425574316],[-68.253134956,44.428779859],[-68.271493004,44.430925494],[-68.286367799,44.429042122],[-68.308815543,44.435716176],[-68.319906447,44.433089673],[-68.326190263,44.425348501],[-68.335239171,44.419920784],[-68.351839918,44.418921362],[-68.363652539,44.42132393]],[[-68.364095305,44.422124227],[-68.365580866,44.425583415]]]}"
"785","ST JOHN VALLEY CULTURAL BYWAY","S","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-67.806250943,47.04998759],[-67.799535912,47.061301026],[-67.800131368,47.065469258],[-67.803657396,47.069560538]],[[-67.803657367,47.069560601],[-67.82271149,47.080948055],[-67.839874445,47.082166344],[-67.864272698,47.095714655],[-67.879062673,47.100127658],[-67.885150129,47.103567358],[-67.892709281,47.112651104],[-67.893509967,47.120854274],[-67.902752779,47.132400634],[-67.91063784,47.138128278],[-67.915705539,47.144168255],[-67.939242362,47.15917687],[-67.948378554,47.176516848],[-67.956845645,47.186339871],[-67.969110664,47.196253808],[-67.978513611,47.20267194],[-67.994743352,47.207034829],[-68.008424555,47.21304279],[-68.010313729,47.215620691],[-68.01027932,47.222523331],[-68.022592981,47.234508387],[-68.035963747,47.240049999],[-68.054024694,47.25043531],[-68.07885838,47.256840685],[-68.097113318,47.264666332],[-68.107925623,47.278891773],[-68.124153499,47.285063199],[-68.141259276,47.295887585],[-68.159337299,47.31184135],[-68.163156872,47.316908647],[-68.179266308,47.326530442]],[[-69.090726744,47.112708875],[-69.084546817,47.108500501],[-69.080345751,47.102813584],[-69.051252825,47.088945024],[-69.047297361,47.083705753],[-69.034779365,47.083492651],[-69.022593628,47.089303823],[-69.007261333,47.088928374],[-68.995309786,47.091106174],[-68.979402382,47.100750931],[-68.97812371,47.106505299],[-68.974991614,47.10892087],[-68.969231352,47.110440139],[-68.956355114,47.107448514],[-68.946552883,47.10844927],[-68.932051638,47.118449478],[-68.930334384,47.129270153],[-68.942614124,47.143609041],[-68.943954487,47.14833281],[-68.937934477,47.155159659],[-68.906996706,47.169621433],[-68.89850563,47.168202316],[-68.889407198,47.170799364],[-68.865679345,47.187784373],[-68.855715746,47.190001269],[-68.83774567,47.19844775],[-68.825507177,47.201067967],[-68.816777815,47.205772001],[-68.80161947,47.209949307],[-68.792178603,47.214278186],[-68.77775224,47.215556243],[-68.734749765,47.226861263],[-68.716596426,47.236290955],[-68.69968287,47.237407975],[-68.683114179,47.240790149],[-68.673135666,47.236139731],[-68.661925856,47.233748949],[-68.645772219,47.238083812],[-68.622959618,47.238426879],[-68.592135221,47.252605221],[-68.589800007,47.258295014],[-68.591584613,47.267999409],[-68.580554666,47.277900065],[-68.573915289,47.280869859],[-68.545999763,47.280554202],[-68.537793975,47.283056349],[-68.529291009,47.289812415],[-68.519691816,47.29383911],[-68.501530792,47.294001767],[-68.488051357,47.292092386],[-68.473734534,47.293515104],[-68.459032728,47.283980376],[-68.443294821,47.279713526],[-68.424112162,47.280102888],[-68.409451591,47.283221567],[-68.386013037,47.279334281],[-68.380066851,47.280877971]],[[-68.290719409,47.228031032],[-68.308783385,47.242738345],[-68.330114494,47.244261595],[-68.345987572,47.249711898],[-68.353466032,47.256766712],[-68.356803928,47.267926521],[-68.371404027,47.274624831],[-68.380066851,47.280877971]],[[-68.179266336,47.326530389],[-68.212575287,47.334026761],[-68.24206351,47.343662117],[-68.297471999,47.352643412],[-68.331570913,47.356325462],[-68.355771666,47.353922482],[-68.37013911,47.347687334],[-68.37778518,47.336038457],[-68.381882975,47.324427],[-68.382238073,47.320882505],[-68.377339908,47.310727099],[-68.379240829,47.302616425],[-68.371443826,47.289771593],[-68.372558851,47.28612207],[-68.380066851,47.280877971]]]}"
"780","OLD CANADA ROAD SCENIC BYWAY","N","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-69.806963334,44.888010939],[-69.810743866,44.899442149],[-69.827980652,44.923650026],[-69.840457182,44.937184542],[-69.860961502,44.95063309],[-69.862411986,44.964152337],[-69.867479469,44.981875295],[-69.858249101,45.002143983],[-69.857555643,45.027214801],[-69.859599042,45.034484785],[-69.8632894,45.04025649],[-69.871312372,45.043558905],[-69.881544709,45.051605897],[-69.883664479,45.05574562],[-69.882099746,45.061332427],[-69.885095704,45.067132204],[-69.899182171,45.073512549],[-69.903582404,45.083418106],[-69.917539975,45.085536928],[-69.919807059,45.087909638],[-69.920693778,45.095389257],[-69.923045205,45.098890403],[-69.935585001,45.098395358],[-69.943556568,45.104810451],[-69.949267146,45.124891043],[-69.94577819,45.137298208],[-69.948407589,45.140018682],[-69.946824591,45.148068682],[-69.947624723,45.152796424],[-69.973632529,45.16130391],[-69.979790008,45.164238569],[-69.983359345,45.167996306],[-69.981314358,45.19242787],[-69.987720925,45.21156517],[-69.988029932,45.223185172]],[[-69.988029971,45.223185216],[-69.996523009,45.236238234],[-69.995451596,45.240444429],[-69.989509209,45.247136668],[-69.988874903,45.256243052],[-69.996414759,45.26811241],[-69.985572746,45.299407054],[-69.980770264,45.3072545],[-69.979981943,45.317586112]],[[-69.979982008,45.317586148],[-69.96840442,45.330433266],[-69.967643994,45.336137516],[-69.975798004,45.344619489],[-69.985494112,45.350347109],[-69.989874984,45.357884425],[-70.006986807,45.365015904],[-70.014467297,45.3735415],[-70.020596083,45.386498337],[-70.03331209,45.393688817],[-70.050672031,45.428099624]],[[-70.05067198,45.42809967],[-70.055090784,45.438990606],[-70.054454374,45.452274398],[-70.056084683,45.458356946],[-70.06519355,45.468727271]],[[-70.065193677,45.46872727],[-70.064910543,45.476448441],[-70.07540734,45.491599808],[-70.079796489,45.504234917],[-70.090957834,45.512768111],[-70.094513815,45.522143653],[-70.100013977,45.52822724],[-70.10383502,45.538508081],[-70.120915476,45.551202591],[-70.133673308,45.557561956],[-70.14501389,45.572935159],[-70.158475143,45.580236441],[-70.174765284,45.5810703],[-70.182061106,45.584047203],[-70.195704412,45.595771867],[-70.200702237,45.60538652],[-70.216675327,45.6120296],[-70.237666419,45.613936011],[-70.260006492,45.62758125],[-70.261474881,45.630473293],[-70.261958671,45.641059547],[-70.26764258,45.659038223],[-70.283705022,45.674815383],[-70.287509182,45.693474475],[-70.285943779,45.701676585],[-70.293963711,45.721111728],[-70.293948574,45.725857545],[-70.296091033,45.7299312],[-70.295937435,45.741592423],[-70.29881247,45.745360587],[-70.307296119,45.749496713],[-70.309753777,45.755823843],[-70.309753908,45.761069004],[-70.3163855,45.768649829],[-70.327780346,45.773293313],[-70.350993482,45.779175601],[-70.373241235,45.798349061],[-70.38769935,45.804965399],[-70.396808423,45.80578146]]]}"
"781","PEQUAWKET TRAIL SCENIC BYWAY","S","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-70.590309918,43.732162799],[-70.590728385,43.734086348],[-70.59983293,43.739140596],[-70.612756519,43.751780181],[-70.622003329,43.755875383],[-70.630515183,43.76361499],[-70.63861197,43.772707712],[-70.644373066,43.787412643],[-70.653227841,43.795070769],[-70.660798101,43.798442612],[-70.670638142,43.799173108],[-70.695167686,43.810383203],[-70.701709942,43.810592075]],[[-70.701710018,43.810592065],[-70.737289446,43.806917804],[-70.748618188,43.807572795],[-70.759580921,43.811393753],[-70.769743456,43.818704085],[-70.777186773,43.828989104],[-70.780955394,43.840124445],[-70.788131209,43.847803106],[-70.790636588,43.852896977],[-70.790150413,43.861711512],[-70.79563088,43.864927599]],[[-70.795630955,43.864927643],[-70.799827322,43.867784337],[-70.801336504,43.876982777],[-70.811066727,43.885253527]],[[-70.894766301,43.951829167],[-70.89031635,43.948282645],[-70.882473852,43.930803192],[-70.868947795,43.925718075],[-70.851314585,43.914891673],[-70.844206495,43.904844003],[-70.811066801,43.885253526]],[[-70.89476624,43.951829195],[-70.902019288,43.9608633],[-70.914941791,43.967295755],[-70.922219021,43.972751225],[-70.931661403,43.983164248],[-70.93286143,43.987569028],[-70.947767314,44.003523829],[-70.957644388,44.009906793],[-70.969549187,44.012029048],[-70.980435403,44.016798462],[-70.98346486,44.014512311]],[[-70.983464886,44.014512364],[-70.997863346,44.021719193]],[[-70.998319402,44.037238352],[-70.994736623,44.040189669],[-70.986745862,44.042780968],[-70.984025259,44.054271936],[-70.985712884,44.05900682],[-70.976319619,44.067187944],[-70.970632707,44.078124585],[-70.974008038,44.088361445],[-70.972076838,44.092590087],[-70.977077319,44.102101092],[-70.975578837,44.111695903],[-70.978747368,44.123615823],[-70.977834579,44.13062304],[-70.979414181,44.145455809],[-70.982192363,44.158848686],[-70.985216642,44.160558301],[-70.983463049,44.166802431],[-70.993553701,44.184781048],[-71.005743588,44.20081449]],[[-70.989200427,44.374468916],[-70.989584492,44.371914974],[-70.99565294,44.367348184],[-70.995287371,44.3616648],[-70.990324794,44.35482825],[-70.980829927,44.348794919],[-70.979792665,44.342362379],[-70.972345309,44.329599189],[-70.972211506,44.323407532],[-70.969066307,44.317195816],[-70.970378859,44.313608036],[-70.975984507,44.309405853],[-70.988795825,44.305472183],[-70.99692975,44.298485855],[-70.999361935,44.293184827],[-70.997307522,44.290212172],[-71.000839395,44.284139355],[-71.000802206,44.277620715],[-71.004247646,44.271240982],[-71.004274708,44.267981787],[-71.009342547,44.265888838]]]}"
"782","RANGELEY LAKES SCENIC BYWAY","N","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-70.568391727,44.613282796],[-70.576518282,44.617594478],[-70.5809206,44.622526826],[-70.58487249,44.637261513],[-70.590779565,44.647488384],[-70.590961429,44.650064912],[-70.587132528,44.656382674],[-70.586408312,44.664498696],[-70.589352978,44.66781776],[-70.597501834,44.671333971],[-70.601675785,44.675710482],[-70.602492855,44.685350174],[-70.59974918,44.692484491],[-70.600658879,44.695699109],[-70.606846952,44.702079173],[-70.625540198,44.712844067],[-70.633756462,44.723133357],[-70.653560875,44.725458023],[-70.659569922,44.732503742],[-70.65960325,44.739946002],[-70.656900457,44.747866764],[-70.65192808,44.752147202],[-70.650265605,44.759064691],[-70.640725017,44.777051607],[-70.640183722,44.779698581],[-70.64285989,44.784227229]],[[-70.642928972,44.784363592],[-70.644778506,44.788441809],[-70.651839745,44.795745404],[-70.664265245,44.800462435],[-70.677402654,44.810565263],[-70.68425656,44.813737019],[-70.693230127,44.81204088],[-70.696992868,44.814929631],[-70.697525555,44.818980168],[-70.7060696,44.823448247],[-70.706302264,44.825661826],[-70.701659211,44.829881482],[-70.709511229,44.835462616],[-70.710131806,44.838335381],[-70.704388655,44.847177667]],[[-70.704388578,44.84717766],[-70.70206655,44.848987162],[-70.703752889,44.854286053],[-70.701559144,44.862092734],[-70.703626617,44.866807729],[-70.712051237,44.873039269],[-70.715544396,44.884563818],[-70.712294644,44.889443391],[-70.712626693,44.896337295],[-70.717132791,44.902612163],[-70.72312804,44.90248843],[-70.726646264,44.905913898],[-70.735516481,44.907475007],[-70.741380873,44.910662116],[-70.752446056,44.923941883],[-70.752927909,44.928339024]],[[-70.48575185,44.857645692],[-70.498119601,44.85213051],[-70.51672033,44.859039027],[-70.529531088,44.87445008],[-70.530766623,44.878155713],[-70.53815222,44.882859976],[-70.538278089,44.886109476],[-70.541640039,44.888013895],[-70.540670026,44.892627862],[-70.548276663,44.896001391],[-70.585423477,44.888842061],[-70.595046523,44.888855757],[-70.604367399,44.892939245],[-70.611218043,44.90007749],[-70.609117119,44.908614921],[-70.610628812,44.913777123],[-70.609299972,44.918406771],[-70.613487404,44.925248921]],[[-70.762464577,44.957813627],[-70.756630566,44.95043657],[-70.749886578,44.934649077],[-70.752927949,44.928339087]],[[-70.640023893,44.962544658],[-70.637348688,44.949357219],[-70.632451444,44.938435268],[-70.613487391,44.925248975]],[[-70.640023933,44.962544721],[-70.641783238,44.964265009]],[[-70.641783288,44.964264945],[-70.645169745,44.966469546],[-70.668672032,44.968225889],[-70.683379426,44.967081392],[-70.694674963,44.968106422],[-70.709025429,44.971062647],[-70.71491138,44.97640266],[-70.727435046,44.977106452],[-70.733734466,44.976271186],[-70.738152812,44.973061013],[-70.748230115,44.971016023],[-70.755817057,44.966856273],[-70.765913895,44.967754859],[-70.772569644,44.966106435],[-70.762464653,44.957813599]]]}"
"783","RANGELEY LAKES SCENIC BYWAY","S","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-70.453926892,44.861550053],[-70.462807649,44.864111543],[-70.469768879,44.860962055],[-70.48575185,44.857645692]]]}"
"784","SCHOODIC NATIONAL SCENIC BYWAY","N","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-68.238427867,44.523953113],[-68.232683709,44.527362145]],[[-68.232683659,44.5273621],[-68.229502802,44.529961539],[-68.225018367,44.530036978],[-68.211380436,44.523286217],[-68.191059921,44.519174124],[-68.17996936,44.512046719],[-68.165245358,44.510754018],[-68.151226312,44.503359595],[-68.140975528,44.494805335],[-68.125557548,44.487333111],[-68.116470737,44.484749033],[-68.10121474,44.47717848],[-68.097644893,44.473862626],[-68.099041057,44.471998464],[-68.094167703,44.46735978],[-68.095940396,44.462306001],[-68.113383214,44.454697441],[-68.113812723,44.451048692],[-68.111057735,44.447271342],[-68.111823572,44.435671311],[-68.107673852,44.427965164],[-68.089651065,44.410506439],[-68.084129677,44.394847993],[-68.079979053,44.395607444],[-68.07361819,44.393922756],[-68.072724345,44.390124217],[-68.070384645,44.387992586],[-68.068401657,44.37957301],[-68.070370655,44.375025509],[-68.07643471,44.372070962],[-68.076564425,44.360776385],[-68.073790225,44.350936321],[-68.065232381,44.344829426],[-68.060381787,44.34391364],[-68.056322219,44.33885203],[-68.048299575,44.338332958],[-68.044988535,44.339748962],[-68.044243338,44.342758416],[-68.04757483,44.353826986],[-68.046576848,44.360191842],[-68.038474605,44.363308744],[-68.039162741,44.366978293],[-68.033858351,44.371016206],[-68.036454185,44.383543139],[-68.040019009,44.389384509]]]}"
"779","MOOSEHEAD LAKE SCENIC BYWAY","S","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-69.59158952,45.458984376],[-69.590324941,45.46301163],[-69.592119692,45.468394714],[-69.577454395,45.497380265],[-69.571278118,45.505879189],[-69.565049757,45.508891253],[-69.562700139,45.512682244],[-69.552224862,45.520240838],[-69.547340621,45.532219563],[-69.543378879,45.535369415],[-69.545753129,45.543188992],[-69.536022001,45.555096627],[-69.542974334,45.561373169],[-69.538382026,45.56883575],[-69.52625435,45.576981884],[-69.521926715,45.581692528],[-69.511223576,45.581450654],[-69.508094355,45.601607434],[-69.486821396,45.612399994],[-69.486241139,45.618918908],[-69.48150723,45.625157786],[-69.481861544,45.632950745],[-69.478780835,45.642911293],[-69.472957565,45.648875683],[-69.457608119,45.656211799],[-69.443997435,45.659396512],[-69.442094949,45.662340249],[-69.446913055,45.665622981],[-69.448881039,45.669623311],[-69.444945763,45.672097815],[-69.439981914,45.672349874]]]}"
"786","ST JOHN VALLEY CULTURAL BYWAY","S","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-68.274511394,47.165041535],[-68.269780828,47.165860699],[-68.269735364,47.16785807],[-68.264273909,47.174814457],[-68.2550145,47.174411772],[-68.239406583,47.178904406],[-68.231634097,47.185324332],[-68.231026562,47.189151784],[-68.232548253,47.192981456],[-68.246723933,47.197024852],[-68.252881003,47.204891421],[-68.290719409,47.228031032]]]}"
"787","ST JOHN VALLEY CULTURAL BYWAY","S","ME","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-67.930453929,47.153635318],[-67.951206363,47.138996365],[-67.976045618,47.098177973]]]}"
