"byway_id","name","designats","state","source","geom_geojson"
"261","Crowley's Ridge Parkway","National Scenic Byway, National Scenic Byway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-90.137871,36.455723],[-90.079178,36.489941],[-90.067261,36.500252],[-90.066132,36.52401],[-90.062271,36.525299],[-90.060852,36.528289999],[-90.053452,36.52861],[-90.052338,36.531342],[-90.048119,36.533749],[-90.047523,36.556229],[-90.053391,36.55809],[-90.052238,36.564621],[-89.970711,36.56385]],[[-90.137871,36.455723],[-90.137871351,36.455722791]]]}"
"262","Loess Hills Scenic Byway","National Natural Landmark Area, National Scenic Byway, Iowa State Scenic Byway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-95.63210697,40.583974041],[-95.632103,40.583969]]]}"
"263","Historic National Road - Illinois","National Scenic Byway, All-American Road, Illinois State Scenic Byway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-90.178878928,38.628947992],[-90.178879,38.628948]]]}"
"264","Historic Route 66","National Scenic Byway, National Scenic Byway, All-American Road, National Scenic Byway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-90.178452143,38.630928928],[-90.178453,38.630929]],[[-90.174947911,38.760175866],[-90.175113247,38.760226339]]]}"
"267","Sugar Camp Scenic Byway","National Forest Scenic Byway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-93.856392,36.655819],[-93.851997,36.6474],[-93.852509,36.624001],[-93.841248,36.610519],[-93.841713,36.608379],[-93.837593,36.60117],[-93.841461,36.59301],[-93.840584,36.587898],[-93.837227,36.585918],[-93.836128,36.583179],[-93.836311,36.5737],[-93.839256,36.568501],[-93.839752,36.563801],[-93.842499,36.561771],[-93.8442,36.55481],[-93.843491,36.55162],[-93.853394,36.546982],[-93.854759,36.545021],[-93.851692,36.540951],[-93.844383,36.5382],[-93.840439,36.533421],[-93.835136,36.530209],[-93.831833,36.5303],[-93.822746,36.526508],[-93.816978,36.527939],[-93.813393,36.526199],[-93.809242,36.526772],[-93.806877,36.532299],[-93.807701,36.536499],[-93.803429,36.540421],[-93.800697,36.540192],[-93.795349,36.534939],[-93.78994,36.5364],[-93.777977,36.532909],[-93.7771,36.536331],[-93.774361,36.538231],[-93.768349,36.539589],[-93.762512,36.538109],[-93.760857,36.540009],[-93.752518,36.539101],[-93.751213,36.542751],[-93.755157,36.546001],[-93.761772,36.558979],[-93.762863,36.568451],[-93.756508,36.576031],[-93.76503,36.582809],[-93.767464,36.586559],[-93.764717,36.590141],[-93.765892,36.59354],[-93.764412,36.598011],[-93.772331,36.603378],[-93.775978,36.603561],[-93.781357,36.608822],[-93.790482,36.61018],[-93.789818,36.613708],[-93.792969,36.62051],[-93.79998,36.623959],[-93.80265,36.629318],[-93.797188,36.636292],[-93.808578,36.645569],[-93.808502,36.654209]]]}"
"271","Old Trails Road","State Scenic Backway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-94.08728,39.12241],[-94.067482,39.132648],[-94.037453,39.133732],[-94.027344,39.131721],[-94.018463,39.13335],[-93.99604,39.13171],[-93.979218,39.13472],[-93.962967,39.133739],[-93.95314,39.137718],[-93.948357,39.141392],[-93.948692,39.147621],[-93.945,39.15163],[-93.915649,39.167461],[-93.88752,39.18634],[-93.848633,39.185509]]]}"
"272","Spirit of Kansas City","State Scenic Backway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-94.569926459,39.107002474],[-94.601761,39.107311],[-94.607279672,39.108877388]],[[-94.569926459,39.107002474],[-94.569069,39.108261],[-94.569926459,39.107002474]],[[-94.563423,39.10677],[-94.569926459,39.107002474]]]}"
"273","Stars and Stripes Historical/Cultural Byway","Missouri State Scenic Byway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-89.922707,36.900311],[-89.92382,36.884579],[-89.92926,36.87373],[-89.930222,36.86615],[-89.939568,36.85387],[-89.942368,36.840092],[-89.941902,36.816238]]]}"
"274","Ozark Mountain Highroad","State Scenic Backway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-93.220833,36.711281],[-93.229187,36.711079],[-93.23465,36.714218],[-93.245117,36.716839],[-93.273979,36.714149],[-93.285187,36.717659],[-93.295883,36.71463],[-93.300369,36.70948],[-93.305031,36.689892],[-93.310661,36.68383],[-93.31559,36.681381],[-93.317619,36.675541]]]}"
"275","Ozark Mountain Parkway","State Scenic Backway","MO","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-93.221992,36.657261],[-93.220398,36.65572],[-93.217018,36.63797],[-93.213593,36.634609]]]}"
