"byway_id","name","designats","state","source","geom_geojson"
"310","Des Lacs National Wildlife Refuge Scenic Backway","North Dakota State Scenic Backway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-102.094727,48.682178],[-102.098984,48.688519],[-102.100868,48.69743],[-102.098984,48.70166],[-102.101418,48.70248],[-102.106148,48.71537],[-102.105682,48.717579],[-102.117172,48.72543],[-102.12748,48.729118],[-102.129723,48.73415],[-102.128479,48.738361],[-102.123444,48.741619],[-102.109352,48.742599],[-102.112358,48.746349],[-102.105453,48.751221],[-102.10334,48.74934],[-102.098129,48.749298],[-102.098503,48.762669],[-102.103722,48.763729],[-102.103821,48.767601],[-102.107742,48.76823],[-102.109848,48.77137],[-102.109299955,48.807075165],[-102.13121,48.807201],[-102.125397,48.79911],[-102.127296,48.792999],[-102.123459,48.78923],[-102.121979,48.776932],[-102.110512,48.76004],[-102.112732,48.754021],[-102.129547,48.74514],[-102.135582,48.739101],[-102.13694,48.732849],[-102.135849,48.72649],[-102.131767,48.723591],[-102.120918,48.719891],[-102.113739,48.715031],[-102.109222,48.706009],[-102.103043,48.684109],[-102.103912,48.683311],[-102.094749,48.67614],[-102.102013,48.67268],[-102.099861,48.671291],[-102.099403,48.668709],[-102.096703,48.667679],[-102.09594,48.664711],[-102.090446,48.66367],[-102.077301,48.655128],[-102.066719,48.651459],[-102.066498,48.649521],[-102.056068,48.637939],[-102.031822,48.617851],[-102.0326,48.615791],[-102.010353,48.603989],[-102.004784,48.594059],[-102.004173,48.58791],[-102.006104,48.58474],[-102.004372,48.581299],[-102.002876,48.58456],[-101.995392,48.590309],[-101.995979,48.604408],[-102.028259,48.622459],[-102.05024,48.640541],[-102.05603,48.647461],[-102.059151,48.657051],[-102.082527,48.67038]]]}"
"311","Native American Scenic Byway","National Scenic Byway, National Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-100.623424605,45.943583973],[-100.62331405,45.943582344]],[[-100.614858,45.943583],[-100.607204324,45.943584481]],[[-100.624294748,45.943659654],[-100.627723,45.946206],[-100.628128,46.00703],[-100.630928,46.010559],[-100.641029,46.016781],[-100.649979,46.026299001],[-100.660782,46.038349],[-100.671257,46.054249],[-100.669441,46.057522],[-100.66954,46.085739],[-100.679779,46.104542],[-100.67997,46.135151],[-100.683662001,46.16037],[-100.681847,46.171291],[-100.651099999,46.196548],[-100.648987,46.200031],[-100.648872,46.26059],[-100.640694,46.272251],[-100.642052,46.287651],[-100.635406,46.303421],[-100.638321,46.32],[-100.63102,46.336788],[-100.630600001,46.401211],[-100.63443,46.408909],[-100.63517,46.415240999]]]}"
"312","Old Red Old Ten Scenic Byway","North Dakota State Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-101.7540423,46.82408337],[-101.780251,46.819111],[-101.813759,46.817039],[-101.824944,46.81144],[-101.835533,46.81139],[-101.864227,46.816817999],[-101.905373,46.83009],[-101.938248,46.868069],[-101.948547,46.875259],[-102.01506,46.898361],[-102.025398,46.900719],[-102.044289001,46.895691],[-102.056259,46.89468],[-102.071709,46.898479],[-102.16301,46.890419],[-102.170479,46.887999999],[-102.190681,46.87735],[-102.201019,46.86755],[-102.215652001,46.86245],[-102.254791,46.862511],[-102.297371,46.881851],[-102.321831,46.884701],[-102.332236999,46.891021999],[-102.390503001,46.891418],[-102.400978,46.89344],[-102.422096,46.900688],[-102.435203999,46.900168999],[-102.463409,46.891209],[-102.517509,46.8909],[-102.518578,46.876621],[-102.547478,46.875889],[-102.559868,46.860191],[-102.570389,46.860851],[-102.570396,46.890739],[-102.601189,46.89045],[-102.623703,46.892342],[-102.64698,46.890678],[-102.670532,46.891708],[-102.718964,46.890739],[-102.765297,46.8778],[-102.789879,46.879008999],[-102.789757,46.894180001],[-102.783347999,46.894402]],[[-101.7540423,46.82408337],[-101.754272,46.824051]],[[-101.752647,46.82428],[-101.7540423,46.82408337]],[[-101.752647,46.82428],[-101.7540423,46.82408337]],[[-101.745166139,46.824917895],[-101.752647,46.82428]],[[-101.511649817,46.847643678],[-101.58358,46.847851],[-101.608292,46.84964],[-101.634856999,46.846691],[-101.645607,46.84903],[-101.662033,46.848869],[-101.677901999,46.851479],[-101.719513,46.842628],[-101.738068,46.827720999],[-101.745166139,46.824917895]],[[-101.511649817,46.847643678],[-101.510658,46.776192],[-101.509109,46.771641],[-101.510399,46.765469],[-101.50798,46.760269],[-101.509163,46.748589],[-101.50724,46.743401],[-101.509872,46.734241],[-101.535926999,46.747898],[-101.55069,46.747028],[-101.553307,46.750851],[-101.552390999,46.757858],[-101.553581,46.759941],[-101.566261,46.76133],[-101.574471,46.768028],[-101.5905,46.77486],[-101.623718,46.776379],[-101.635498,46.782059],[-101.648819001,46.796021],[-101.72364,46.814441999],[-101.745166139,46.824917895]],[[-101.491951,46.847561],[-101.511649817,46.847643678]],[[-101.491676,46.847561],[-101.491951,46.847561]],[[-100.889702,46.82642],[-100.926613,46.823689],[-100.983643,46.835629],[-101.000762999,46.843929],[-101.019249,46.847408],[-101.042213,46.847698],[-101.065948,46.840511],[-101.073333999,46.83976],[-101.09552,46.840358999],[-101.13369,46.850109],[-101.159081,46.851551],[-101.245644,46.852371],[-101.261597,46.849339],[-101.286942,46.847401],[-101.491951,46.847561]]]}"
"313","Sakakawea Scenic Byway","North Dakota State Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-101.036921083,47.302055124],[-101.040283,47.29158],[-101.056282,47.268162],[-101.061256,47.264889],[-101.135536,47.263599],[-101.171799,47.247559],[-101.196838,47.23909],[-101.226379,47.235641],[-101.252693,47.241119],[-101.2882,47.241348],[-101.295021,47.243019],[-101.299171,47.24744],[-101.300598,47.262421],[-101.304352,47.266708],[-101.334328,47.281399],[-101.353394,47.2882],[-101.377861,47.29343],[-101.38755,47.297741],[-101.386017,47.301788],[-101.383698,47.303371],[-101.384666,47.321049]]]}"
"314","Sheyenne River Valley Scenic Byway","National Scenic Byway, North Dakota State Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-98.082031,46.988869],[-98.086936,46.985222]],[[-98.08651,47.02663],[-98.086433,47.03323],[-98.082118,47.03632]],[[-98.082031,46.988869],[-98.092957,46.994869],[-98.094559,47.005039],[-98.098312001,47.014931],[-98.096688,47.020066],[-98.08651,47.02663]],[[-98.08651,47.02663],[-98.07679,47.032249],[-98.071403999,47.031189],[-98.07122,47.035339],[-98.065598,47.03833],[-98.053802,47.036831001],[-98.002309,47.03725]],[[-98.004592999,46.923279],[-98.003021,46.923321],[-98.003487,46.935001],[-97.997101001,46.935001],[-97.996681,46.94664],[-98.00882,46.952011],[-98.018799,46.960621],[-98.033478,46.967640001],[-98.062523,46.972439],[-98.082031,46.988869]],[[-97.976929,46.683922],[-98.001793,46.694924],[-98.017708,46.69754],[-98.017998,46.70306],[-98.060593,46.703281],[-98.060721999,46.683521],[-98.053673,46.68071],[-98.050652,46.681351]],[[-98.003150999,46.923321],[-98.004592999,46.923279]],[[-97.976929,46.683922],[-97.976128,46.719761],[-97.981354,46.730549],[-97.978622,46.754559],[-97.98304,46.770741],[-97.98391,46.78912],[-97.991364,46.791328],[-97.991928,46.802052001],[-97.997208,46.807121001],[-97.997223,46.83688],[-97.998611,46.842171],[-97.997276,46.845459],[-97.996773,46.896358],[-98.013168,46.915932],[-98.013427999,46.92284],[-98.004592999,46.923279]],[[-97.976929,46.683922],[-97.96669,46.678471],[-97.964027,46.674122001],[-97.938971999,46.672779],[-97.928802001,46.662971],[-97.923859,46.655169999],[-97.923767,46.643661],[-97.928596,46.636608],[-97.934181,46.632060999],[-97.935029,46.628787]],[[-97.935029,46.628787],[-97.950684001,46.632401]],[[-97.930107,46.520512],[-97.938301,46.522141],[-97.941680999,46.51894]],[[-97.935029,46.628787],[-97.934486,46.62471],[-97.930634001,46.62109],[-97.922546,46.617297999],[-97.909439001,46.61504],[-97.908852,46.612782],[-97.904327,46.61261],[-97.898453,46.60902],[-97.891838,46.6078],[-97.888687,46.604271],[-97.888641,46.597851],[-97.88694,46.595951],[-97.886275999,46.590302],[-97.883391999,46.586739],[-97.884323,46.583351],[-97.887489,46.58279],[-97.89296,46.577419],[-97.891159,46.573940001],[-97.889122,46.573551],[-97.893768,46.572411],[-97.895882,46.569],[-97.905128,46.562321001],[-97.908089,46.5578],[-97.924423,46.550837999],[-97.92546167,46.54565721]],[[-97.935029,46.628787],[-97.903122001,46.630371],[-97.903475,46.624423]],[[-97.932456999,46.549919],[-97.934013,46.55529]],[[-97.930107,46.520512],[-97.933731,46.522948999]],[[-97.932456999,46.549919],[-97.925621,46.555599]],[[-97.92546167,46.54565721],[-97.929802,46.545582],[-97.934631,46.547859],[-97.932456999,46.549919]],[[-97.923431,46.522381001],[-97.925926,46.52037],[-97.930107,46.520512]],[[-97.92546167,46.54565721],[-97.923431,46.522381001]],[[-97.923431,46.522381001],[-97.920792,46.52272],[-97.888359,46.509911],[-97.869598,46.509707999],[-97.862368,46.514112]],[[-97.862368,46.514112],[-97.868481,46.514247]],[[-97.862368,46.514112],[-97.847077,46.514197],[-97.846953,46.519177],[-97.826051,46.525802],[-97.80777,46.52589],[-97.798973,46.52367],[-97.777901,46.51342],[-97.77066,46.504341],[-97.769691001,46.49728],[-97.775581001,46.481831],[-97.77179,46.473801],[-97.766967999,46.471291],[-97.755736999,46.470909],[-97.72155,46.462299],[-97.681458,46.449451]]]}"
"315","Chan SanSan Scenic Backway","North Dakota State Scenic Byway, North Dakota State Scenic Backway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-98.369377,46.356159],[-98.369293,46.428959],[-98.37384,46.43449],[-98.37635,46.451401],[-98.390091,46.462238],[-98.398468,46.465698],[-98.428947,46.470051],[-98.449837,46.479561],[-98.452202,46.482731],[-98.452171,46.49295],[-98.445534,46.500702],[-98.44593,46.515442],[-98.460052,46.529331],[-98.473053,46.529419],[-98.473618,46.539829],[-98.47847,46.54398],[-98.497551,46.550838],[-98.530159,46.55579],[-98.535759,46.557892],[-98.53701,46.57151],[-98.547813,46.592339],[-98.557343,46.60355],[-98.55735,46.629162]]]}"
"316","Killdeer Mountain Four Bears Scenic Byway","North Dakota State Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-102.754098559,47.371963765],[-102.749305,47.366432],[-102.75786,47.364049],[-102.75866985,47.357483667]],[[-102.754112,47.371941],[-102.760262,47.386639],[-102.799591,47.413689],[-102.800987,47.416969],[-102.801003,47.430672],[-102.803101,47.434441],[-102.825996,47.448818],[-102.838379,47.454491],[-102.842728,47.458759],[-102.843628,47.471951],[-102.840759,47.482029],[-102.843582,47.492531],[-102.843697,47.542912],[-102.84024,47.545631],[-102.817223,47.545738],[-102.806664,47.5494],[-102.796829,47.549011],[-102.78727,47.557678],[-102.774689,47.559891],[-102.770309,47.56266],[-102.771538,47.568298],[-102.766861,47.573799],[-102.764641,47.57415],[-102.7658,47.579411],[-102.763977,47.58292],[-102.76461,47.592442],[-102.770813,47.609112],[-102.770691,47.612129],[-102.759422,47.622929],[-102.739067,47.62307],[-102.731789,47.629459],[-102.726303,47.643139],[-102.727303,47.67416]]]}"
"317","Rendezvous Region Scenic Backway","North Dakota State Scenic Backway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-98.146713,48.905651],[-98.087898,48.90572],[-98.081169,48.907669],[-98.079239,48.910858],[-98.066208,48.91547],[-98.0411,48.920109],[-97.923508,48.919819],[-97.91523,48.92382],[-97.908112,48.91753],[-97.894638,48.913651],[-97.894119,48.909801],[-97.881813,48.903301],[-97.845703,48.876492],[-97.81823,48.876411],[-97.818581,48.847752],[-97.813347,48.845798],[-97.803642,48.837841],[-97.802132,48.834412],[-97.796677,48.83382],[-97.796417,48.80431],[-97.774841,48.804779],[-97.77372,48.789871],[-97.730522,48.789951],[-97.72876,48.778709],[-97.726189,48.776218],[-97.728447,48.773258],[-97.684967,48.776562],[-97.639473,48.792068],[-97.622421,48.793911]]]}"
"318","Theodore Roosevelt National Park North Unit Scenic Byway","North Dakota State Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-103.25515,47.599812],[-103.259369,47.599258],[-103.264557,47.602531],[-103.274292,47.601131],[-103.277229,47.602371],[-103.279419,47.60107],[-103.277878,47.598991],[-103.291901,47.590771],[-103.296921,47.59108],[-103.304199,47.594261],[-103.308487,47.592731],[-103.309143,47.595631],[-103.311623,47.597549],[-103.32003,47.59597],[-103.323334,47.597301],[-103.336884,47.596359],[-103.34317,47.601158],[-103.348137,47.60807],[-103.35759,47.610828],[-103.364502,47.610329],[-103.369797,47.61256],[-103.377022,47.612621],[-103.373238,47.609859],[-103.377449,47.60997],[-103.379784,47.612228],[-103.380142,47.623749],[-103.394188,47.628738],[-103.397842,47.62693],[-103.401367,47.628922],[-103.411392,47.627369],[-103.427078,47.61816],[-103.432533,47.618389],[-103.433769,47.611191],[-103.441109,47.60989],[-103.445633,47.610931],[-103.44751,47.608978]]]}"
"319","Turtle Mountain Scenic Byway","North Dakota State Scenic Byway","ND","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-100.55545,48.95153],[-100.537033,48.951401],[-100.521202,48.947689],[-100.497231,48.952629],[-100.482597,48.95253],[-100.469337,48.955688],[-100.452766,48.951241],[-100.42379,48.95116],[-100.415283,48.95269],[-100.404953,48.95089],[-100.279694,48.950691],[-100.256592,48.949181],[-100.247414,48.950451],[-100.207123,48.95039],[-100.195808,48.952702],[-100.184029,48.95034],[-100.051964,48.950249],[-100.051941,48.947762],[-100.038582,48.947479],[-100.000481,48.951],[-99.971153,48.950089],[-99.960831,48.947479],[-99.950478,48.9501],[-99.911293,48.950211],[-99.899094,48.95475],[-99.889603,48.951881],[-99.86982,48.95015],[-99.861647,48.950066],[-99.857215177,48.952541743],[-99.852173,48.950081],[-99.844688,48.94912],[-99.831421,48.95047],[-99.818314,48.94862],[-99.810989,48.950401],[-99.786827,48.950199],[-99.777832,48.952351],[-99.760498,48.949501],[-99.716331,48.95013],[-99.657624,48.892925]]]}"
