"byway_id","name","designats","state","source","geom_geojson"
"402","Las Vegas Strip","All-American Road, Nevada State Scenic Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-115.157471,36.143661],[-115.172658,36.119835],[-115.173004,36.086156]]]}"
"391","Bitter Springs Back Country Byway","BLM Back Country Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.736237,36.461475],[-114.708237001,36.406277],[-114.69339,36.395103],[-114.693588,36.391052001],[-114.691544,36.386475],[-114.683037,36.384506],[-114.683716,36.381203001],[-114.675278001,36.372352999],[-114.681625,36.364861],[-114.682159,36.359425],[-114.678078,36.354744],[-114.675903001,36.346474],[-114.66951,36.340603001],[-114.664757,36.338665],[-114.657532,36.338344999],[-114.652985,36.334908],[-114.637245001,36.332405],[-114.625846999,36.326366],[-114.615333999,36.325703],[-114.611160001,36.327034],[-114.601356999,36.325558],[-114.595451,36.320457],[-114.594291999,36.317642],[-114.593650999,36.30957],[-114.594986,36.304852],[-114.592842,36.29995],[-114.576561,36.293446],[-114.575249,36.291283001],[-114.56369,36.285979999],[-114.540405,36.287964],[-114.531616,36.28611],[-114.526115,36.282020999],[-114.518753,36.282265],[-114.505005,36.290081],[-114.499069,36.291233],[-114.496559,36.295731],[-114.493546001,36.296741],[-114.490432999,36.301208001],[-114.490303,36.307079],[-114.489105,36.307434]]]}"
"392","Gold Butte Back Country Byway","BLM Back Country Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.192653,36.285312],[-114.199364,36.280508],[-114.209098,36.283022],[-114.217061,36.292018],[-114.218667,36.297969],[-114.222991,36.299618],[-114.229346,36.306004],[-114.232428,36.305776],[-114.236241,36.311681],[-114.232617,36.319871],[-114.23357,36.332409],[-114.231221,36.335451],[-114.233229,36.336207],[-114.233677,36.34227],[-114.239495,36.357305],[-114.236889,36.36133],[-114.235895,36.367577],[-114.238326,36.371582],[-114.236913,36.380384],[-114.228589,36.388754],[-114.224472,36.409916],[-114.226421,36.416209],[-114.225053,36.428655],[-114.229828,36.442523],[-114.246479,36.454232],[-114.250503,36.461003]],[[-114.235480876,36.715378136],[-114.235238,36.715289]],[[-114.217756984,36.731603465],[-114.221858,36.728319],[-114.226299,36.720474],[-114.228885,36.720292],[-114.235238,36.715289]],[[-114.235238,36.715289],[-114.235399,36.711121],[-114.239836,36.70403],[-114.238616,36.70069],[-114.25042,36.697121],[-114.257674,36.692578],[-114.262692,36.683226],[-114.268797,36.684264],[-114.278686,36.682124],[-114.277132,36.677432],[-114.278328,36.675328],[-114.288475,36.670855],[-114.287493,36.663555],[-114.282364,36.656022],[-114.2658,36.644977],[-114.245946,36.640108],[-114.243535,36.637064],[-114.244843,36.630201],[-114.236382,36.622924],[-114.233718,36.616701],[-114.221149,36.612758],[-114.20745,36.603737],[-114.209302,36.596073],[-114.208974,36.589284],[-114.20581,36.58057],[-114.184167,36.548971],[-114.166943,36.537882],[-114.159359,36.528998],[-114.141324,36.527374],[-114.139267,36.525293],[-114.136588,36.517809],[-114.158163,36.491955],[-114.165834,36.478603],[-114.151831,36.466507],[-114.146926,36.437149],[-114.13732,36.425585],[-114.129655,36.422303],[-114.121891,36.412863],[-114.12082,36.408458],[-114.130297,36.382611],[-114.129828,36.372444]],[[-114.192654182,36.28531186],[-114.192653,36.285312]],[[-114.143243,36.343242],[-114.145559,36.323899],[-114.15069,36.315278],[-114.157512,36.309566],[-114.165533,36.295916],[-114.172887,36.292147],[-114.178509,36.292564],[-114.185267,36.290625],[-114.192653,36.285312]],[[-114.12985609,36.372356773],[-114.13395,36.362275],[-114.138938,36.357294],[-114.140332,36.353085],[-114.137706,36.350635],[-114.142493,36.346293],[-114.143243,36.343242]],[[-114.143243,36.343242],[-114.143165,36.34317]]]}"
"393","California Trail Back Country Byway","BLM Back Country Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.753310999,41.43552],[-114.714767,41.417599],[-114.689873,41.415562],[-114.67627,41.417839],[-114.6651,41.422100001],[-114.643517,41.437611],[-114.603821,41.456379],[-114.584183,41.467861],[-114.568763999,41.485512],[-114.5504,41.496449],[-114.534447,41.503699999],[-114.529762,41.514149],[-114.529007,41.523529],[-114.510222999,41.541328],[-114.509537001,41.547428],[-114.504677,41.553108],[-114.497543001,41.556259],[-114.488197,41.56419],[-114.482224,41.564651],[-114.478401,41.567780001],[-114.451149,41.580391],[-114.433609,41.578659001],[-114.436142,41.586689],[-114.432167,41.59819],[-114.435042999,41.609791],[-114.427382999,41.61784],[-114.434288,41.630878],[-114.430794,41.642639],[-114.425011001,41.65012],[-114.4123,41.660889],[-114.408835999,41.666480999],[-114.390846001,41.679272],[-114.385773,41.692378999],[-114.374321,41.709679],[-114.37365,41.713848],[-114.376633001,41.721802001],[-114.375908,41.72435],[-114.371696,41.72554],[-114.367661001,41.739681],[-114.363747,41.746650999],[-114.358368,41.750080001],[-114.358009001,41.759998],[-114.353416,41.767109],[-114.351646,41.773911],[-114.346382,41.783779001],[-114.337311,41.793300999],[-114.334969,41.801682001],[-114.332138,41.805012],[-114.322823,41.80846],[-114.314568,41.816261],[-114.313927,41.823878999],[-114.310470999,41.83239],[-114.307953,41.835300001],[-114.301193,41.837879],[-114.29464,41.84993],[-114.286842,41.856251]],[[-114.682182,41.949772],[-114.681396,41.945709],[-114.668083,41.94088],[-114.650902001,41.930618],[-114.627647,41.913239],[-114.617172,41.911282],[-114.601409999,41.914879],[-114.59256,41.910751001],[-114.573441,41.910568],[-114.537437,41.924419],[-114.536171001,41.927189],[-114.538932999,41.932011],[-114.537849001,41.940331],[-114.530502,41.946620999],[-114.511292001,41.956699001],[-114.485229,41.978279],[-114.477364,41.9785],[-114.475731,41.981209],[-114.46434,41.986931],[-114.45163,41.986911999],[-114.444923001,41.988731],[-114.44149,41.986469],[-114.430099,41.986179],[-114.42514,41.987041001],[-114.421028,41.99123],[-114.406479,41.989529],[-114.400032,41.986320001],[-114.397217,41.98737],[-114.376953,41.97514],[-114.375388999,41.962978],[-114.36705,41.956509],[-114.365517,41.952389],[-114.338432,41.938042],[-114.339706,41.933762],[-114.34259,41.931412],[-114.341881,41.927818],[-114.32666,41.916061],[-114.319687,41.916439],[-114.316147,41.913181],[-114.31192,41.906132],[-114.306679,41.887981],[-114.302856001,41.880118999],[-114.296761,41.874069],[-114.291389001,41.861561],[-114.286842,41.856251]],[[-114.286842,41.856251],[-114.282631001,41.856461],[-114.27494,41.860439],[-114.269951,41.866501],[-114.247917001,41.865231],[-114.224419001,41.875511001],[-114.215469,41.872219],[-114.20488,41.873370999],[-114.204338,41.880909],[-114.205597,41.884609],[-114.202568,41.891399],[-114.207802,41.902721],[-114.205032,41.90918],[-114.195251,41.914249],[-114.188797,41.913349],[-114.184052,41.910431],[-114.177528,41.910412],[-114.169312,41.9137],[-114.163338,41.923149],[-114.157051,41.921928001],[-114.154579,41.91935],[-114.141563,41.916351],[-114.131317,41.917198],[-114.121384,41.916039],[-114.116928,41.918208999],[-114.114258001,41.91769],[-114.11158,41.922901001],[-114.108390999,41.939171],[-114.099242999,41.94561],[-114.081131,41.947151],[-114.070038,41.94569],[-114.055847001,41.940411],[-114.049217,41.932850001],[-114.044128001,41.929981]]]}"
"394","Highway 93","Nevada State Scenic Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.582454545,39.024845455],[-114.560427273,39.021327273],[-114.551609091,39.016390909],[-114.511245455,38.936590909],[-114.508709091,38.927909091],[-114.568663637,38.7734],[-114.629609091,38.690427273],[-114.633836364,38.659218182],[-114.642927273,38.627063637],[-114.651881818,38.550290909],[-114.645990909,38.467318182],[-114.608890909,38.324154545],[-114.595036363,38.289354546],[-114.582009091,38.094427273],[-114.568763636,38.0731],[-114.479536364,37.9564],[-114.4714,37.9502],[-114.4477,37.940345455],[-114.419645454,37.9153],[-114.413836364,37.899081818],[-114.4197,37.885981818],[-114.420563637,37.880481818],[-114.419463636,37.869127272],[-114.405909091,37.811609091],[-114.407590909,37.7867],[-114.420045454,37.766972728],[-114.450363636,37.732127273],[-114.456127273,37.713554545],[-114.474563637,37.681554545],[-114.486036363,37.672381818],[-114.495827273,37.655572727],[-114.504790909,37.650063637],[-114.508881818,37.629354546],[-114.512027273,37.622709091],[-114.510454545,37.614927273],[-114.523118182,37.609218182],[-114.532263636,37.612781818],[-114.537572727,37.619027273],[-114.545945454,37.622081818],[-114.560663636,37.623272727],[-114.565909091,37.621318182],[-114.595136364,37.623436363],[-114.609354545,37.618554545],[-114.6191,37.606836364],[-114.625827273,37.6029],[-114.6317,37.602290909],[-114.647518182,37.605054545],[-114.660227272,37.598945455],[-114.671109091,37.599072727],[-114.6788,37.593745454],[-114.685218182,37.592790909],[-114.688836364,37.593981818],[-114.697045455,37.602],[-114.707836364,37.609181818],[-114.715463636,37.611754545],[-114.744227273,37.615972727],[-114.758709091,37.622618182],[-114.895118182,37.6103],[-115.010181818,37.617672728],[-115.015509091,37.616290909],[-115.159272727,37.547427273],[-115.178072728,37.550472727],[-115.189272727,37.550627273],[-115.2196,37.528981818]]]}"
"395","Extraterrestrial Highway","Nevada State Scenic Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-115.219887,37.528839],[-115.235191,37.533138],[-115.23999,37.532928],[-115.331383,37.495918],[-115.336517,37.49131],[-115.344116,37.47683],[-115.366638,37.455372],[-115.377357,37.43856],[-115.37394,37.431221],[-115.373688,37.421452],[-115.380661,37.421829],[-115.39109,37.415112],[-115.396523,37.413551],[-115.415993,37.415581],[-115.423172,37.418079],[-115.64473,37.563938],[-115.671448,37.57391],[-115.687317,37.592899],[-115.698433,37.619999],[-115.71035,37.629581],[-115.932167,37.740952],[-115.941147,37.749352],[-115.96225,37.762661],[-115.978783,37.765129],[-115.984016,37.768261],[-116.06543,37.977539],[-116.081581,38.123058],[-116.086128,38.132069],[-116.101158,38.145821],[-116.124359,38.161591],[-116.155609,38.18726],[-116.193031,38.20657],[-116.369972,38.190948]]]}"
"396","Mt. Wilson Back Country Byway","BLM Back Country Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.606907049,38.318980779],[-114.407904,38.355752],[-114.388897,38.364415],[-114.375502,38.374021],[-114.349286,38.397198],[-114.347513,38.407089],[-114.345217,38.409171],[-114.348128,38.417016],[-114.347257,38.420379],[-114.342605,38.421616],[-114.342316,38.425253],[-114.339467,38.428136],[-114.334614,38.441954],[-114.328285,38.46746],[-114.320363,38.476017],[-114.302787,38.472014],[-114.281722,38.469584],[-114.271252,38.461459],[-114.249408,38.455346],[-114.236165,38.444326],[-114.223743,38.438201],[-114.22089,38.43294],[-114.207831,38.423747],[-114.187855,38.41318],[-114.186663,38.403641],[-114.191488,38.379715],[-114.194335,38.375666],[-114.195286,38.347884],[-114.200515,38.341343],[-114.211725,38.337728],[-114.216777,38.334341],[-114.225953,38.332989],[-114.240093,38.32722],[-114.24593,38.327492],[-114.253559,38.324307],[-114.256671,38.318819],[-114.264133,38.318891],[-114.268348,38.311252],[-114.274129,38.307091],[-114.269807,38.299449],[-114.271144,38.297505],[-114.271264,38.290208],[-114.274228,38.284078],[-114.270087,38.269254],[-114.271424,38.265571],[-114.263652,38.260467],[-114.257157,38.253692],[-114.25252,38.242109],[-114.24391,38.234818],[-114.231432,38.220639],[-114.2031,38.203123],[-114.196867,38.197428],[-114.189447,38.195826],[-114.181911,38.187156],[-114.189794,38.168376],[-114.192489,38.158928],[-114.192488,38.152981],[-114.186753,38.144379],[-114.176906,38.136532],[-114.16975,38.119961],[-114.156097,38.095093],[-114.165858,38.077321],[-114.164904,38.073478],[-114.168293,38.064374],[-114.165921,38.06188],[-114.166386,38.057259],[-114.172548,38.055842],[-114.173331,38.051084],[-114.181345,38.03951],[-114.180131,38.035621],[-114.187015,38.030566],[-114.18878,38.024893],[-114.195604,38.023085],[-114.198149,38.024618],[-114.200925,38.024137],[-114.21221424,37.991739635],[-114.216032,37.990367],[-114.214413,37.990047],[-114.21369,37.986684],[-114.216521,37.981148],[-114.216346,37.976184],[-114.218946,37.973507],[-114.217586,37.968565],[-114.22397,37.964057],[-114.232458,37.949437],[-114.236704,37.948131],[-114.237021,37.94582],[-114.240746,37.943691],[-114.243313,37.939161],[-114.250043,37.937991],[-114.263346,37.93964],[-114.270418,37.947398],[-114.277413,37.939737],[-114.291773,37.932031],[-114.294488,37.933679],[-114.303268,37.933017],[-114.311848,37.935648],[-114.322102,37.935145],[-114.376197,37.938993],[-114.394868,37.952135],[-114.410439,37.958592],[-114.419854,37.974358],[-114.424853,37.977882],[-114.43075,37.972232],[-114.448178,37.965666],[-114.450518,37.95926],[-114.450910322,37.942015236]]]}"
"397","Pyramid Lake Scenic Byway","National Scenic Byway, Nevada State Scenic Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-119.605453,39.950389],[-119.600693,39.94035],[-119.591873,39.930672],[-119.578583,39.922722],[-119.565819,39.912498],[-119.557693,39.910641],[-119.52224,39.895321],[-119.50116,39.876751],[-119.49189,39.873932],[-119.470779,39.85413],[-119.463402,39.85215],[-119.455269,39.8466],[-119.415077,39.830719],[-119.362701,39.820339],[-119.363609,39.814781]],[[-119.363609,39.814781],[-119.361038,39.829762],[-119.357979,39.832458],[-119.359161,39.839439],[-119.386353,39.860931],[-119.39698,39.863338],[-119.398849,39.865082],[-119.397789,39.870178],[-119.384216,39.895729],[-119.38092,39.921162],[-119.383308,39.930191],[-119.383578,39.946989]],[[-119.366501,39.795269],[-119.363609,39.814781]],[[-119.36615,39.794621],[-119.366501,39.795269]],[[-119.366501,39.795269],[-119.36615,39.794621]],[[-119.332108,39.74958],[-119.345512,39.772671],[-119.36615,39.794621]],[[-119.332108,39.74958],[-119.331852666,39.748788132]],[[-119.331852666,39.748788132],[-119.332108,39.74958]],[[-119.331787449,39.748481611],[-119.331852666,39.748788132]],[[-119.331852666,39.748788132],[-119.331787449,39.748481611]],[[-119.331787449,39.748481611],[-119.331773251,39.748335846]],[[-119.331773251,39.748335846],[-119.331787449,39.748481611]],[[-119.331773251,39.748335846],[-119.331787,39.747532]],[[-119.331787,39.747532],[-119.331773251,39.748335846]],[[-119.290581,39.630932],[-119.290619,39.636021],[-119.292381,39.63847],[-119.325111,39.650959],[-119.328941,39.65477],[-119.335114,39.68615],[-119.334351,39.722401],[-119.332481,39.73328],[-119.333908,39.73885],[-119.331787,39.747532]]]}"
"398","The Loneliest Road in America","Nevada State Scenic Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-118.775142107,39.475072727],[-118.691827273,39.475054545],[-118.687781818,39.473654546],[-118.683809091,39.469745454],[-118.650927272,39.402309091],[-118.646345455,39.396445455],[-118.632245455,39.389390909],[-118.576327272,39.372227273],[-118.555554545,39.361809091],[-118.525218182,39.338218182],[-118.485418182,39.301681818],[-118.448081818,39.290981818],[-118.402172727,39.269309091],[-118.386354546,39.2649],[-118.373190909,39.265036364],[-118.3601,39.271918182],[-118.345936364,39.274881818],[-118.336154545,39.275172727],[-118.319618182,39.272345455],[-118.285036364,39.277954545],[-118.233927273,39.282381818],[-118.154545454,39.287081818],[-118.130781818,39.286690909],[-118.068845454,39.291245455],[-118.027963637,39.290254546],[-117.977781818,39.294836364],[-117.958718182,39.299572728],[-117.942072727,39.300936364],[-117.911909091,39.298754546],[-117.884827273,39.302318182],[-117.877890909,39.306163636],[-117.865227272,39.296890909],[-117.853981819,39.273372727],[-117.840381818,39.266354545],[-117.820027272,39.249072728],[-117.8028,39.243309091],[-117.772,39.238172727],[-117.763445455,39.243881818],[-117.750581818,39.2481],[-117.739254546,39.2599],[-117.739854546,39.263554546],[-117.738054546,39.261218182],[-117.735990909,39.262872727],[-117.725718182,39.264263636],[-117.717609091,39.262236363],[-117.712490909,39.262872727],[-117.711654545,39.265654545],[-117.707618182,39.264163636],[-117.700745455,39.266454545],[-117.691509091,39.260754546],[-117.683554545,39.263072727],[-117.680809091,39.259581818],[-117.680036363,39.2492],[-117.667672727,39.240927273],[-117.532036364,39.240936363],[-117.521718182,39.242927273],[-117.512272728,39.247654546],[-117.446272728,39.297090909],[-117.440354546,39.304454546],[-117.420781818,39.351154546],[-117.416263636,39.354636364],[-117.398772728,39.360972727],[-117.385836363,39.362745455],[-117.371418182,39.362245454],[-117.360554545,39.366990909],[-117.116863636,39.500136364],[-117.0984,39.501845455],[-117.081754546,39.500363636],[-117.066463637,39.489127273],[-117.059572727,39.487945455],[-117.0611,39.491318182],[-117.0597,39.493072727],[-117.054681818,39.488581818],[-117.050281818,39.488936364],[-117.051218182,39.485527273],[-117.048736364,39.483381818],[-117.039709091,39.482518182],[-117.023718181,39.476509091],[-117.0178,39.478163636],[-117.015554546,39.480927273],[-117.013372727,39.478681818],[-117.004372727,39.477190909],[-117.005579974,39.477479208],[-117.001954545,39.473454546],[-117.002490909,39.467727273],[-116.999418182,39.464554546],[-116.997827273,39.458263636],[-116.992618182,39.4556],[-116.984254545,39.443009091],[-116.971072727,39.434145454],[-116.967163636,39.422418182],[-116.955690909,39.415754546],[-116.949190909,39.406463637],[-116.849927272,39.387172727],[-116.798218182,39.403136364],[-116.7877,39.408009091],[-116.774454546,39.409863636],[-116.763572727,39.413981818],[-116.755963637,39.420709091],[-116.750681818,39.429136364],[-116.748881818,39.438009091],[-116.746236363,39.4428],[-116.739245455,39.446545454],[-116.735409091,39.452281818],[-116.720772727,39.459281818],[-116.316945454,39.531036363],[-116.236054545,39.5524],[-116.180681818,39.5734],[-116.129063636,39.583718182],[-116.107536364,39.583936363],[-116.100718182,39.582654546],[-116.075981818,39.572663637],[-116.059990909,39.573836364],[-115.993209091,39.555027273],[-115.978145454,39.545018182],[-115.968009091,39.530127272],[-115.957172727,39.499927273],[-115.957354545,39.496045454],[-115.949227273,39.489809091],[-115.943436363,39.480218181],[-115.945709091,39.472972728],[-115.9455,39.466990909],[-115.936927272,39.4549],[-115.930518182,39.441854546],[-115.919790909,39.432618182],[-115.921081818,39.418781818],[-115.920709091,39.412509091],[-115.918272727,39.406645454],[-115.922018182,39.395790909],[-115.921954546,39.389181818],[-115.920127273,39.385054546],[-115.921209091,39.383509091],[-115.919463636,39.384336364],[-115.9134,39.381027273],[-115.872318181,39.368218182],[-115.7264,39.392818182],[-115.705145455,39.400390909],[-115.690409091,39.415045454],[-115.658890909,39.420045454],[-115.574990909,39.409118182],[-115.539272727,39.396118182],[-115.502372727,39.390827272],[-115.494581818,39.391518182],[-115.491781818,39.389772727],[-115.487127273,39.3948],[-115.478145455,39.395536364],[-115.473636363,39.398309091],[-115.4659,39.396927273],[-115.437327272,39.382872727],[-115.424972727,39.382009091],[-115.414845455,39.371272727],[-115.4026,39.365709091],[-115.391818182,39.349009091],[-115.386872727,39.348036364],[-115.375918182,39.351418182],[-115.363709091,39.351563636],[-115.359954545,39.352863636],[-115.3523,39.359427273],[-115.347554545,39.356245455],[-115.340436364,39.355281818],[-115.332645454,39.356727273],[-115.328363636,39.359518182],[-115.317454546,39.362745455],[-115.220781818,39.414245455],[-115.198054546,39.422381818],[-115.187754545,39.428954546],[-115.152227273,39.427127273],[-115.128236363,39.430145455],[-115.111063637,39.429663636],[-115.096118182,39.421427272],[-115.090609091,39.415409091],[-115.087372727,39.414509091],[-115.0823,39.4157],[-115.081445455,39.412827273],[-115.083436363,39.394872727],[-115.081563636,39.391036364],[-115.077436364,39.391127272],[-115.066263637,39.381754546],[-115.036427273,39.347890909],[-115.0125,39.326045454],[-114.987072727,39.305118182],[-114.9681,39.291718182],[-114.965145455,39.287627273],[-114.962781818,39.277763636],[-114.958863637,39.272418182],[-114.948790909,39.265372727],[-114.916190909,39.254490909],[-114.905190909,39.246109091],[-114.885754545,39.249090909],[-114.874290909,39.253272727],[-114.852554545,39.213318182],[-114.819509091,39.169772727],[-114.801009091,39.157527273],[-114.721627273,39.045727272],[-114.706163636,39.034872728],[-114.695618182,39.031309091],[-114.686027273,39.020718182],[-114.673463636,39.023872727],[-114.668845455,39.026727273],[-114.6669,39.030145454],[-114.6563,39.033490909],[-114.65019091,39.037890909],[-114.614081818,39.047527273],[-114.612318181,39.046336364],[-114.611972727,39.042009091],[-114.606518182,39.035681818],[-114.5995,39.032263636],[-114.599109091,39.027736364],[-114.582454545,39.024845455],[-114.453045454,39.068772727],[-114.445854545,39.076490909],[-114.420654545,39.129109091],[-114.411118182,39.157445454],[-114.396909091,39.173681818],[-114.388090909,39.176190909],[-114.371154545,39.172172728],[-114.3645,39.166127273],[-114.349681818,39.156954546],[-114.3435,39.148427273],[-114.311909091,39.123754546],[-114.289554546,39.121081818],[-114.283327273,39.117054546],[-114.271018182,39.112636364],[-114.252054546,39.100945455],[-114.240872727,39.097990909],[-114.228645454,39.089845455],[-114.198736363,39.083509091],[-114.164236364,39.066136363],[-114.056864731,39.057412683]]]}"
"399","Angel Lake Road","Nevada State Scenic Byway","NV","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-114.974182,41.103352],[-114.994972,41.103489],[-115.004089,41.098969],[-115.005333,41.09248],[-115.00428,41.086639],[-115.009361,41.0821],[-115.022072,41.063782],[-115.024178,41.048302],[-115.029831,41.041451],[-115.050652,41.03619],[-115.058456,41.039001],[-115.057564,41.03653],[-115.060059,41.03384],[-115.059731,41.031502],[-115.063423,41.028671],[-115.065826,41.022148],[-115.071564,41.02026],[-115.071159,41.017799],[-115.073196,41.01746],[-115.071983,41.01852],[-115.075089,41.021679],[-115.069313,41.02478],[-115.07,41.028252],[-115.085289,41.026001]]]}"
