"byway_id","name","designats","state","source","geom_geojson"
"213","Historic National Road - Ohio","All-American Road, Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.738976,40.07231],[-80.746681,40.072842001],[-80.764839,40.070278],[-80.775101,40.065842],[-80.781822,40.06942],[-80.787581999,40.069099001],[-80.789917,40.073891001],[-80.795517001,40.074711],[-80.799301,40.073879],[-80.806107001,40.067139],[-80.832603,40.066399],[-80.839333001,40.067558001],[-80.846687,40.07188],[-80.858902,40.072239],[-80.866501,40.076519],[-80.888809,40.083351],[-80.909447,40.077709],[-80.924271,40.077579],[-80.944801,40.073409999],[-80.974228001,40.072079],[-80.994392,40.073711],[-81.005989,40.071091],[-81.050903,40.068619],[-81.076087999,40.062771],[-81.080933,40.05957],[-81.09137,40.060181],[-81.107368001,40.063808],[-81.112396001,40.062321],[-81.117439,40.05777],[-81.12838,40.059601001],[-81.151787,40.05801],[-81.164131,40.061161001],[-81.17852,40.06144],[-81.219963,40.059341],[-81.227592,40.057812],[-81.230927,40.055592],[-81.238243,40.057380999],[-81.256813,40.057819],[-81.269142,40.055599],[-81.286490999,40.056198],[-81.305427999,40.059662],[-81.325339999,40.053101],[-81.360626,40.04657],[-81.369797,40.046261],[-81.377274,40.043678],[-81.377029,40.042591],[-81.403999,40.035969],[-81.416359,40.038139],[-81.42485,40.037609],[-81.434097,40.034691],[-81.434433,40.036079],[-81.432441999,40.03648],[-81.447723,40.038971],[-81.46962,40.038239],[-81.489182,40.03455],[-81.508957,40.023788],[-81.518951,40.023731],[-81.52108,40.026051],[-81.54705,40.02449],[-81.564049,40.028172],[-81.582657,40.024609],[-81.595192,40.02491],[-81.598267,40.022171],[-81.605339,40.02483],[-81.615593,40.015709],[-81.656723,40.010269],[-81.676323,40.002022],[-81.710274,39.994831],[-81.723449999,39.99514],[-81.771553001,39.988189999],[-81.787842,39.987759],[-81.797691,39.982079],[-81.80304,39.981812],[-81.808456,39.978931],[-81.836128,39.973639999],[-81.845322,39.974072],[-81.875320001,39.966282001],[-81.887627001,39.968200999],[-81.940422,39.953381],[-81.947807,39.949421],[-81.973122,39.946331],[-81.982224,39.94231],[-81.983459,39.940410999],[-81.992828,39.939232],[-82.014197999,39.94046],[-82.017769,39.939152],[-82.035820001,39.947578],[-82.045097,39.94722],[-82.048531,39.949421],[-82.06987,39.954861],[-82.088303,39.954029],[-82.115768,39.950089],[-82.148628,39.95723],[-82.193413001,39.956242],[-82.23156,39.947639001],[-82.251923,39.946461],[-82.310257,39.954418],[-82.322647,39.953650999],[-82.367416,39.958691],[-82.48246,39.96175],[-82.514214,39.958191],[-82.548309,39.957619],[-82.590881,39.959301],[-82.666847,39.957722],[-82.679131,39.95919],[-82.696632,39.957199],[-82.846039,39.95467],[-82.989899,39.957240999],[-82.991058,39.963322001],[-83.053429,39.955929],[-83.685097,39.92424],[-83.787201,39.923302],[-83.845657,39.92651],[-83.863982999,39.925079001],[-83.87339,39.926262],[-84.027809,39.90913],[-84.049553,39.908169],[-84.152893001,39.895241001],[-84.15609,39.879051],[-84.161278,39.87405],[-84.179779,39.878361],[-84.180412,39.89233],[-84.271599,39.884701],[-84.273758,39.883171001],[-84.275879,39.876369],[-84.289658,39.866791],[-84.298019,39.872421],[-84.3022,39.877762],[-84.525192,39.855251],[-84.573036,39.852828999],[-84.813858,39.83363]]]}"
"214","Hocking Hills Scenic Byway","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.521878,39.576708],[-82.527969,39.57505],[-82.54187,39.575871],[-82.552773,39.57053],[-82.557358,39.56982],[-82.562302,39.566662],[-82.57151,39.556129],[-82.581863,39.551949],[-82.585381,39.547321],[-82.589447,39.546089],[-82.58519,39.538559],[-82.577843,39.53685],[-82.576538,39.538769],[-82.566742,39.53426],[-82.560539,39.533619],[-82.556923,39.527672],[-82.562592,39.525349],[-82.572929,39.527119],[-82.591011,39.520592],[-82.60128,39.521278],[-82.610237,39.514671],[-82.615082,39.514],[-82.618668,39.50724],[-82.628342,39.504421],[-82.622688,39.496712],[-82.60923,39.493679],[-82.598961,39.496052],[-82.594856,39.491852],[-82.588348,39.49242],[-82.585747,39.487709],[-82.585632,39.481998],[-82.58374,39.480221],[-82.584969,39.477039],[-82.583557,39.472069],[-82.585548,39.46542],[-82.580711,39.460678],[-82.581711,39.459309],[-82.576111,39.454681],[-82.575722,39.451721],[-82.566963,39.445919],[-82.565697,39.444229],[-82.566277,39.440868],[-82.563904,39.439899],[-82.565048,39.4356],[-82.571571,39.426109],[-82.588997,39.425869],[-82.5914,39.423351],[-82.595093,39.422531],[-82.599411,39.417389],[-82.591164,39.413872],[-82.587029,39.41375],[-82.583817,39.410801],[-82.5793,39.411469],[-82.571823,39.409328],[-82.570053,39.40712],[-82.566879,39.40691],[-82.56543,39.40448],[-82.562859,39.40493],[-82.562439,39.403351],[-82.553902,39.398251],[-82.554482,39.396568],[-82.539658,39.39407],[-82.530151,39.40519],[-82.53093,39.4076],[-82.524658,39.416382],[-82.53093,39.4076],[-82.530151,39.40519],[-82.539658,39.39407],[-82.554482,39.396568],[-82.553902,39.398251],[-82.562439,39.403351],[-82.562859,39.40493],[-82.56543,39.40448],[-82.566879,39.40691],[-82.570053,39.40712],[-82.571823,39.409328],[-82.5793,39.411469],[-82.583817,39.410801],[-82.587029,39.41375],[-82.591164,39.413872],[-82.59977,39.417709],[-82.595093,39.422531],[-82.5914,39.423351],[-82.588997,39.425869],[-82.571571,39.426109],[-82.56192,39.441341],[-82.557152,39.439892],[-82.553741,39.433189],[-82.543518,39.43364],[-82.538559,39.438],[-82.530632,39.439739],[-82.531433,39.438129],[-82.528381,39.436588],[-82.52771,39.42733],[-82.523132,39.422569],[-82.524422,39.416672]]]}"
"215","Indiana's Historic Pathways","National Scenic Byway, Indiana State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.820269859,39.149119562],[-84.820267,39.14912]]]}"
"212","Drovers' Trail Scenic Byway","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.173919,40.060453],[-81.207338,40.060435]],[[-81.17392,40.060452],[-81.157639,40.05946],[-81.156982,40.04855],[-81.159416,40.039429],[-81.156723,40.028278],[-81.157806,40.018841],[-81.169273,40.014019],[-81.178177,40.00378],[-81.177521,40.001572],[-81.172241,39.998001],[-81.176537,39.993252],[-81.177307,39.987869],[-81.172417,39.986691],[-81.160149,39.988651],[-81.155739,39.991451],[-81.14814,39.99295],[-81.145088,40.000359],[-81.141083,40.002609],[-81.107101,40.00045],[-81.088058,40.013981],[-81.081383,40.020641],[-81.073761,40.02103],[-81.064049,40.025021],[-81.05188,40.025631],[-81.040123,40.0294],[-81.038422,40.023312],[-81.032913,40.018082],[-81.029182,40.006329],[-81.01989,40.00592],[-81.013962,40.00948],[-81.003479,40.008419],[-80.99807,40.00349],[-80.99585,39.99823],[-80.993179,39.99662],[-80.991791,39.99239],[-80.98893,39.98996],[-80.980927,39.98967],[-80.972038,39.986851],[-80.965248,39.975689],[-80.957176,39.97559],[-80.950157,39.971809],[-80.942558,39.973282],[-80.938293,39.971039],[-80.93103,39.962109],[-80.928192,39.961559],[-80.910583,39.965389],[-80.901268,39.974201],[-80.885773,39.97385],[-80.878288,39.976101],[-80.875732,39.974461],[-80.870003,39.975071],[-80.866676,39.982792],[-80.852158,39.98978],[-80.847717,39.990219],[-80.842422,39.986759],[-80.83503,39.991501],[-80.827362,39.99065],[-80.822281,39.994831],[-80.814072,39.99786],[-80.809502,39.995331],[-80.807098,39.98999],[-80.80381,39.988178],[-80.799149,39.98991],[-80.79985,39.992001],[-80.789688,39.99382],[-80.782669,39.99337],[-80.778999,39.99498],[-80.778328,39.9991],[-80.776443,40.000599],[-80.766113,40.003159],[-80.765373,40.010818],[-80.756889,40.005619],[-80.750992,40.008228],[-80.745712,40.007889]],[[-80.745712,40.007889],[-80.744266,40.007812],[-80.741499,40.015239]]]}"
"211","Accommodation Line Scenic Byway","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.001068,39.61063],[-84.006348,39.604038],[-84.020264,39.59972],[-84.029572,39.590172],[-84.033562,39.576462],[-84.029198,39.568661],[-84.029121,39.565868],[-84.040787,39.553219],[-84.056084,39.54686],[-84.079964,39.533951],[-84.085327,39.528938]]]}"
"216","Lake Erie Coastal Ohio Trail","National Scenic Byway, Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-83.514671,41.67215],[-83.514664,41.672771]],[[-83.514664,41.672771],[-83.514328,41.673328]],[[-80.519304405,41.943919405],[-80.538039999,41.940071],[-80.548866,41.94051],[-80.556137,41.944111],[-80.553574,41.961498],[-80.567581,41.960911],[-80.625832001,41.942959],[-80.678261,41.931221],[-80.697036999,41.92424],[-80.72731,41.917519],[-80.753769,41.914711],[-80.781464,41.900822],[-80.791778999,41.899929001],[-80.796668999,41.9011],[-80.7995,41.899609],[-80.800407,41.901081],[-80.820892,41.895161],[-80.82238,41.892471],[-80.832932,41.89053],[-80.858063,41.880859],[-80.904083,41.867271],[-80.92942,41.863480001],[-80.930893,41.860790001],[-80.944427,41.861309],[-80.957497001,41.859661],[-80.963303,41.857712],[-80.96331,41.852661],[-80.955582,41.8405],[-80.950401,41.836262],[-80.94268,41.816769],[-80.947533001,41.805270999],[-80.964850999,41.79937],[-80.990128,41.801041],[-81.015877,41.798351],[-81.015479999,41.819759],[-81.016678,41.826679],[-81.008751,41.841839],[-81.032143,41.841499],[-81.032181,41.838599999],[-81.051743,41.836048],[-81.061821,41.830921],[-81.061577001,41.81955],[-81.094719,41.819389001],[-81.094643,41.810581],[-81.121353,41.810928],[-81.121094,41.78804],[-81.137741,41.784729],[-81.146858001,41.793049],[-81.155647001,41.796131],[-81.159126,41.794079],[-81.163857,41.793839],[-81.163834,41.774558999],[-81.185416999,41.763988],[-81.212898,41.746688999],[-81.226219,41.747879],[-81.23053,41.753559],[-81.237518,41.754791],[-81.241707,41.757259],[-81.262688,41.754452],[-81.269501001,41.750648],[-81.268021,41.737358],[-81.262000999,41.730782],[-81.264702,41.730801],[-81.275574,41.735531],[-81.281349,41.74176],[-81.287002999,41.74057],[-81.288177,41.75256],[-81.296883001,41.751362],[-81.297523,41.748291],[-81.31144,41.743858],[-81.311310001,41.73354],[-81.306107001,41.73003],[-81.306213,41.726398],[-81.311478,41.721169],[-81.319939,41.717979],[-81.350258,41.721409],[-81.361366,41.719639001],[-81.36129,41.705009],[-81.409607,41.693291],[-81.426437,41.679619],[-81.423981,41.669441001],[-81.425369,41.667042],[-81.4328,41.663398999],[-81.45134,41.662418],[-81.485863,41.628208],[-81.519783001,41.614059],[-81.550116999,41.595051],[-81.554267999,41.591171],[-81.55732,41.585838],[-81.557198,41.58326],[-81.560791,41.580719],[-81.575211,41.577091],[-81.575401,41.573589001],[-81.582916,41.570861999],[-81.599792,41.55883],[-81.609077,41.54884],[-81.617142,41.54829],[-81.623154,41.545139],[-81.623329,41.542221],[-81.627906999,41.539928],[-81.631081001,41.541229],[-81.631691,41.539661],[-81.639053,41.539028],[-81.654647999,41.529099],[-81.680763,41.516499],[-81.686623,41.51157],[-81.697327,41.5061],[-81.699112,41.508041],[-81.70105,41.507069],[-81.699112,41.502789],[-81.704597,41.49947],[-81.708939,41.492538],[-81.714699,41.488781],[-81.719551,41.489079],[-81.720832999,41.486511],[-81.743858001,41.480511],[-81.75312,41.479729],[-81.768738,41.483601],[-81.789482,41.485531],[-81.822707999,41.484161],[-81.822571,41.491119],[-81.837196,41.483871],[-81.859062,41.480862],[-81.873306,41.481541],[-81.943764,41.491661],[-81.954681,41.495201],[-81.968918,41.504318001],[-81.995499,41.513008],[-82.019257,41.51302],[-82.113098,41.489529],[-82.173897,41.470829],[-82.19326,41.4631],[-82.221008,41.449539],[-82.224907,41.445969],[-82.250839,41.434799],[-82.265343,41.430908],[-82.304688,41.424751],[-82.349823,41.424991999],[-82.357452,41.422298],[-82.37027,41.421951],[-82.378189,41.417648],[-82.39698,41.41235],[-82.454659,41.385132],[-82.488823,41.378101],[-82.507538,41.37981],[-82.526733,41.387192001],[-82.554764,41.389919],[-82.557709,41.39143],[-82.555031001,41.39463],[-82.571906999,41.40723],[-82.585732,41.408489],[-82.595993,41.406680999],[-82.618378,41.413268999],[-82.680762999,41.44173],[-82.674339,41.45018],[-82.698738,41.453339],[-82.703055999,41.460658999],[-82.721733,41.454379999],[-82.72039,41.451832],[-82.734329,41.439919],[-82.765404,41.442921],[-82.809486,41.469318],[-82.819679,41.469002],[-82.818657,41.46106],[-82.82917,41.462761],[-82.832748,41.466969],[-82.83799,41.503422],[-82.829674,41.505378999],[-82.828971999,41.503189001],[-82.80764,41.506039],[-82.80674,41.507591],[-82.789658,41.508319999],[-82.774384,41.507111],[-82.765587,41.504711],[-82.761642,41.506538],[-82.760841,41.515282],[-82.729248,41.515121001],[-82.722366,41.518639],[-82.720306,41.522591001],[-82.715698,41.52401],[-82.712761001,41.5275],[-82.714043,41.534031],[-82.717323001,41.540749],[-82.71891,41.54105],[-82.746947999,41.539001],[-82.758712999,41.53421],[-82.777863,41.529579],[-82.791153,41.531971],[-82.832778999,41.53159],[-82.846123,41.529400001],[-82.858672999,41.52383],[-82.858757,41.52816],[-82.855873,41.5327],[-82.84446,41.548031],[-82.837379,41.553471],[-82.832001,41.560669],[-82.83268,41.58482],[-82.83651,41.585312001],[-82.836807,41.586639],[-82.840118,41.586369],[-82.840073,41.580669],[-82.844353,41.576908],[-82.846413,41.57206],[-82.845947,41.55603],[-82.861839,41.538658],[-82.867363001,41.535839],[-82.872817999,41.52951],[-82.889282,41.520851],[-82.903168,41.516101999],[-82.942711,41.513279],[-82.944061,41.517231001],[-82.960663001,41.52132],[-82.995070999,41.520889],[-83.012772,41.526402],[-83.070251,41.556332],[-83.0961,41.586189],[-83.096893,41.599861],[-83.100632,41.603249],[-83.257561,41.604301],[-83.259956,41.606831],[-83.259841999,41.635262],[-83.26223,41.638087999],[-83.370621,41.638229],[-83.370781,41.674708999],[-83.429588,41.674171],[-83.430061,41.688721],[-83.433272999,41.689781],[-83.452271,41.690201],[-83.466827,41.671211],[-83.470787,41.671661],[-83.479927,41.676781],[-83.485481,41.671001],[-83.504807,41.6591],[-83.502632001,41.655689001],[-83.504043999,41.654049],[-83.507179,41.65506],[-83.513702,41.663681],[-83.514664,41.672771]],[[-83.514328,41.673328],[-83.51388907,41.673575297]],[[-83.514328,41.673328],[-83.51388907,41.673575297]],[[-83.51388907,41.673575297],[-83.512772,41.673851]],[[-83.51388907,41.673575297],[-83.512772,41.673851]],[[-83.512772,41.673851],[-83.513062,41.67659],[-83.534882,41.66032],[-83.530289,41.655048],[-83.542763,41.640499001],[-83.561371,41.627441],[-83.574173,41.62167],[-83.589622,41.610722001],[-83.591728,41.60857],[-83.593246,41.601299],[-83.599617,41.593182],[-83.602791,41.59177],[-83.609909,41.581668999],[-83.627243,41.573589001],[-83.630547001,41.577671],[-83.650711001,41.56657],[-83.684067,41.554428],[-83.714249,41.53352],[-83.717484,41.522949],[-83.71701,41.512112],[-83.720642001,41.499359],[-83.784180001,41.516621],[-83.802879,41.516651],[-83.804657,41.520569],[-83.824867,41.527481],[-83.824997,41.574718],[-83.836227,41.574989],[-83.839469999,41.577961],[-83.839684,41.584572],[-83.8255,41.588531],[-83.825279,41.597469],[-83.825272,41.615929001],[-83.836456,41.618729],[-83.83812,41.672249001],[-83.713112,41.673721],[-83.671577001,41.676689],[-83.536247,41.67894],[-83.514763,41.679161],[-83.512970001,41.67643]],[[-83.512772,41.673851],[-83.507698,41.669571],[-83.485977,41.687382001],[-83.484581,41.691269],[-83.480179,41.695301],[-83.478699,41.703541],[-83.479758878,41.732265681]]]}"
"217","Morgan County Scenic Byway","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.744961708,39.757471506],[-81.745644,39.751961],[-81.742554,39.747051],[-81.742477,39.744091],[-81.735321,39.733459],[-81.735703,39.730869],[-81.732117,39.728561],[-81.728638,39.709541],[-81.725594,39.70723],[-81.724747,39.7015],[-81.731018,39.697739],[-81.737488,39.697971],[-81.738297,39.695599],[-81.742241,39.694038],[-81.756058,39.690861],[-81.770058,39.692749],[-81.775772,39.690411],[-81.784439,39.69331],[-81.798439,39.693329],[-81.818077,39.684978],[-81.824257,39.67836],[-81.837257,39.673191],[-81.847748,39.663929],[-81.851189,39.656441],[-81.850349,39.652882],[-81.852013,39.648731],[-81.857368,39.649132],[-81.860741,39.653042],[-81.867569,39.650509],[-81.883461,39.652279],[-81.890007,39.65007],[-81.898018,39.642632],[-81.89959,39.632252],[-81.908249,39.62764],[-81.909378,39.625359],[-81.92083,39.622471],[-81.925972,39.618439],[-81.927811,39.61594],[-81.92865,39.602329],[-81.935783,39.600182],[-81.937363,39.596031],[-81.946579,39.596359],[-81.949257,39.594841],[-81.95105,39.58979],[-81.956482,39.586941],[-81.958778,39.590012],[-81.978996,39.590191],[-81.984612,39.586231],[-81.98893,39.585629],[-81.990929,39.581821],[-81.996872,39.57856],[-81.997513,39.575459],[-81.989548,39.56451],[-81.989861,39.562462],[-81.994049,39.560452],[-81.995934,39.556599],[-81.995461,39.5541],[-82.003403,39.547791],[-82.003151,39.54142],[-82.008278,39.538502],[-82.008858,39.53561],[-82.014313,39.532631],[-82.015556,39.529919],[-82.02227,39.527779],[-82.023651,39.522701],[-82.022247,39.520859],[-82.022888,39.518509],[-82.030922,39.51284],[-82.0364,39.511349],[-82.039337,39.512718],[-82.050677,39.513005]]]}"
"218","Scenic Olentangy Heritage Corridor","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-83.034981,40.11282],[-83.034241,40.118252],[-83.036728,40.125351],[-83.036858,40.135731],[-83.045563,40.154652],[-83.044189,40.17157],[-83.052269,40.187279],[-83.05368,40.196541],[-83.062134,40.211521],[-83.062019,40.218559],[-83.064957,40.223309],[-83.05986,40.24868],[-83.063423,40.25568]]]}"
"219","Scenic Scioto Heritage Trail Scenic Byway","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-83.263878,38.752682],[-83.265427,38.755871],[-83.261269,38.772449],[-83.256432,38.776199001],[-83.256554,38.780060001],[-83.259048,38.782509],[-83.254982001,38.79546],[-83.254837,38.801628],[-83.250229,38.803761],[-83.243134,38.81036],[-83.241607999,38.816002],[-83.237312001,38.822089999],[-83.235657,38.83197],[-83.231956,38.838469999],[-83.220642001,38.841869],[-83.210854,38.84716],[-83.206191999,38.850738999],[-83.203911,38.855122001]],[[-83.098251,38.697449],[-83.104979999,38.692089],[-83.110031,38.681709],[-83.126410999,38.66341],[-83.140213,38.643261],[-83.150253,38.633339],[-83.168938,38.6241],[-83.183121001,38.621929],[-83.192802,38.623058],[-83.224799999,38.637611],[-83.223518,38.640881],[-83.220268001,38.643211],[-83.210922,38.64547],[-83.211922,38.64859],[-83.214439001,38.649979],[-83.215630001,38.65292],[-83.222603,38.655021999],[-83.225014,38.65963],[-83.230591,38.65937],[-83.231453,38.6619],[-83.234039,38.660919],[-83.234596,38.66333],[-83.240829,38.664719],[-83.248199,38.6703],[-83.261108001,38.68726],[-83.261887001,38.692371],[-83.251404,38.708591],[-83.254012999,38.712639],[-83.255402,38.719639],[-83.260757001,38.72657],[-83.263451,38.734661],[-83.265289,38.744339],[-83.263878,38.752682]],[[-83.263878,38.752682],[-83.254349,38.7509],[-83.249283,38.748741],[-83.246582,38.745571],[-83.239723,38.74511],[-83.221130001,38.748981],[-83.205421,38.746578],[-83.199463001,38.744221],[-83.195358,38.739182],[-83.189857,38.736599],[-83.186234,38.732341999],[-83.170868,38.72628],[-83.159981,38.726761],[-83.15181,38.723518],[-83.143639,38.7188],[-83.135162,38.708389001],[-83.122161999,38.705551],[-83.114639,38.70229],[-83.113083,38.699261],[-83.110641,38.6982],[-83.098251,38.697449]],[[-83.203911,38.855122001],[-83.208473,38.857712],[-83.209351,38.860561],[-83.205704,38.865971],[-83.215012,38.877071],[-83.213959,38.880569],[-83.216476,38.882938],[-83.22171,38.886249999],[-83.227028,38.887051],[-83.23024,38.891071],[-83.23632,38.890572],[-83.238243,38.892891],[-83.244621,38.89259],[-83.245499,38.889339],[-83.247177,38.889061],[-83.251289,38.893639001],[-83.247124,38.898028999],[-83.253052001,38.897732001],[-83.261612,38.902920001],[-83.261139,38.910290001],[-83.250221,38.917191],[-83.245941,38.917080001],[-83.243110999,38.922421],[-83.245827,38.923],[-83.244499,38.927631],[-83.248001,38.936858999],[-83.24659,38.93972],[-83.24778,38.947731],[-83.265731999,38.958618001],[-83.270538,38.96944],[-83.260323001,38.974091],[-83.253983,38.982868],[-83.249222,38.985179999],[-83.249236999,38.988312],[-83.239792,38.989529],[-83.239441001,38.994221],[-83.234169,38.9972],[-83.234207,38.998870999],[-83.227089,38.997959],[-83.226639,38.995529],[-83.21463,38.991501],[-83.213348,38.986141],[-83.216216999,38.975788],[-83.210503,38.968448999],[-83.21476,38.962318],[-83.205437,38.955181],[-83.203278,38.950858999],[-83.201012,38.951611],[-83.198723,38.949871],[-83.191704,38.952209],[-83.174843,38.951721],[-83.148116999,38.948891],[-83.126800999,38.953709],[-83.120682,38.950080999],[-83.118339999,38.947319],[-83.123802,38.94495],[-83.125603001,38.939381],[-83.128692999,38.936298],[-83.129501,38.93166],[-83.127823,38.92173],[-83.12574,38.918812001],[-83.118118,38.915131],[-83.107162001,38.904269999],[-83.103653,38.892899],[-83.104584,38.892189]],[[-83.203911,38.855122001],[-83.198174,38.856369],[-83.187157,38.864079]],[[-83.187157,38.864079],[-83.188629,38.86594],[-83.173019001,38.877171],[-83.169258,38.889889],[-83.167068001,38.89217],[-83.120971999,38.895432],[-83.104584,38.892189]],[[-83.187157,38.864079],[-83.182899,38.859009],[-83.183899,38.853370999],[-83.182007,38.846218],[-83.182739,38.840561],[-83.174606,38.839661],[-83.163498,38.844799],[-83.157203999,38.844452],[-83.151801999,38.838032],[-83.154289,38.827679],[-83.151917001,38.824421],[-83.144897,38.821819],[-83.136002001,38.82185],[-83.128181,38.819439],[-83.113808,38.81126],[-83.099937,38.807419],[-83.086678,38.809719],[-83.076401,38.813881],[-83.066383,38.813511]],[[-83.104584,38.892189],[-83.099402999,38.88158],[-83.087898,38.882542001],[-83.080727,38.878632],[-83.076958,38.874149],[-83.06546,38.867512],[-83.05954,38.861679],[-83.048729,38.857990001],[-83.043822999,38.85305],[-83.035347,38.848309],[-83.029984,38.842018],[-83.038429,38.83963],[-83.04734,38.842152],[-83.053672999,38.841782],[-83.0644,38.838459],[-83.064842,38.835152],[-83.068832,38.83429],[-83.072769,38.829089999],[-83.079872,38.82383],[-83.069542,38.818298],[-83.066383,38.813511]],[[-83.045671,38.723279],[-83.055739999,38.714901],[-83.088401999,38.703419001],[-83.098251,38.697449]],[[-83.066383,38.813511],[-83.058739001,38.809780001],[-83.07515,38.790131],[-83.078712,38.79018],[-83.090981,38.782261],[-83.108597,38.779758],[-83.113632,38.771622],[-83.110442999,38.764090999],[-83.108727,38.764090999],[-83.09761,38.749802],[-83.076141,38.742619],[-83.045671,38.723279]],[[-83.005142,38.73172],[-83.009949,38.73188],[-83.018822,38.737450001],[-83.033302,38.736839],[-83.036689999,38.735031],[-83.040581,38.727371],[-83.045671,38.723279]]]}"
"220","Land of the Cross-Tipped Churches Scenic Byway","Ohio State Scenic Byway","OH","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.255768,40.394669],[-84.376694,40.39299],[-84.376671,40.407612],[-84.608192,40.406841],[-84.628517,40.417568],[-84.643433,40.41774],[-84.651016,40.421391],[-84.751831,40.42136],[-84.760757,40.417629],[-84.767433,40.412151],[-84.779579,40.413059],[-84.779358,40.415199],[-84.78466,40.4193],[-84.784190909,40.545627273]]]}"
