"byway_id","name","designats","state","source","geom_geojson"
"1499","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.421459974,43.126008466],[-124.421558487,43.124991957]]]}"
"1500","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.422993182,43.124598658],[-124.421627793,43.124852154]]]}"
"1501","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.423178191,43.124852247],[-124.422993182,43.124598658]]]}"
"1502","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.424133885,43.124847536],[-124.422993182,43.124598658]]]}"
"1503","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.415279988,43.144414958],[-124.416974286,43.141373893]]]}"
"1648","ALICEL LN."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.973525926,45.405995053],[-117.968378631,45.405992294]]]}"
"1649","ALICEL LN."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.980430987,45.405927108],[-117.976778576,45.405975151]]]}"
"1650","ALICEL LN."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-117.976778576,45.405975151],[-117.974542506,45.405996164]]]}"
"1449","FREMONT","019","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-120.282142331,42.483709329],[-120.282122629,42.45746949],[-120.279580443,42.447062927],[-120.27993853,42.439205655],[-120.283316425,42.428636366],[-120.28984875,42.422302261],[-120.289107629,42.407848851],[-120.292576178,42.403145887],[-120.293495286,42.398436189],[-120.301652422,42.391624414],[-120.306498537,42.385189],[-120.299332122,42.376586034],[-120.297205757,42.371400614],[-120.298058157,42.3329119],[-120.30065432,42.329384303],[-120.305550612,42.326905294],[-120.329429041,42.322987757],[-120.337813598,42.314576874],[-120.342055971,42.306393532],[-120.367512916,42.235345791],[-120.364196935,42.218529995],[-120.351463858,42.205427714],[-120.347130593,42.197226946],[-120.345942635,42.184862287],[-120.347422309,42.176444356],[-120.347038404,42.15834552],[-120.319984615,42.133809573],[-120.317239553,42.128780942],[-120.319417408,42.092311248],[-120.321895513,42.085688895],[-120.317400744,42.079518993],[-120.314661954,42.056045441],[-120.308213704,42.03206377],[-120.2981833,42.017624809],[-120.297552305,41.9919933]]]}"
"1504","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.395457085,43.15178936],[-124.397749692,43.15272766],[-124.39893717,43.151670654]]]}"
"1505","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.39893717,43.151670654],[-124.401395189,43.150125056]]]}"
"1506","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.401395189,43.150125056],[-124.401552736,43.149013034]]]}"
"1507","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.401552736,43.149013034],[-124.401583689,43.148198553]]]}"
"1508","Park Rd."," ","OR","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-124.401583689,43.148198553],[-124.403158184,43.147414258]]]}"
