"byway_id","name","designats","state","source","geom_geojson"
"707","Bucktail Trail","Pennsylvania State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-78.729156,41.422169],[-78.726891,41.422901],[-78.726913,41.426048],[-78.713943,41.433819],[-78.710327,41.431679],[-78.712929,41.425129],[-78.711212,41.422729],[-78.696373,41.41803],[-78.672173,41.416031],[-78.650322,41.417431],[-78.63723,41.421329],[-78.617783,41.42149],[-78.607758,41.418072],[-78.598488,41.42078],[-78.573112,41.420631],[-78.56105,41.425591],[-78.560448,41.428001],[-78.527161,41.428291],[-78.519157,41.431671],[-78.512352,41.431648],[-78.503403,41.44289],[-78.5,41.444538],[-78.479362,41.44281],[-78.465981,41.448009],[-78.440971,41.451092],[-78.431267,41.456829],[-78.426338,41.464661],[-78.421593,41.467911],[-78.408974,41.470219],[-78.388573,41.471008],[-78.368057,41.477139],[-78.35804,41.473961],[-78.334801,41.47084],[-78.31852,41.482651],[-78.298576,41.490219],[-78.276711,41.494228],[-78.246437,41.511009],[-78.229889,41.511902],[-78.220413,41.507999],[-78.22007,41.505009],[-78.205147,41.49794],[-78.200912,41.493309],[-78.200409,41.484421],[-78.193413,41.474152],[-78.197327,41.466621],[-78.197304,41.459881],[-78.178459,41.453789],[-78.17495,41.45097],[-78.176514,41.446419],[-78.185043,41.444229],[-78.18837,41.441589],[-78.18689,41.437981],[-78.178673,41.431301],[-78.179482,41.426079],[-78.192436,41.417889],[-78.195023,41.413029],[-78.193962,41.40493],[-78.189987,41.396931],[-78.180611,41.390041],[-78.179176,41.384029],[-78.167892,41.387829],[-78.162727,41.386421],[-78.158859,41.381599],[-78.158279,41.371498],[-78.156029,41.368591],[-78.14167,41.364529],[-78.125298,41.35508],[-78.124268,41.352871],[-78.12616,41.348511],[-78.137009,41.344971],[-78.13903,41.342411],[-78.128906,41.337029],[-78.124603,41.32272],[-78.121468,41.319561],[-78.10186,41.3181],[-78.078308,41.31942],[-78.071777,41.310291],[-78.041748,41.291111],[-78.03524,41.29171],[-78.016571,41.301991],[-78.004509,41.299301],[-77.989326,41.30061],[-77.979889,41.298969],[-77.945183,41.274658],[-77.936951,41.265671],[-77.924561,41.258549],[-77.906357,41.2626],[-77.911392,41.274601],[-77.907303,41.27879],[-77.901543,41.278999],[-77.890739,41.27536],[-77.880287,41.280762],[-77.869591,41.278561],[-77.857239,41.27832],[-77.846497,41.281509],[-77.843941,41.2845],[-77.843208,41.293831],[-77.838249,41.310452],[-77.834473,41.314129],[-77.82785,41.31398],[-77.812881,41.304699],[-77.808792,41.304409],[-77.802559,41.307598],[-77.791199,41.319401],[-77.783836,41.324329],[-77.776466,41.32645],[-77.757378,41.32526],[-77.743439,41.327888],[-77.736031,41.331161],[-77.72081,41.330849],[-77.71228,41.336182],[-77.702072,41.34586],[-77.693047,41.348042],[-77.636032,41.32906],[-77.637894,41.32156],[-77.63504,41.30513],[-77.629333,41.300911],[-77.615143,41.297539],[-77.609962,41.293949],[-77.608307,41.289928],[-77.608627,41.278839],[-77.598312,41.272179],[-77.596153,41.26897],[-77.598663,41.263142],[-77.611794,41.258289],[-77.613022,41.256111],[-77.612312,41.252621],[-77.605423,41.246471],[-77.570618,41.226711],[-77.566833,41.219181],[-77.564758,41.204021],[-77.556671,41.1875],[-77.545921,41.172401],[-77.537643,41.166531],[-77.529556,41.164188],[-77.514488,41.168152],[-77.499107,41.165989],[-77.488838,41.171612],[-77.484352,41.171848],[-77.477676,41.167412],[-77.474228,41.158421],[-77.461456,41.142071],[-77.442284,41.13739]]]}"
"708","Laurel Highlands Scenic Byway","Pennsylvania State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-79.019997,40.414242],[-79.0224,40.40675],[-79.030838,40.398529],[-79.055458,40.380482],[-79.06694,40.377499],[-79.075531,40.379009],[-79.077271,40.37262],[-79.083183,40.37011],[-79.087288,40.363441],[-79.099899,40.356628],[-79.116371,40.355129],[-79.127792,40.348652],[-79.131668,40.343571],[-79.135857,40.340969],[-79.135979,40.33025],[-79.137947,40.32259],[-79.142563,40.320049],[-79.144051,40.31649],[-79.150414,40.313801],[-79.156487,40.308651],[-79.157761,40.303261],[-79.154152,40.295898],[-79.157608,40.288441],[-79.169487,40.282108],[-79.177132,40.275002],[-79.189308,40.268749],[-79.198189,40.26075],[-79.219803,40.252769],[-79.22451,40.24799],[-79.236282,40.244511],[-79.24086,40.239681],[-79.239258,40.23381],[-79.242844,40.225601],[-79.256783,40.21384],[-79.266479,40.19725],[-79.296227,40.179001],[-79.314278,40.17062],[-79.325203,40.161621],[-79.327591,40.156422],[-79.334618,40.148399],[-79.351196,40.136749],[-79.365723,40.131149],[-79.371834,40.12236],[-79.382637,40.113289],[-79.376106,40.106918],[-79.352013,40.095032],[-79.347969,40.091282],[-79.348541,40.088169],[-79.357597,40.076809],[-79.360184,40.068119],[-79.381119,40.054321],[-79.403381,40.045269],[-79.404091,40.043049],[-79.40097,40.033669],[-79.395317,40.02914],[-79.398033,40.02354],[-79.412804,40.018139],[-79.419319,40.01804],[-79.426369,40.01561],[-79.441307,40.005871],[-79.447838,39.997341],[-79.445511,39.991772],[-79.450073,39.98597],[-79.452499,39.97823],[-79.452759,39.97221],[-79.450127,39.967838],[-79.454674,39.952209],[-79.447273,39.937969],[-79.447273,39.931911],[-79.458252,39.915192],[-79.45929,39.908211],[-79.465881,39.900131],[-79.466637,39.893551],[-79.462517,39.889439],[-79.462173,39.882069],[-79.468437,39.878071],[-79.475342,39.87756],[-79.4813,39.87933],[-79.49202,39.87365],[-79.494942,39.86055],[-79.498207,39.85815],[-79.499313,39.854141],[-79.505142,39.85289],[-79.509789,39.85006],[-79.512367,39.845459],[-79.516281,39.845291],[-79.521156,39.842121],[-79.523422,39.83569],[-79.545021,39.823929],[-79.548553,39.819389],[-79.555611,39.815022],[-79.562729,39.812901],[-79.564362,39.808331],[-79.56778,39.805908],[-79.571548,39.799541],[-79.570259,39.796028],[-79.571358,39.793301],[-79.576927,39.78878],[-79.590431,39.783852],[-79.595383,39.77763],[-79.610107,39.76955],[-79.615349,39.76973],[-79.621559,39.767529],[-79.625977,39.769341],[-79.616859,39.75769],[-79.620232,39.75391],[-79.626411,39.74033],[-79.625954,39.720951]]]}"
"709","Exton Bypass","Pennsylvania State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-75.674792703,40.01897435],[-75.652458,40.013371],[-75.645699,40.01321],[-75.625488,40.020271],[-75.587735332,40.029979547]]]}"
"710","Historic National Road - Maryland","All-American Road, Maryland State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-79.300380141,39.721977],[-79.300392,39.721981]]]}"
"711","Historic National Road - Pennsylvania","All-American Road, Pennsylvania State Scenic Byway, Pennsylvania Heritage Corridor","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-79.300392,39.721981],[-79.31192,39.72348],[-79.319,39.734001],[-79.333702,39.747631],[-79.35511,39.75301],[-79.367912,39.753948],[-79.388931,39.751301],[-79.403442,39.755692],[-79.417801,39.746231],[-79.421738,39.74593],[-79.428848,39.74828],[-79.449043,39.760799],[-79.509377,39.780479],[-79.558731,39.80537],[-79.56411,39.806198],[-79.586838,39.81768],[-79.599541,39.830761],[-79.615379,39.843849],[-79.658379,39.850361],[-79.66301,39.85371],[-79.661789,39.85783],[-79.66301,39.86013],[-79.669601,39.861961],[-79.674461,39.86142],[-79.681618,39.865509],[-79.696251,39.869598],[-79.711548,39.889042],[-79.716957,39.898602],[-79.72332,39.901402],[-79.731506,39.900742],[-79.733429,39.901981],[-79.749939,39.913929],[-79.753922,39.918652],[-79.772751,39.92952],[-79.796516,39.949409],[-79.816017,39.962669],[-79.832397,39.982121],[-79.849258,39.991611],[-79.848511,39.99757],[-79.85759,40.00111],[-79.868889,40.01329],[-79.873741,40.016151],[-79.876617,40.021011],[-79.890518,40.027561],[-79.905708,40.03091],[-79.923599,40.039711],[-79.935699,40.039669],[-79.944298,40.042488],[-79.975388,40.042789],[-79.99379,40.047249],[-80.000061,40.050289],[-80.00222,40.05352],[-80.011719,40.059711],[-80.028259,40.068279],[-80.041489,40.073051],[-80.042778,40.076469],[-80.047409,40.07798],[-80.047539,40.08036],[-80.050903,40.08284],[-80.058212,40.08226],[-80.066719,40.083851],[-80.081001,40.09042],[-80.084663,40.095348],[-80.09156,40.0975],[-80.095467,40.101219],[-80.1017,40.102428],[-80.107536,40.1077],[-80.108238,40.112881],[-80.111191,40.117649],[-80.11898,40.117722],[-80.133461,40.122711],[-80.138191,40.126369],[-80.157478,40.132622],[-80.168091,40.14072],[-80.18145,40.145302],[-80.186249,40.149132],[-80.195061,40.148499],[-80.208153,40.150318],[-80.220581,40.16074],[-80.240471,40.168388],[-80.248558,40.167431],[-80.251823,40.171589],[-80.256073,40.171101],[-80.277672,40.162281],[-80.28653,40.16301],[-80.296028,40.155121],[-80.330048,40.149632],[-80.336372,40.147228],[-80.345284,40.139839],[-80.360001,40.139648],[-80.372757,40.131248],[-80.396812,40.125031],[-80.404877,40.119808],[-80.421188,40.114342],[-80.436852,40.117359],[-80.450081,40.1175],[-80.46209,40.114101],[-80.475677,40.120991],[-80.486313,40.116692],[-80.492172,40.109928],[-80.507072,40.109829],[-80.51899,40.103458]]]}"
"712","Lake Erie Coastal Ohio Trail","National Scenic Byway, Ohio State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.519301999,41.94392],[-80.519304405,41.943919405]]]}"
"713","Red Clay Valley Scenic Byway","Delaware State Scenic & Historic Highway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-75.681022999,39.813862001],[-75.680919672,39.81372453]],[[-75.667125154,39.819752939],[-75.667137,39.819968999]],[[-75.658784736,39.822923804],[-75.658981,39.822979]],[[-75.649513708,39.826054595],[-75.649193,39.82637]]]}"
"721","Lake Wilhelm Scenic Byway","Pennsylvania State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.124783658,41.404127659],[-80.133408,41.410288],[-80.166432,41.424048],[-80.16768,41.42936]],[[-80.098128,41.387184],[-80.105968,41.396224],[-80.124784,41.404128]],[[-80.080448,41.356992],[-80.083632,41.364752],[-80.088096,41.367168],[-80.088688,41.37408],[-80.096048,41.3824],[-80.095904,41.38488],[-80.098127544,41.387182091]]]}"
"723","Historic National Road - West Virginia","All-American Road","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.51899,40.103458],[-80.518993973,40.103456308]]]}"
"724","Journey Through Hallowed Ground Byway","National Scenic Byway, Maryland State Scenic Byway, Virginia State Scenic Byway, Pennsylvania State Scenic Byway","PA","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-77.231114,39.830769],[-77.231049001,39.824188],[-77.240333999,39.811241],[-77.250061,39.801670001],[-77.257149,39.784882001],[-77.278664,39.75845],[-77.28566,39.74255],[-77.298667999,39.734669],[-77.306941416,39.719907992]],[[-77.231116,39.831076],[-77.231114,39.830769]],[[-77.189743001,39.892490001],[-77.220818,39.846859],[-77.228364,39.836987001],[-77.231138,39.83694],[-77.231116,39.831076]],[[-77.231116,39.831076],[-77.231114,39.830769]]]}"
