"byway_id","name","designats","state","source","geom_geojson"
"153","Edisto Island National Scenic Byway","National Scenic Byway, State Scenic Backway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.340179,32.637348],[-80.344627,32.624439],[-80.343872,32.618999],[-80.347603,32.588558],[-80.346283,32.584599],[-80.342308,32.581829],[-80.32959,32.580891],[-80.322472,32.57719],[-80.303299,32.579891],[-80.292648,32.57769],[-80.283791,32.571911],[-80.280029,32.560921],[-80.281151,32.547409],[-80.293839,32.538239],[-80.295593,32.529572],[-80.29969,32.523331],[-80.299683,32.509312],[-80.29689,32.50407]]]}"
"154","Long Point Road Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-79.846313,32.841431],[-79.830048,32.845058],[-79.826523,32.84716],[-79.817352,32.846539],[-79.81424,32.844601]]]}"
"155","Pacolet River Byway","North Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.227681794,35.196790512],[-82.2276,35.196751]]]}"
"159","SC-170 Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.922447,32.35141],[-80.909416,32.354229],[-80.887978,32.354519],[-80.875641,32.358608],[-80.86879,32.36351],[-80.847832,32.37331],[-80.826607,32.374691],[-80.809563,32.369259],[-80.793449,32.377811]]]}"
"160","SC-46 Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.853127,32.259499],[-80.860992,32.237228],[-80.87075,32.237289],[-80.889862,32.241199],[-80.911842,32.230129],[-80.938217,32.23283],[-80.997643,32.24472],[-81.003677,32.243431],[-81.011238,32.2369],[-81.01918,32.232868]]]}"
"143","Cherokee Foothills Scenic Highway","National Scenic Byway, South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-81.66835,35.097069],[-81.682129,35.104111],[-81.690804,35.10371],[-81.694923,35.105049],[-81.701981,35.112709],[-81.74118,35.130161],[-81.74794,35.129971],[-81.759438,35.122849],[-81.763557,35.122299],[-81.794922,35.130508],[-81.817146,35.142342],[-81.864143,35.14872],[-81.874199,35.16045],[-81.889137,35.163712],[-81.899651,35.160431],[-81.908798,35.16164],[-81.924622,35.158371],[-81.938133,35.149109],[-81.959167,35.150829],[-81.972382,35.14793],[-81.987823,35.140659],[-82.004288,35.136238],[-82.011803,35.125858],[-82.020103,35.121899],[-82.030006,35.124821],[-82.051033,35.134659],[-82.071342,35.138081],[-82.076561,35.142159],[-82.080566,35.14307],[-82.089241,35.14048],[-82.099541,35.140709],[-82.115982,35.133179],[-82.124718,35.12714],[-82.129433,35.126011],[-82.135117,35.127102],[-82.144028,35.120468],[-82.153473,35.119591],[-82.15683,35.116989],[-82.177223,35.118038],[-82.18428,35.120392],[-82.19548,35.116421],[-82.207443,35.11895],[-82.233124,35.113831],[-82.245422,35.116428],[-82.253708,35.12347],[-82.266792,35.126148],[-82.273552,35.125591],[-82.282944,35.122231],[-82.292999,35.127041],[-82.310532,35.12315],[-82.32074,35.124699],[-82.325508,35.122372],[-82.342178,35.119541],[-82.348671,35.115551],[-82.35688,35.104889],[-82.380882,35.106178],[-82.389519,35.108051],[-82.396637,35.101372],[-82.406898,35.101471],[-82.422447,35.098019],[-82.436798,35.091469],[-82.451462,35.08828],[-82.461533,35.082981],[-82.473801,35.085522],[-82.480827,35.083691],[-82.490303,35.083858],[-82.50782,35.07793],[-82.515877,35.070068],[-82.529709,35.07262],[-82.538139,35.079079],[-82.543129,35.079498],[-82.562103,35.075432],[-82.597321,35.0737],[-82.606117,35.071308],[-82.609482,35.068722],[-82.613312,35.05584],[-82.618698,35.049301],[-82.681877,35.035782],[-82.695877,35.02142],[-82.745667,35.000809],[-82.76226,34.985039],[-82.771584,34.98156],[-82.786034,34.981232],[-82.798927,34.977711],[-82.824768,34.963001],[-82.843452,34.957699],[-82.853432,34.94735],[-82.915947,34.914829],[-82.938431,34.913109],[-82.986382,34.90501],[-83.003403,34.893261],[-83.010323,34.891178],[-83.020821,34.884602],[-83.024094,34.871479],[-83.030792,34.865768],[-83.033989,34.85944],[-83.032608,34.849529],[-83.03727,34.842449],[-83.037987,34.836979],[-83.044991,34.831581],[-83.045189,34.829021],[-83.040009,34.818691],[-83.031708,34.807621],[-83.029617,34.79945],[-83.020058,34.78669],[-83.019089,34.78196],[-83.020432,34.777901],[-83.029427,34.773029],[-83.034897,34.765301],[-83.046387,34.756271],[-83.056068,34.72683],[-83.051132,34.71019],[-83.050262,34.69833],[-83.042877,34.68507],[-83.038757,34.662739],[-83.03997,34.658981],[-83.047699,34.652199],[-83.04937,34.648472],[-83.045303,34.59293],[-83.050232,34.578548],[-83.048271,34.567612],[-83.052544,34.557159],[-83.049072,34.54837],[-83.053612,34.532799],[-83.051353,34.525589],[-83.038017,34.499512],[-83.021881,34.49012]]]}"
"144","Fort Johnson Road Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-79.898621,32.752831],[-79.899101,32.750622],[-79.920921,32.73896],[-79.927856,32.730728],[-79.933777,32.730228],[-79.965012,32.71714]]]}"
"145","James Edwin McTeer Bridge & The Causways Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.685829,32.394489],[-80.665642,32.39423],[-80.65728,32.408039],[-80.650818,32.41349]]]}"
"146","Mathis Ferry Road Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-79.84771,32.8246],[-79.870773,32.813492],[-79.888451,32.810471],[-79.890221,32.808369]]]}"
"147","Old Sheldon Church Road Scenic Highway","South Carolina State Scenic Byway","SC","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-80.793831,32.626518],[-80.80365,32.648979],[-80.84034,32.677681]]]}"
