"byway_id","name","designats","state","source","geom_geojson"
"630","Lookout Mountain Parkway","Alabama State Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-85.355760047,34.98356828],[-85.353859,34.985291],[-85.355362,34.98608],[-85.352722,34.994518],[-85.343582,34.99342],[-85.337791,35.00724],[-85.337029,35.013378],[-85.338371,35.018372],[-85.342789,35.022621],[-85.328293,35.01371],[-85.324966,35.014568],[-85.315002,35.030602]]]}"
"631","Natchez Trace Parkway","Parkway, All-American Road, National Forest Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-86.975783,36.034577],[-86.974782,36.023542],[-86.980276,36.020479],[-86.982609,36.017338],[-86.981614,36.012665],[-86.976832,36.010675],[-86.977985,36.007522],[-86.975649,36.003148],[-86.976132,35.99881],[-86.979463,35.99278],[-86.989038,35.989253],[-86.99939,35.978279],[-86.997385,35.974444],[-86.992249,35.973897],[-86.989336,35.970016],[-86.98925,35.966406],[-86.985281,35.962244],[-86.993636,35.954532],[-86.992802,35.949493],[-87.001468,35.94401],[-87.00135,35.93837],[-87.005344,35.933569],[-87.004987,35.930374],[-87.014101,35.925422],[-87.014023,35.922509],[-87.008498,35.919857],[-87.007082,35.91513],[-87.004737,35.913136],[-87.00735,35.909734],[-87.006142,35.903179],[-87.014351,35.894619],[-87.022308,35.892841],[-87.02568,35.889387],[-87.03447,35.8848],[-87.032639,35.87796],[-87.033432,35.873959],[-87.043243,35.864441],[-87.052223,35.858688],[-87.055893,35.843491],[-87.067253,35.835121],[-87.084282,35.833149],[-87.08992,35.828819],[-87.094727,35.828529],[-87.099876,35.825748],[-87.10733,35.82666],[-87.114548,35.82999],[-87.121468,35.82748],[-87.128029,35.820721],[-87.13987,35.821651],[-87.15686,35.81469],[-87.183342,35.813278],[-87.186371,35.809792],[-87.18898,35.797138],[-87.20726,35.77121],[-87.208557,35.765209],[-87.204872,35.75296],[-87.205452,35.747231],[-87.213127,35.736252],[-87.224762,35.7323],[-87.234222,35.726639],[-87.25174,35.72578],[-87.25959,35.7234],[-87.263935,35.716441],[-87.262383,35.706291],[-87.266296,35.701778],[-87.281311,35.698559],[-87.290275,35.698939],[-87.297348,35.69733],[-87.30262,35.699089],[-87.306053,35.697922],[-87.320831,35.685902],[-87.317566,35.668469],[-87.319712,35.663328],[-87.325731,35.659495],[-87.334941,35.658338],[-87.347242,35.660044],[-87.360377,35.656383],[-87.362531,35.649056],[-87.370079,35.64286],[-87.378853,35.640148],[-87.384331,35.631001],[-87.388786,35.627869],[-87.39032,35.620899],[-87.404722,35.605476],[-87.408101,35.594155],[-87.4189,35.586182],[-87.429077,35.58416],[-87.432716,35.581959],[-87.433449,35.579472],[-87.43084,35.568539],[-87.434553,35.549761],[-87.431506,35.535105],[-87.442444,35.520567],[-87.464554,35.495932],[-87.466134,35.476951],[-87.472214,35.46479],[-87.468231,35.451752],[-87.46907,35.446541],[-87.483002,35.429821],[-87.496651,35.416672],[-87.514,35.41486],[-87.518517,35.41198],[-87.521698,35.40432],[-87.530937,35.396561],[-87.534981,35.388882],[-87.53701,35.37825],[-87.545052,35.365639],[-87.555588,35.357578],[-87.56855,35.351009],[-87.573982,35.34399],[-87.579693,35.32524],[-87.582415,35.307193],[-87.585744,35.300755],[-87.598123,35.28951],[-87.615506,35.278376],[-87.619095,35.272046],[-87.628096,35.263109],[-87.636459,35.24913],[-87.643791,35.247608],[-87.656937,35.250961],[-87.667976,35.245041],[-87.680794,35.247601],[-87.688332,35.246029],[-87.695473,35.241852],[-87.700699,35.231201],[-87.712837,35.225471],[-87.716133,35.22229],[-87.718781,35.214458],[-87.717468,35.205639],[-87.722679,35.19846],[-87.723633,35.191631],[-87.729492,35.184608],[-87.736488,35.15559],[-87.745407,35.142979],[-87.755997,35.13287],[-87.763779,35.120461],[-87.782547,35.104431],[-87.785233,35.097939],[-87.786888,35.085732],[-87.790268,35.079342],[-87.812439,35.051819],[-87.823128,35.023911],[-87.821099248,35.005186762]]]}"
"632","Trail of the Lonesome Pine / Daniel Boone Heritage Trail","Virginia State Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.572083,36.59457],[-82.572081242,36.594599]]]}"
"633","Wilderness Road Heritage Highway","National Scenic Byway, Kentucky Heritage Highway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-83.675972,36.598099],[-83.676082639,36.59816763]]]}"
"634","Great River Road","National Scenic Byway, National Scenic Byway, National Scenic Byway, National Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-90.054611,35.132721],[-90.057358,35.07864],[-90.060081,35.055290001],[-90.062881,35.047562],[-90.067261,35.041401],[-90.099274001,35.009418],[-90.127506575,34.994684]],[[-90.015541,35.332298],[-90.020462,35.2966],[-90.023666,35.2887],[-90.028152,35.260479],[-90.022903,35.245338],[-90.014343,35.23616],[-90.029601999,35.217780999],[-90.032654,35.209499]],[[-89.864573,35.680479],[-89.852783,35.67387],[-89.849586,35.67395],[-89.835938,35.665119],[-89.831306,35.657291],[-89.834587,35.649021],[-89.833282,35.6455],[-89.830466999,35.642529],[-89.826981,35.641682],[-89.827018999,35.639679],[-89.818329,35.6292],[-89.810944,35.632229],[-89.803383,35.638699],[-89.790466001,35.643688],[-89.781387,35.650532],[-89.767241999,35.657599999],[-89.761871,35.658149999],[-89.709961,35.67519],[-89.700232999,35.69252],[-89.680282999,35.697159],[-89.663818001,35.7005],[-89.648621,35.699218999],[-89.633568001,35.685879],[-89.585548,35.679431],[-89.591666,35.662088],[-89.628906,35.611172],[-89.633469,35.59243],[-89.640938,35.582531],[-89.649078,35.564781],[-89.674759,35.565842],[-89.710632,35.556759],[-89.757439,35.565262],[-89.775757,35.559231001],[-89.79203,35.55175],[-89.797943,35.551472],[-89.815269001,35.55468],[-89.823853,35.551762001],[-89.829712,35.54393],[-89.838272,35.536991],[-89.89579,35.504939999],[-89.90789,35.50737],[-89.913452,35.501541],[-89.917198,35.500179],[-89.923798,35.504051],[-89.928497,35.504189],[-89.931931,35.50692],[-89.938763,35.508765]],[[-89.541657,36.224806],[-89.543961001,36.220089],[-89.546883,36.178959],[-89.555344,36.160488],[-89.566643001,36.124222],[-89.581833,36.096802],[-89.590118,36.089561],[-89.617104,36.077911],[-89.627068,36.068850999],[-89.643501,36.046669],[-89.670806999,36.015732],[-89.672722,35.99588],[-89.65432,35.976181],[-89.607437,35.918079],[-89.597488,35.921008999],[-89.502022,35.91637],[-89.496319,35.914794],[-89.482248,35.90656],[-89.468293,35.90714],[-89.444327,35.901581],[-89.429857,35.88912],[-89.427242,35.883248],[-89.423693,35.881501],[-89.423446,35.879543],[-89.455741999,35.826270999],[-89.461947,35.820939],[-89.477837,35.81321],[-89.486198,35.804569],[-89.545143,35.7626],[-89.549629,35.756451],[-89.549041999,35.754311],[-89.555550001,35.7603],[-89.56041,35.76231],[-89.589813001,35.766739],[-89.603157,35.773811],[-89.638252001,35.7738],[-89.653664,35.77116],[-89.657242,35.774731],[-89.673973,35.772511],[-89.694839,35.775108],[-89.759658999,35.765079],[-89.778008,35.764839],[-89.79631,35.755348],[-89.809418,35.744511],[-89.834312,35.738522],[-89.840111,35.734371],[-89.845130999,35.726768],[-89.858911,35.725402]],[[-89.48703,36.378471],[-89.466179,36.378181001],[-89.464706,36.389488],[-89.356841971,36.502273446]]]}"
"635","Ocoee Scenic Byway","National Forest Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.717890909,35.126818182],[-84.702727273,35.120972727],[-84.689318182,35.111181818],[-84.670609091,35.111063636],[-84.648054545,35.096154546],[-84.632863637,35.104972727],[-84.624909091,35.099609091],[-84.608527273,35.0989],[-84.604572727,35.100563636],[-84.594990909,35.110645455],[-84.589190909,35.113027272],[-84.583872727,35.111345455],[-84.578890909,35.113081818],[-84.559863636,35.110281818],[-84.557254546,35.1081],[-84.557636364,35.102754545],[-84.5553,35.099772727],[-84.546090909,35.095581818],[-84.540827272,35.095645455],[-84.538690909,35.098872727],[-84.534809091,35.097418182],[-84.527690909,35.0898],[-84.528145455,35.081645455],[-84.511636364,35.083518182],[-84.505845455,35.079490909],[-84.508918182,35.075545455],[-84.504763636,35.073872727],[-84.501663637,35.076818182],[-84.497654545,35.076790909],[-84.495381818,35.080418182],[-84.490681818,35.083481818],[-84.489427273,35.082890909],[-84.489372727,35.078718182],[-84.481490909,35.076109091],[-84.478809091,35.070963637],[-84.474463636,35.069027273],[-84.462345454,35.069127273],[-84.457218182,35.057436363],[-84.452254545,35.052590909],[-84.449581818,35.040027273],[-84.445818182,35.036981818],[-84.415145454,35.035045454],[-84.400654545,35.031245454],[-84.3805,35.0295]],[[-84.607408,35.099392],[-84.60696,35.102352],[-84.609024,35.100256],[-84.608864,35.102624],[-84.611616,35.105648],[-84.613728,35.103856],[-84.616688,35.105312],[-84.620448,35.111296],[-84.625392,35.109296],[-84.624592,35.112896],[-84.626032,35.1196],[-84.61904,35.11752],[-84.61544,35.114048],[-84.614528,35.115024],[-84.618512,35.12032],[-84.622608,35.122624],[-84.624336,35.127488],[-84.619728,35.138448],[-84.621792,35.139616],[-84.623152,35.145568],[-84.624576,35.14336],[-84.622112,35.155648],[-84.624496,35.159856],[-84.632528,35.162992],[-84.622848,35.17984],[-84.61312,35.187632]]]}"
"636","Woodlands Trace","National Scenic Byway, Kentucky State Scenic Byway, Tennessee State Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-88.003353424,36.676337799],[-87.997131,36.67152],[-87.993767,36.666069],[-87.97541,36.655331],[-87.977753,36.64291],[-87.964371,36.630192],[-87.96389,36.621601],[-87.956833,36.614811],[-87.955002,36.60886],[-87.940491,36.605579],[-87.938744,36.591381],[-87.934662,36.580872],[-87.934471,36.564571],[-87.932091,36.55962],[-87.933037,36.555901],[-87.930038,36.552261],[-87.930687,36.548141],[-87.925972,36.53196],[-87.918129,36.520031],[-87.915947,36.511581]]]}"
"629","East Tennessee Crossing","National Scenic Byway, Tennessee State Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-82.912361,35.917839],[-82.916328,35.91824],[-82.921753,35.915272],[-82.925972,35.916969],[-82.930969,35.914612],[-82.94001,35.916168],[-82.946518,35.922901],[-82.958397,35.91943],[-82.959953,35.922329],[-82.971809,35.925468],[-82.97673,35.923641],[-82.980743,35.916828],[-82.986641,35.914822],[-82.991638,35.921021],[-83.001663,35.926659],[-83.017014,35.927479],[-83.031029,35.926029],[-83.037872,35.930962],[-83.04808,35.945999],[-83.052399,35.947762],[-83.06208,35.944981],[-83.075127,35.93766],[-83.081413,35.937431],[-83.093697,35.94278],[-83.108879,35.956059],[-83.115417,35.95277],[-83.124939,35.953918],[-83.134232,35.952179],[-83.14418,35.953629],[-83.147423,35.955791],[-83.157341,35.95443],[-83.172371,35.958599],[-83.179497,35.96616],[-83.1968,35.967319],[-83.210999,35.971661],[-83.220459,35.98698],[-83.223686,35.997139],[-83.231216,35.998909],[-83.236702,36.003151],[-83.242897,36.00523],[-83.242798,36.024601],[-83.256012,36.038029],[-83.262062,36.07058],[-83.278748,36.095341],[-83.285873,36.113571],[-83.281036,36.133991],[-83.270477,36.16539],[-83.274269,36.174149],[-83.272186,36.187019],[-83.265541,36.19318],[-83.266579,36.204979],[-83.25618,36.218929],[-83.263519,36.240471],[-83.283913,36.260269],[-83.28463,36.268051],[-83.279716,36.287201],[-83.291161,36.300419],[-83.291656,36.307751],[-83.294998,36.312561],[-83.293739,36.315498],[-83.282982,36.326141],[-83.282768,36.332279],[-83.300529,36.346218],[-83.311119,36.347351],[-83.327637,36.344269],[-83.333008,36.34515],[-83.338623,36.351109],[-83.336479,36.358231],[-83.339996,36.361],[-83.388969,36.350971],[-83.395943,36.350342],[-83.404404,36.35318],[-83.419968,36.3475],[-83.429459,36.347351],[-83.434853,36.352131],[-83.432564,36.363659],[-83.437332,36.368011],[-83.4412,36.37508],[-83.446259,36.37817],[-83.448677,36.392059],[-83.450821,36.395149],[-83.461342,36.402512],[-83.463951,36.40752],[-83.471367,36.406979],[-83.476929,36.40839],[-83.493317,36.404579],[-83.499748,36.411491],[-83.509621,36.415352],[-83.523743,36.423931],[-83.528389,36.424389],[-83.534714,36.42255],[-83.552177,36.425259],[-83.55735,36.42931],[-83.5597,36.434589],[-83.567902,36.439678],[-83.568619,36.443958],[-83.564713,36.454281],[-83.567467,36.456329],[-83.576248,36.47147],[-83.584541,36.479591],[-83.592369,36.494099],[-83.594742,36.501831],[-83.602303,36.506859],[-83.615303,36.520729],[-83.616302,36.528351],[-83.618561,36.531658],[-83.627762,36.535149],[-83.630829,36.539982],[-83.643173,36.551769],[-83.653091,36.566311],[-83.653877,36.57407],[-83.65847,36.588558],[-83.66243,36.592449],[-83.66851,36.593498],[-83.675972,36.598099]]]}"
"627","Cherohala Skyway","National Scenic Byway, National Scenic Byway, National Forest Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-84.032509,35.325191671],[-84.032449772,35.325438847]],[[-84.280243,35.36171],[-84.275101,35.357441],[-84.258759,35.352715],[-84.252544,35.347747],[-84.249149,35.350022],[-84.247915,35.347137],[-84.243331,35.345561],[-84.246195,35.349243],[-84.245619,35.351217],[-84.241201,35.350219],[-84.237079,35.345894],[-84.23199,35.35086],[-84.229681,35.350403],[-84.228812,35.347552],[-84.224547,35.350906],[-84.219802,35.352065],[-84.217496,35.34851],[-84.211627,35.350543],[-84.208221,35.348362],[-84.204122,35.349033],[-84.199895,35.346441],[-84.192149,35.351492],[-84.184311,35.350405],[-84.178244,35.352214],[-84.172912,35.349235],[-84.16997,35.351249],[-84.166486,35.35028],[-84.159536,35.352794],[-84.148161,35.359254],[-84.147096,35.361782],[-84.142847,35.364453],[-84.139156,35.36495],[-84.138776,35.367861],[-84.135828,35.368399],[-84.132309,35.372504],[-84.131928,35.376065],[-84.119716,35.385243],[-84.118941,35.382748],[-84.123004,35.376167],[-84.122688,35.373436],[-84.124764,35.371645],[-84.12415,35.368626],[-84.130455,35.366118],[-84.130866,35.362239],[-84.134913,35.359219],[-84.131381,35.357451],[-84.130471,35.353395],[-84.122253,35.360927],[-84.111919,35.365092],[-84.107265,35.364156],[-84.103738,35.358735],[-84.099175,35.357202],[-84.082251,35.356931],[-84.077168,35.352783],[-84.069207,35.351494],[-84.067681,35.347823],[-84.064409,35.345666],[-84.04924,35.347359],[-84.042709,35.346611],[-84.038264871,35.348230683]]]}"
"628","Cordell Hull Highway","Kentucky State Scenic Byway","TN","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-85.640339486,36.617535173],[-85.640343,36.617531]]]}"
