"byway_id","name","designats","state","source","geom_geojson"
"520","Dinosaur Diamond Scenic Byway","National","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.366673259,40.369523352],[-109.327124989,40.368906368],[-109.29895725,40.342794118],[-109.283868139,40.332705653],[-109.258324562,40.321528564],[-109.230200824,40.31538726],[-109.216556887,40.308504002],[-109.17432656,40.293073621],[-109.148431101,40.288026163],[-109.063661007,40.279531805],[-109.050978722,40.273295983]],[[-110.221515518,38.984246181],[-110.185170793,38.991199775],[-110.175515148,38.990742752],[-110.167742149,38.987074983],[-110.159751828,38.977246893],[-110.15557863,38.974902694],[-110.140825724,38.974005622],[-110.122698658,38.976032526],[-110.109862833,38.974169127],[-110.065064096,38.960748109],[-110.028369007,38.936608423],[-110.006568453,38.927503843],[-109.96610904,38.922052172],[-109.936435613,38.920802464],[-109.844894788,38.934832336],[-109.816571672,38.942213478]],[[-110.859823438,39.639160114],[-110.861631433,39.629807085],[-110.854314384,39.618588502],[-110.85038137,39.616486513],[-110.838322258,39.614323812],[-110.820026945,39.591933694],[-110.809185383,39.586874066]],[[-110.866541662,39.723954996],[-110.865138364,39.721355725],[-110.868643014,39.71663027],[-110.867574382,39.71232306],[-110.86969418,39.707348194],[-110.867650532,39.698113067],[-110.865043054,39.694822218],[-110.857809089,39.691693778],[-110.856411098,39.688862107],[-110.861644192,39.675034324],[-110.859296868,39.641768966],[-110.862070738,39.633498978],[-110.861357361,39.6283496],[-110.853748359,39.617889124],[-110.838516966,39.614207127],[-110.820162226,39.591816408],[-110.809236542,39.586691418]],[[-110.866541662,39.723954996],[-110.866633303,39.727263657],[-110.863778268,39.727689228],[-110.860506798,39.7257085],[-110.850754188,39.731668348],[-110.846175704,39.736624296],[-110.834793507,39.744463749],[-110.822811945,39.756516123],[-110.812593691,39.761762015],[-110.799875035,39.775170417],[-110.793383007,39.777011527],[-110.794771465,39.779751269],[-110.791125946,39.786232961],[-110.792679596,39.789221702],[-110.783510793,39.792381929],[-110.7845193,39.79857285],[-110.778853109,39.808356167],[-110.78202267,39.818313802],[-110.787896872,39.826876144],[-110.788062206,39.829734437],[-110.784591542,39.833811403],[-110.783576509,39.837730688],[-110.778377718,39.842880923],[-110.76678286,39.847716402],[-110.764752209,39.856004225],[-110.76687981,39.866741239],[-110.763130507,39.866948983],[-110.76255476,39.874209859],[-110.760318843,39.87860123],[-110.752514548,39.878118123],[-110.748211842,39.883650898],[-110.747842797,39.886061163],[-110.749984803,39.888493087],[-110.74813967,39.891229022],[-110.748847167,39.897998832],[-110.742176886,39.901496271],[-110.725599485,39.902597989],[-110.709166269,39.906826846],[-110.691457376,39.915906326],[-110.647879003,39.957485281],[-110.635658266,39.964342742],[-110.631743761,39.970487686],[-110.620660026,39.9745442],[-110.616991828,39.98048852],[-110.592913023,39.992432716],[-110.571750713,40.007464921],[-110.562523435,40.01509144],[-110.553710516,40.026074927],[-110.538800338,40.035908298],[-110.536394658,40.045153452],[-110.52710959,40.049145055],[-110.523360704,40.052975922],[-110.52088298,40.059899538],[-110.512892514,40.067755966],[-110.51110991,40.075649908],[-110.500762093,40.07985201],[-110.494835826,40.088227784],[-110.483115709,40.09744425],[-110.464806988,40.108396029],[-110.457858742,40.10997102],[-110.444958419,40.124271137],[-110.429600922,40.132755568],[-110.411947512,40.154241417],[-110.403457526,40.158502716],[-110.40307194,40.163420169]],[[-110.794413087,39.586780392],[-110.788772846,39.586778025],[-110.784434155,39.575398875],[-110.780997137,39.57092957],[-110.742822791,39.543692884],[-110.737186666,39.542415204],[-110.685601299,39.542601586],[-110.669105078,39.548891067],[-110.659143207,39.550827463],[-110.64548787,39.546986897],[-110.624066356,39.546484382],[-110.540224893,39.511444857],[-110.53196955,39.505678528],[-110.508219696,39.478998527],[-110.448486631,39.427553205],[-110.432250801,39.411374016],[-110.373396881,39.341994319],[-110.338899833,39.255519906],[-110.338299111,39.156691968],[-110.336779919,39.140121107],[-110.337724214,39.131219079],[-110.329151596,39.117504816],[-110.305082387,39.032967618],[-110.295703885,39.02206732],[-110.27316566,39.003166873],[-110.230645359,38.980140043],[-110.226501931,38.980271247]],[[-110.226501931,38.980271247],[-110.221515518,38.984246181]],[[-110.809185383,39.586874066],[-110.801329384,39.585283714],[-110.79016476,39.587562922],[-110.788160128,39.586186095],[-110.787624289,39.583302406]],[[-110.794413087,39.586780392],[-110.801923075,39.585151013],[-110.809236542,39.586691418]]]}"
"521","Dinosaur Diamond Scenic Byway","National","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.051266945,39.194251034],[-109.063312657,39.195337641],[-109.081241074,39.190888798],[-109.108897508,39.189705796],[-109.115255094,39.187538306],[-109.140472061,39.162785568],[-109.159236515,39.135124999],[-109.167970541,39.125468551],[-109.279230501,39.041070343]],[[-109.288802681,39.031459185],[-109.255926101,39.058399831],[-109.167595027,39.124960777],[-109.158408093,39.134949727],[-109.138922255,39.162920299],[-109.112258705,39.187151005],[-109.107568726,39.188785011],[-109.08152386,39.189899652],[-109.061038548,39.194158237],[-109.051271135,39.193219458]],[[-109.290914933,39.03000163],[-109.279230501,39.041070343],[-109.167970541,39.125468551],[-109.159236515,39.135124999],[-109.140472061,39.162785568],[-109.115255094,39.187538306],[-109.108897508,39.189705796],[-109.081241074,39.190888798],[-109.063312657,39.195337641],[-109.051266945,39.194251034]],[[-109.356329937,38.947995853],[-109.340007472,38.958870666],[-109.332243325,38.966981406],[-109.310940019,38.971769523],[-109.300258301,38.979267237],[-109.281829291,39.036394307]],[[-109.283479315,39.037569333],[-109.281829291,39.036394307]]]}"
"522","Great Salt Lake Scenic Byway","State","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.947104374,40.827758535],[-111.941414759,40.835255802],[-111.943916028,40.861410416],[-111.938154608,40.871106904],[-111.935174249,40.891128434],[-111.932160292,40.895187895],[-111.909473251,40.914210195],[-111.901331483,40.918437627],[-111.898298514,40.92713295],[-111.893000504,40.93300015],[-111.892562994,40.963902802],[-111.898089703,40.97892111]]]}"
"523","Flaming Gorge-Uintas Scenic Byway","National","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.482892205,40.864219875],[-109.496464345,40.872016581],[-109.51162606,40.868917233],[-109.52897733,40.862147844],[-109.551222552,40.859731533],[-109.563947728,40.854611068],[-109.584034173,40.849605918],[-109.593068788,40.853091806],[-109.627788718,40.851655351],[-109.638506209,40.849040297],[-109.649319101,40.841160116],[-109.662881062,40.842127059],[-109.667055993,40.847118142],[-109.680746153,40.857006115],[-109.685315985,40.858461761],[-109.684841421,40.865957404],[-109.688207635,40.867347855],[-109.692354947,40.872289058],[-109.69320526,40.882213001],[-109.699624587,40.884361929],[-109.710240788,40.891066961],[-109.721665619,40.891831048],[-109.712494549,40.897640117],[-109.704810149,40.898365688],[-109.6974602,40.908175545],[-109.70075654,40.908708178],[-109.700711148,40.909995817],[-109.695660478,40.910999943],[-109.694713517,40.907770653],[-109.689177149,40.9103454],[-109.687933907,40.912569758],[-109.682889733,40.91238974],[-109.678228281,40.914517243],[-109.690084724,40.916580268],[-109.694686462,40.919649245],[-109.705168822,40.921787943],[-109.721114117,40.928221087],[-109.721303735,40.930398629],[-109.718567567,40.933635462],[-109.706615321,40.931105866],[-109.700905986,40.936187051],[-109.703298104,40.938748834],[-109.710900018,40.938475566],[-109.713243999,40.939991677],[-109.71049202,40.944854978],[-109.712823536,40.954608765],[-109.713067923,40.967045204],[-109.722251478,40.976245409],[-109.722712187,40.988281535]],[[-109.722712187,40.988281535],[-109.693306314,40.988947295],[-109.676714101,40.998355025]],[[-109.528549098,40.455720322],[-109.529163738,40.503864602],[-109.523991007,40.51011002],[-109.526223068,40.514253612],[-109.522147695,40.519019312],[-109.521462245,40.524104858],[-109.522217644,40.533998655],[-109.525847046,40.547196522],[-109.494143117,40.570308626],[-109.479894694,40.574811759],[-109.473544394,40.582771606],[-109.468995962,40.585078804],[-109.465906089,40.598364797],[-109.469694776,40.608893593],[-109.477961866,40.609150591],[-109.471175287,40.614725392],[-109.477641435,40.614414455],[-109.472786121,40.618842802],[-109.475864502,40.619416771],[-109.473133349,40.622906553],[-109.476139155,40.628813389],[-109.475031013,40.632150758],[-109.478679474,40.632537601],[-109.479674874,40.637080998],[-109.484205667,40.643902214],[-109.485883467,40.641406406],[-109.487737462,40.641734286],[-109.487953896,40.646658363],[-109.490981612,40.653900119],[-109.489430879,40.657520994]],[[-109.481446304,40.666602894],[-109.484569255,40.675757601],[-109.492217678,40.682940058],[-109.494776837,40.688793695],[-109.491914993,40.699093301],[-109.494336333,40.710353673],[-109.489416192,40.715548378],[-109.485015932,40.716057317],[-109.480180414,40.714306505],[-109.474547924,40.716777912],[-109.472835538,40.721769229],[-109.468979232,40.72414494],[-109.471030998,40.729895042],[-109.472557379,40.748271198],[-109.470067339,40.756084306],[-109.470959201,40.783842046],[-109.470370669,40.789347199],[-109.466137288,40.796650598],[-109.467571149,40.806973991],[-109.466284353,40.819092541],[-109.461708769,40.825395794],[-109.465555443,40.845102539],[-109.462309373,40.854517707],[-109.46893139,40.860404252],[-109.482892205,40.864219875],[-109.476503429,40.865635482],[-109.456351634,40.883677985],[-109.455515708,40.88915443],[-109.458921752,40.89245457],[-109.456047479,40.897424531],[-109.448234664,40.896267525],[-109.445275796,40.894365727],[-109.447165224,40.897479103],[-109.437863723,40.905612816],[-109.439820232,40.907941728],[-109.439195393,40.909317786],[-109.421376976,40.915051927],[-109.417060597,40.911219345],[-109.412199173,40.91157857],[-109.417714568,40.923329501],[-109.413499456,40.928804199],[-109.405170455,40.933285084],[-109.407642577,40.93806729],[-109.413948016,40.941432166],[-109.425776867,40.941552872],[-109.429422285,40.94507602],[-109.435524656,40.945291415],[-109.451609631,40.953243628],[-109.462055398,40.952439445],[-109.470996818,40.954568044],[-109.469306328,40.962681495],[-109.464609474,40.969168624],[-109.463003002,40.974686125],[-109.43849478,40.986110977],[-109.430825378,40.99973466]],[[-109.481446304,40.666602894],[-109.479127573,40.662436665],[-109.489430879,40.657520994]]]}"
"524","Ogden River Scenic Byway","State","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.92852346,41.236867637],[-111.916875846,41.23704394],[-111.901591266,41.240810963],[-111.875380945,41.254205017],[-111.871232508,41.25379961],[-111.869315113,41.255295871],[-111.84303932,41.253487418],[-111.822392324,41.259417542],[-111.813159092,41.257794179],[-111.805535089,41.252456653],[-111.795766199,41.249853796],[-111.781129543,41.249332495],[-111.767041741,41.245614233],[-111.761385936,41.249317924],[-111.761542714,41.262406025],[-111.702458888,41.261143177],[-111.697194896,41.263879296],[-111.689310552,41.264741974],[-111.684266007,41.268108532],[-111.678885732,41.266777515],[-111.676455794,41.268585257],[-111.666197465,41.270655602],[-111.658944226,41.275747081],[-111.65840748,41.279248754],[-111.655856747,41.282213342],[-111.637883785,41.290918504],[-111.622479154,41.29537878],[-111.61897694,41.29875844],[-111.615055708,41.313516041],[-111.616035596,41.326608855],[-111.609010098,41.332597602],[-111.604265272,41.341988761],[-111.595820624,41.349686575],[-111.595845212,41.354873939],[-111.590608815,41.36674684],[-111.589699732,41.3750484],[-111.591002121,41.381402875],[-111.595015998,41.385761674],[-111.599908042,41.39633007],[-111.598538284,41.405708654],[-111.59533378,41.407876281],[-111.588649322,41.407747637],[-111.580914665,41.411272866],[-111.577579508,41.417698515],[-111.568934235,41.417457852],[-111.56365019,41.422739753],[-111.562377453,41.421556988],[-111.564637779,41.418906712],[-111.558492379,41.414919347],[-111.559157815,41.411168979],[-111.553330197,41.406013311],[-111.548503679,41.40598688],[-111.545913999,41.402334022],[-111.540586549,41.404335433],[-111.538952235,41.410842046],[-111.530163636,41.414476889],[-111.528493908,41.41367389],[-111.528312404,41.405153584],[-111.52404623,41.406214366],[-111.52458446,41.415268103],[-111.521367627,41.4225446],[-111.512314011,41.424762389],[-111.506121844,41.434446759],[-111.501895722,41.437894434],[-111.50636185,41.44315056],[-111.501789012,41.449525383],[-111.500984766,41.454074068],[-111.502835212,41.459737102],[-111.497992197,41.463550317]],[[-111.841702617,41.253758421],[-111.842542264,41.255193423],[-111.836102485,41.258695457],[-111.829704844,41.259874912],[-111.825650508,41.263345903],[-111.820608204,41.271756411],[-111.820537851,41.279390927],[-111.822316017,41.28393297]],[[-111.822316017,41.28393297],[-111.828785654,41.293381101],[-111.828316256,41.295833662],[-111.825773457,41.297351705]],[[-111.761542714,41.262406025],[-111.761708692,41.266231226]],[[-111.825773457,41.297351705],[-111.825225849,41.297524345]],[[-111.825225849,41.297524345],[-111.815353756,41.298891617]],[[-111.775840541,41.267974793],[-111.763360454,41.267724574],[-111.761708692,41.266231226]],[[-111.815497933,41.293301975],[-111.810464909,41.293235644]],[[-111.815497933,41.293301975],[-111.815430891,41.296961992]],[[-111.79898822,41.293236788],[-111.779896308,41.293114876]],[[-111.777118672,41.281753987],[-111.777054283,41.284831989]],[[-111.776951674,41.271176657],[-111.777124656,41.276671716]],[[-111.815430891,41.296961992],[-111.815353756,41.298891617]],[[-111.775840541,41.267974793],[-111.776951674,41.271176657]],[[-111.777054283,41.284831989],[-111.777197269,41.291276107],[-111.779896308,41.293114876]],[[-111.810464909,41.293235644],[-111.806158576,41.29326075]],[[-111.806158576,41.29326075],[-111.79898822,41.293236788]],[[-111.777124656,41.276671716],[-111.777118672,41.281753987]]]}"
"525","Energy Loop Huntington & Eccles Canyon","National","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.433184088,39.634394163],[-111.427912459,39.634625445],[-111.42049516,39.64097057],[-111.407671425,39.644847469],[-111.402447248,39.648792382],[-111.388826738,39.649661417],[-111.373128231,39.647388243],[-111.361139429,39.648937166],[-111.355455194,39.652620098],[-111.347214321,39.664286339],[-111.340818422,39.669226705],[-111.337005195,39.674597151],[-111.326375812,39.676787272],[-111.321378145,39.676271405],[-111.3146002,39.678615519],[-111.314021116,39.677170035],[-111.317231335,39.673372485],[-111.326228217,39.668711768],[-111.328864698,39.664121695],[-111.328237482,39.65919213],[-111.33030295,39.654738787],[-111.328669536,39.649747199],[-111.330648403,39.644060571],[-111.329632649,39.636810138],[-111.326111382,39.633927756],[-111.320690382,39.624846896],[-111.316240045,39.623692252],[-111.311328251,39.617808233],[-111.306266105,39.614625706],[-111.294813942,39.620313849],[-111.282105807,39.617876558],[-111.279573583,39.608173987],[-111.27475074,39.603986647],[-111.269817106,39.596010482],[-111.257159094,39.583640839],[-111.244865972,39.581939371],[-111.241893303,39.584058816],[-111.242999469,39.586301548],[-111.241472936,39.587349849],[-111.235238474,39.582899138],[-111.230527693,39.582873708],[-111.2266734,39.589396466],[-111.228093697,39.594472865],[-111.221664478,39.596082855],[-111.215948888,39.600680732],[-111.207866715,39.59777952],[-111.204159556,39.593570205],[-111.19470495,39.590127239],[-111.192688792,39.587464412],[-111.192691088,39.583584331],[-111.186106719,39.57958127],[-111.18299657,39.574832473],[-111.182442588,39.570568873],[-111.175684171,39.562797754],[-111.17317446,39.555456626],[-111.160956381,39.541130373],[-111.160045797,39.537964613],[-111.156522193,39.536713526],[-111.15503469,39.531970038],[-111.153872176,39.518494701],[-111.156534561,39.509934726],[-111.15636068,39.505014289],[-111.159257476,39.501170954],[-111.156991092,39.49569921],[-111.158761382,39.487043936],[-111.15822194,39.476886117],[-111.151101967,39.467365955],[-111.145226046,39.463773694],[-111.144130588,39.457937966],[-111.130133809,39.433242728],[-111.129420365,39.42633557],[-111.12476383,39.423815321],[-111.124645835,39.419534463],[-111.122406212,39.416529879],[-111.11535237,39.4134456],[-111.116693135,39.406411218],[-111.109675849,39.402794651],[-111.109658621,39.396760538],[-111.078185131,39.385742369],[-111.059687904,39.369734878],[-111.050545143,39.367304493],[-111.047604863,39.362473245],[-111.034838155,39.361800156],[-111.02600107,39.355338117],[-111.00244276,39.351213142],[-110.964707914,39.334391901]]]}"
"526","Bear Lake Scenic Byway","State","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.393413186,41.946659022],[-111.393688946,41.936180539],[-111.397020431,41.924085606],[-111.393374013,41.919673131],[-111.389690802,41.909724191],[-111.376820452,41.905419566],[-111.366667811,41.89685634],[-111.365421404,41.860277232],[-111.363394001,41.854377858],[-111.346952102,41.842602657],[-111.322872395,41.831736678]]]}"
"527","Fish Lake Scenic Byway","State","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.833114631,38.4723363],[-111.815076135,38.492027247],[-111.808047463,38.497296564],[-111.800063206,38.500560527],[-111.791367365,38.511071645],[-111.781956179,38.51411781],[-111.768649503,38.513350679],[-111.758854052,38.516189336],[-111.756061103,38.520587198],[-111.749263709,38.524757179],[-111.746578875,38.528569516],[-111.738956817,38.532520929],[-111.737247034,38.538001033],[-111.730136392,38.5443359],[-111.704999352,38.562866031]],[[-111.70431409,38.562886739],[-111.692412793,38.563410499],[-111.688579257,38.567393924],[-111.686902659,38.573347287],[-111.692078049,38.579990269],[-111.685206343,38.587294435],[-111.682145814,38.587217689],[-111.677360439,38.590043754],[-111.677938491,38.602085093],[-111.674709642,38.607781388],[-111.659764769,38.614959091],[-111.653334079,38.614859996],[-111.648352027,38.620921302],[-111.63850002,38.617969944],[-111.636014462,38.613684748],[-111.630632857,38.612172852],[-111.629997082,38.609463623],[-111.623656271,38.605888255],[-111.617097208,38.606792761],[-111.620531633,38.601119482],[-111.61654988,38.593146913],[-111.617857275,38.588399593],[-111.61327781,38.587919015],[-111.609617281,38.585045324],[-111.607535677,38.580806951],[-111.610182877,38.578887074],[-111.597866116,38.568933723],[-111.598049893,38.56437717],[-111.59551907,38.562988717],[-111.591159942,38.55556236],[-111.58744234,38.553684062],[-111.58442094,38.543353192],[-111.574423444,38.533575029],[-111.571325991,38.526046974],[-111.571084159,38.520559758],[-111.562223064,38.514384353],[-111.561147132,38.510230379],[-111.562952385,38.505963446],[-111.558451523,38.50350218],[-111.561805093,38.501764754],[-111.562891524,38.497496304]],[[-111.562891524,38.497496304],[-111.571996733,38.491624378],[-111.578946468,38.48167734],[-111.578109444,38.46951014]]]}"
"528","Capitol Reef Country Scenic Byway","State","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.642788051,38.410922893],[-111.642791858,38.398292347],[-111.641262835,38.397103909],[-111.590044899,38.396821379],[-111.589331068,38.390283926],[-111.583769336,38.385566834],[-111.582636876,38.371427802],[-111.572710328,38.352076965],[-111.56636947,38.347309636],[-111.55513901,38.344240589],[-111.550555454,38.340703248],[-111.540586896,38.340153012],[-111.525891493,38.316962675],[-111.514542271,38.307838453],[-111.476542226,38.302530285],[-111.454197076,38.302581077],[-111.436144766,38.299102313],[-111.402255477,38.298932313],[-111.396470783,38.297219825],[-111.39164247,38.299775734],[-111.392955748,38.304931837],[-111.388576675,38.309485958],[-111.3832167,38.319245964],[-111.367103512,38.326398342],[-111.357951167,38.326211237],[-111.344319287,38.323003092],[-111.321660339,38.321591193],[-111.30763683,38.316895512],[-111.296949656,38.308884002],[-111.281210281,38.307216743],[-111.267258702,38.294476962],[-111.247458293,38.287565504],[-111.223513472,38.288462536],[-111.215455713,38.281999463],[-111.207653901,38.283814218],[-111.199193077,38.283535082],[-111.195984167,38.285210762],[-111.193164609,38.279048847],[-111.189846852,38.277366228],[-111.180073815,38.280116916],[-111.177544426,38.282763313],[-111.173246088,38.281226717],[-111.168779499,38.28343497],[-111.165200106,38.283194024],[-111.161399527,38.289422412],[-111.149047257,38.284271915],[-111.141187491,38.287256649],[-111.139085726,38.283017897],[-111.136705134,38.281773369],[-111.124086398,38.285404635],[-111.119163001,38.284982006],[-111.115495708,38.281888092],[-111.11619584,38.279260268],[-111.114134253,38.277703133],[-111.108975998,38.277946868],[-111.104772645,38.274397078],[-111.095684506,38.275858554],[-111.084814833,38.273476804],[-111.080488338,38.268919536],[-111.077384676,38.267896002],[-111.056878254,38.274640057],[-111.048840088,38.283354232],[-111.047417261,38.291472339],[-111.042648688,38.295271113],[-111.04055958,38.305948888],[-111.036463234,38.313972192],[-111.031883369,38.330181436],[-111.028929251,38.333157193],[-111.014502419,38.334004324],[-111.006471736,38.33880684],[-110.998084187,38.340295848],[-110.982765252,38.346220232],[-110.962686882,38.348602036],[-110.909028013,38.366136851],[-110.900245217,38.365192695],[-110.89125412,38.366980588],[-110.880049469,38.36501218],[-110.875726876,38.359813867],[-110.873151538,38.359148702],[-110.847987892,38.369460432],[-110.825934218,38.368986356],[-110.817103689,38.367606646],[-110.81268277,38.364941031],[-110.788549908,38.366752924],[-110.770266689,38.371796966],[-110.755169905,38.372272905],[-110.749021425,38.370883722],[-110.740806931,38.376868046],[-110.734541536,38.37830681],[-110.727496823,38.374514943],[-110.712103338,38.374423628]]]}"
"529","Zion Park Scenic Byway","State","UT","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-113.449345793,37.166530909],[-113.440925531,37.160980449],[-113.437262484,37.160210923],[-113.426752724,37.162115209],[-113.415307432,37.16776393],[-113.403331464,37.168380567],[-113.391114474,37.161351078],[-113.382976845,37.165307984],[-113.334199921,37.176243766],[-113.285552607,37.176665828],[-113.272456337,37.201349873],[-113.272213349,37.210868979],[-113.264585339,37.212008817],[-113.263967027,37.216760427],[-113.258692258,37.221141978],[-113.258375257,37.225376999],[-113.255902544,37.227030572],[-113.252691102,37.226046312],[-113.250117388,37.218714262],[-113.241497623,37.21057526],[-113.231068819,37.207595422],[-113.196327455,37.203779369],[-113.178200184,37.203855125],[-113.164824127,37.197764731],[-113.147054876,37.194588824],[-113.134438566,37.183281331],[-113.116986226,37.178329038],[-113.113348642,37.173547533],[-113.103275545,37.16843874],[-113.099666357,37.168345053],[-113.090673469,37.171818481],[-113.079546971,37.170225356],[-113.069414775,37.170725007],[-113.058742006,37.16305949],[-113.052102835,37.160999676],[-113.029685506,37.160205502],[-113.024440807,37.163037074],[-113.020966879,37.160852239],[-113.018296109,37.161066759],[-113.013642081,37.166501736],[-113.013066332,37.172653647],[-113.000581848,37.188489421],[-112.996056391,37.189530135],[-112.994024959,37.191628975],[-112.992590294,37.196380979],[-112.989095198,37.200596463]],[[-112.863461129,37.235554748],[-112.812100048,37.242684936],[-112.794481304,37.253854559],[-112.790400679,37.261677136],[-112.774663144,37.262958742],[-112.767182216,37.258997753],[-112.748899111,37.239476042],[-112.724885594,37.226381],[-112.711007152,37.220930315],[-112.697877819,37.219549238],[-112.693850336,37.220628095],[-112.687116182,37.227652553],[-112.681119651,37.223228623]],[[-112.874799633,37.233702508],[-112.875913492,37.232982501]],[[-112.875913492,37.232982501],[-112.876305329,37.232692657]],[[-112.863098255,37.235618141],[-112.874799633,37.233702508]],[[-112.98839625,37.201993535],[-112.981633042,37.207242408]],[[-112.974447036,37.217519442],[-112.973865626,37.217475241]],[[-112.981633042,37.207242408],[-112.980704866,37.207438821]],[[-112.876305329,37.232692657],[-112.879497246,37.227643544],[-112.892435802,37.224419066],[-112.897741124,37.224790193],[-112.899110642,37.222234749]],[[-112.973865626,37.217475241],[-112.965535275,37.216440194],[-112.97174903,37.216480361],[-112.970084052,37.215516052],[-112.957786609,37.214493403],[-112.963521169,37.214411963],[-112.956026967,37.211958377],[-112.963976393,37.212563485],[-112.956879232,37.210288665],[-112.945017498,37.210792425],[-112.937042582,37.215497015],[-112.931937234,37.213531835],[-112.928376666,37.217092129],[-112.925917227,37.216280728],[-112.921890443,37.218312552],[-112.918870821,37.215868606],[-112.916846878,37.221465401],[-112.910157174,37.225467016],[-112.906584751,37.222890627],[-112.901735897,37.224804956],[-112.899110642,37.222234749]],[[-112.98839625,37.201993535],[-112.989095965,37.200595637]],[[-112.980704866,37.207438821],[-112.975945677,37.21732239],[-112.974447036,37.217519442]]]}"
