"byway_id","name","designats","state","source","geom_geojson"
"349","Bighorn Scenic Byway","Wyoming State Scenic Byway, National Forest Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-107.779991,44.53714],[-107.778839,44.539909],[-107.772667,44.544491],[-107.742813,44.55201],[-107.73317,44.558472],[-107.712517,44.565571],[-107.703369,44.573639],[-107.695396,44.575081],[-107.689957,44.579399],[-107.681541,44.580791],[-107.678703,44.582878],[-107.677406,44.581619],[-107.681641,44.578781],[-107.67765,44.58041],[-107.674698,44.579441],[-107.67067,44.582272],[-107.665901,44.582111],[-107.665627,44.584332],[-107.657059,44.588989],[-107.649902,44.58931],[-107.647957,44.58609],[-107.635834,44.584301],[-107.620018,44.587582],[-107.617416,44.586109],[-107.593033,44.5849],[-107.57663,44.576099],[-107.556313,44.571732],[-107.550217,44.572781],[-107.547882,44.575321],[-107.54631,44.572128],[-107.53566,44.568562],[-107.539658,44.572601],[-107.538719,44.576889],[-107.541397,44.579979],[-107.53875,44.582748],[-107.532692,44.585121],[-107.53566,44.590092],[-107.53315,44.60041],[-107.521851,44.612171],[-107.522049,44.618092],[-107.514969,44.617062],[-107.502502,44.61903],[-107.500908,44.62627],[-107.503998,44.642479],[-107.496788,44.652679],[-107.496231,44.662399],[-107.488632,44.67931],[-107.489609,44.683208],[-107.496552,44.693581],[-107.497414,44.710129],[-107.501312,44.715881],[-107.500954,44.721119],[-107.506447,44.728321],[-107.506378,44.735371],[-107.500343,44.744171],[-107.507431,44.756859],[-107.517319,44.767441],[-107.517021,44.772381],[-107.491058,44.78915],[-107.48246,44.791431],[-107.477287,44.786789],[-107.476852,44.77607],[-107.46846,44.76968],[-107.463638,44.76791],[-107.456322,44.760971],[-107.440399,44.761429],[-107.437813,44.763988],[-107.439888,44.767948],[-107.439667,44.77494],[-107.436867,44.779121],[-107.434914,44.787708],[-107.432487,44.7901],[-107.426071,44.791451],[-107.42173,44.788891],[-107.416313,44.789951],[-107.41497,44.78764],[-107.410393,44.78809],[-107.408737,44.78569],[-107.397247,44.790611],[-107.377693,44.791641],[-107.372742,44.788189],[-107.37146,44.789169],[-107.37178,44.791962],[-107.3675,44.792198],[-107.366722,44.79451],[-107.363617,44.796291],[-107.362701,44.79958],[-107.36673,44.798512],[-107.366959,44.80352],[-107.355377,44.803028],[-107.343529,44.80928],[-107.33287,44.805149],[-107.326599,44.80624],[-107.319939,44.804729],[-107.320778,44.807331],[-107.326027,44.810631],[-107.328392,44.814911],[-107.333344,44.814499],[-107.3302,44.821178],[-107.336014,44.822159],[-107.329498,44.82592],[-107.328369,44.828362],[-107.328087,44.826309],[-107.330788,44.823811],[-107.323738,44.8246],[-107.324028,44.821701],[-107.322227,44.821419]]]}"
"350","Big Spring Scenic Backway","Wyoming State Scenic Backway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-110.534142,41.80825],[-110.535202,41.81506],[-110.533401,41.82169],[-110.535278,41.827011],[-110.560661,41.840889],[-110.563202,41.85461],[-110.563026,41.863682],[-110.568977,41.8694],[-110.579628,41.874031],[-110.58886,41.874668],[-110.6035,41.880161],[-110.621803,41.895481],[-110.624733,41.900349],[-110.626892,41.91074],[-110.62513,41.919521],[-110.64373,41.933651],[-110.655884,41.950951],[-110.655899,41.958019],[-110.647682,41.967312],[-110.653259,41.973911],[-110.652939,41.992168],[-110.656013,42.001499],[-110.653381,42.014469],[-110.647079,42.020802],[-110.648659,42.03532],[-110.64772,42.048302],[-110.649521,42.060669],[-110.653282,42.066021],[-110.666588,42.0779],[-110.662819,42.083851],[-110.664726,42.08588],[-110.66436,42.092339],[-110.667068,42.094799],[-110.667152,42.10125],[-110.673721,42.102032],[-110.689621,42.110821],[-110.693848,42.111431],[-110.695618,42.113941],[-110.6987,42.11237],[-110.704948,42.112469],[-110.713692,42.116058],[-110.719994,42.120338],[-110.72364,42.127979],[-110.734627,42.135731],[-110.740158,42.143379],[-110.739594,42.147419],[-110.733719,42.153839],[-110.727577,42.168289],[-110.728706,42.178989],[-110.73497,42.191929],[-110.735779,42.2001],[-110.730766,42.21983],[-110.737999,42.23521],[-110.733727,42.240471],[-110.73027,42.25172],[-110.73436,42.256741],[-110.742706,42.257771],[-110.744522,42.257092],[-110.739151,42.254902],[-110.743988,42.25547],[-110.747177,42.253849],[-110.74807,42.255711],[-110.752213,42.25629],[-110.752617,42.259708],[-110.756729,42.26104],[-110.755478,42.257198],[-110.756851,42.255611],[-110.771599,42.247608],[-110.778664,42.24741],[-110.78643,42.250408],[-110.796761,42.24968],[-110.799019,42.250969],[-110.798843,42.253868],[-110.796379,42.255909],[-110.796661,42.260448],[-110.799301,42.26268],[-110.806519,42.264019],[-110.808983,42.26836],[-110.811043,42.27903],[-110.813988,42.279739],[-110.816162,42.27816],[-110.817368,42.29686],[-110.82148,42.299259],[-110.82579,42.29213],[-110.833443,42.27153],[-110.837227,42.26973],[-110.84182,42.261349],[-110.846474,42.256901],[-110.854828,42.25507],[-110.85862,42.23848],[-110.870621,42.233379],[-110.874832,42.225101],[-110.874207,42.208988],[-110.877373,42.197048],[-110.877724,42.183899],[-110.880798,42.178768],[-110.880363,42.15374],[-110.88765,42.129261],[-110.894318,42.121792],[-110.904449,42.102348],[-110.917526,42.092941],[-110.932983,42.09103],[-110.93988,42.092602],[-110.944382,42.089458],[-110.944672,42.085899],[-110.947037,42.085419]]]}"
"351","Beartooth Highway","All-American Road, All-American Road, National Forest Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.858888,45.002889],[-109.855003,45.00074],[-109.855042,44.992809],[-109.853539,44.989429],[-109.849831,44.9874],[-109.848541,44.983822],[-109.831413,44.972569],[-109.819862,44.961985],[-109.813187,44.95826],[-109.801084,44.95636],[-109.792268,44.950018],[-109.775337,44.9436],[-109.764147,44.936976],[-109.735139,44.930474],[-109.720497,44.930199],[-109.715889,44.928619],[-109.703438,44.929089],[-109.693916,44.924999],[-109.687759,44.9263],[-109.681389,44.925201],[-109.678436,44.927238],[-109.671478,44.928101],[-109.668159,44.933849],[-109.660843,44.932159],[-109.65477,44.933338],[-109.648041,44.929321],[-109.640808,44.928398],[-109.629822,44.921169],[-109.628601,44.922489],[-109.632591,44.925591],[-109.631599,44.928871],[-109.637497,44.931911],[-109.626312,44.936569],[-109.613724,44.939251],[-109.607269,44.937599],[-109.593323,44.94249],[-109.583717,44.94212],[-109.567917,44.94471],[-109.551849,44.939701],[-109.529251,44.935379],[-109.516693,44.938931],[-109.512589,44.937061],[-109.510712,44.939449],[-109.488708,44.948662],[-109.486221,44.951981],[-109.482521,44.9491],[-109.479156,44.948681],[-109.482175,44.950654],[-109.483063,44.95536],[-109.486748,44.95853],[-109.4832,44.96228],[-109.483543,44.96413],[-109.481041,44.96109],[-109.479141,44.963909],[-109.481361,44.968632],[-109.475838,44.963329],[-109.478989,44.97073],[-109.474327,44.96785],[-109.467491,44.97084],[-109.463203,44.970821],[-109.459557,44.973869],[-109.462448,44.973801],[-109.457611,44.974331],[-109.460312,44.975639],[-109.436607,44.969101],[-109.434448,44.975029],[-109.426079,44.975651],[-109.430351,44.977551],[-109.426712,44.979542],[-109.42646,44.990761],[-109.421318,44.995541],[-109.420738,44.998718],[-109.417862,45.001621],[-109.410868124,45.004569142]],[[-109.858888,45.002889],[-109.859280844,45.003276971]]]}"
"352","Chief Joseph Scenic Highway","Wyoming State Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.217621,44.727089],[-109.221779,44.733551],[-109.22541,44.734509],[-109.234352,44.723629],[-109.23967,44.71999],[-109.26091,44.720619],[-109.275208,44.718288],[-109.280769,44.714699],[-109.289124,44.714069],[-109.29435,44.71154],[-109.297523,44.713181],[-109.300484,44.72036],[-109.30394,44.723351],[-109.306717,44.723438],[-109.311478,44.719231],[-109.31057,44.729549],[-109.314018,44.724628],[-109.320518,44.721939],[-109.327316,44.712952],[-109.329468,44.718769],[-109.333321,44.718681],[-109.336449,44.715672],[-109.343559,44.719711],[-109.358521,44.717659],[-109.361237,44.71973],[-109.359749,44.722649],[-109.360786,44.72411],[-109.37648,44.72913],[-109.38295,44.743259],[-109.382858,44.75605],[-109.387863,44.742989],[-109.388161,44.74976],[-109.39283,44.751659],[-109.390373,44.753101],[-109.393921,44.751801],[-109.390823,44.748772],[-109.391777,44.746849],[-109.392738,44.749008],[-109.398552,44.75053],[-109.39756,44.752762],[-109.400871,44.755619],[-109.400131,44.752201],[-109.401993,44.750111],[-109.402962,44.75692],[-109.396851,44.765331],[-109.405273,44.758759],[-109.417427,44.752682],[-109.419868,44.7528],[-109.414703,44.765999],[-109.419434,44.767792],[-109.425568,44.764778],[-109.425751,44.771881],[-109.42981,44.7696],[-109.431801,44.770088],[-109.425972,44.780048],[-109.427101,44.783932],[-109.433746,44.789421],[-109.442451,44.79335],[-109.446022,44.799358],[-109.446243,44.8041],[-109.449242,44.808121],[-109.460808,44.815681],[-109.472763,44.828812],[-109.481293,44.834202],[-109.49527,44.83662],[-109.497658,44.843208],[-109.503067,44.84943],[-109.513969,44.857891],[-109.520828,44.860859],[-109.52552,44.860592],[-109.531639,44.857201],[-109.543991,44.85408],[-109.57135,44.840851],[-109.591423,44.84837],[-109.600304,44.845901],[-109.629044,44.846699],[-109.636742,44.850208],[-109.637108,44.861599],[-109.643898,44.866211],[-109.650429,44.874741],[-109.654739,44.885471],[-109.665932,44.897141],[-109.678658,44.904339],[-109.693764,44.91],[-109.700241,44.916859],[-109.716591,44.92635],[-109.726067,44.92997],[-109.730721,44.930111]]]}"
"353","Cloud Peak Skyway","Wyoming State Scenic Byway, National Forest Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-106.86132,44.325432],[-106.878433,44.321819],[-106.904663,44.3241],[-106.92057,44.318169],[-106.935768,44.318409],[-106.938171,44.316681],[-106.93837,44.312321],[-106.945671,44.304852],[-106.942139,44.300629],[-106.949478,44.290371],[-106.950523,44.27813],[-106.947227,44.274921],[-106.94619,44.266682],[-106.951042,44.256592],[-106.945831,44.253399],[-106.945099,44.249619],[-106.940071,44.247841],[-106.938477,44.242649],[-106.930931,44.240601],[-106.925163,44.233349],[-106.926659,44.228729],[-106.923401,44.226009],[-106.920532,44.220451],[-106.927193,44.199799],[-106.927696,44.190689],[-106.921242,44.186039],[-106.913231,44.18536],[-106.911438,44.183788],[-106.917351,44.179779],[-106.913818,44.175892],[-106.912659,44.170311],[-106.917877,44.164371],[-106.916962,44.15934],[-106.91832,44.157558],[-106.944061,44.146488],[-106.966011,44.14159],[-106.976547,44.142689],[-107.003998,44.15147],[-107.030151,44.151779],[-107.048462,44.15839],[-107.060982,44.150532],[-107.068336,44.151482],[-107.079964,44.150051],[-107.08477,44.152561],[-107.084167,44.15696],[-107.086487,44.15892],[-107.114883,44.161491],[-107.12851,44.16077],[-107.137268,44.164101],[-107.156792,44.158691],[-107.167152,44.15086],[-107.172943,44.149799],[-107.211472,44.169361],[-107.212769,44.174931],[-107.217033,44.18195],[-107.221199,44.18084],[-107.2285,44.174648],[-107.230972,44.175209],[-107.234062,44.178848],[-107.238289,44.17939],[-107.247192,44.172958],[-107.248718,44.165741],[-107.252327,44.15963],[-107.250252,44.148079],[-107.245819,44.1423],[-107.245811,44.139011],[-107.252602,44.131802],[-107.259117,44.119652],[-107.272263,44.109669],[-107.27697,44.10799],[-107.265182,44.110271],[-107.289284,44.097481],[-107.294807,44.091461],[-107.309402,44.088692],[-107.311653,44.082748],[-107.329903,44.077]]]}"
"354","Flaming Gorge - Green River Basin Scenic Byway","Wyoming State Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-109.464203,41.52066],[-109.470551,41.516041],[-109.474861,41.509159],[-109.481827,41.504589],[-109.494629,41.48727],[-109.496353,41.482059],[-109.49633,41.46246],[-109.501427,41.454941],[-109.537857,41.4324],[-109.539948,41.429459],[-109.541168,41.422611],[-109.553513,41.412819],[-109.577179,41.399639],[-109.590179,41.389771],[-109.606583,41.381859],[-109.621788,41.370579],[-109.63308,41.364349],[-109.635803,41.361141],[-109.635979,41.35675],[-109.63224,41.348679],[-109.633347,41.3396],[-109.636383,41.333839],[-109.648872,41.321239],[-109.650078,41.315811],[-109.63903,41.294182],[-109.619186,41.269871],[-109.624443,41.248199],[-109.637817,41.233929],[-109.639427,41.227291],[-109.633072,41.212189],[-109.629211,41.188129],[-109.612328,41.172058],[-109.6017,41.15316],[-109.596603,41.133339],[-109.595787,41.124401],[-109.602493,41.097],[-109.617363,41.065399],[-109.620773,41.054611],[-109.63739,41.030842],[-109.649979,41.024189],[-109.651176,41.01918],[-109.656273,41.01395],[-109.656258,41.007542],[-109.665443,41.005951],[-109.676422,40.998501]],[[-109.308998,41.55534],[-109.295151,41.53101],[-109.30584,41.50378],[-109.305328,41.500111],[-109.299843,41.492882],[-109.298401,41.487652],[-109.302696,41.465248],[-109.301353,41.45652],[-109.305939,41.443272],[-109.31617,41.429508],[-109.314484,41.425709],[-109.30674,41.42012],[-109.30761,41.40633],[-109.306213,41.39859],[-109.299919,41.393108],[-109.287941,41.376251],[-109.276352,41.368118],[-109.262749,41.33004],[-109.242119,41.306641],[-109.234383,41.2906],[-109.226288,41.279949],[-109.224716,41.275002],[-109.215149,41.268768],[-109.209068,41.259041],[-109.207619,41.253071],[-109.202217,41.247379],[-109.196213,41.230469],[-109.189781,41.22242],[-109.18119,41.20396],[-109.179932,41.193192],[-109.182404,41.18922],[-109.181084,41.184849],[-109.1819,41.181229],[-109.177422,41.17767],[-109.176071,41.1688],[-109.172409,41.165359],[-109.169678,41.157509],[-109.173141,41.153091],[-109.192139,41.149151],[-109.203758,41.142609],[-109.213539,41.130581],[-109.212532,41.122601],[-109.203072,41.116749],[-109.203171,41.11174],[-109.212097,41.109192],[-109.21701,41.103199],[-109.236771,41.098091],[-109.237831,41.096241],[-109.23687,41.091541],[-109.24865,41.090111],[-109.254379,41.078629],[-109.262688,41.072701],[-109.270523,41.068352],[-109.27578,41.068939],[-109.28138,41.066559],[-109.290237,41.06987],[-109.301132,41.06736],[-109.31192,41.067249],[-109.328232,41.060909],[-109.342331,41.060162],[-109.352463,41.05489],[-109.363449,41.052101],[-109.369331,41.046551],[-109.387802,41.035149],[-109.410133,41.034359],[-109.417732,41.026932],[-109.424469,41.015171],[-109.425499,41.007259],[-109.428467,41.001888]]]}"
"355","Mirror Lake Scenic Byway - UT Section","Utah State Scenic Byway, National Forest Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-110.864815225,40.997202062],[-110.864883,40.997318]]]}"
"356","Mirror Lake Scenic Byway - WY Section","Wyoming State Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-110.952426,41.26224],[-110.95692,41.26269],[-110.964011574,41.267500042]],[[-110.952425745,41.262234205],[-110.945,41.25753],[-110.928902,41.232491],[-110.900436,41.205009],[-110.888268,41.179951],[-110.87899,41.16864],[-110.851196,41.157791],[-110.844437,41.149212],[-110.84407,41.142948],[-110.840599,41.135181],[-110.844017,41.12344],[-110.843399,41.081009],[-110.849579,41.068378],[-110.864273,41.046822],[-110.86792,41.045609],[-110.88707,41.046299],[-110.891586,41.04248],[-110.886612,41.02422],[-110.87822,41.015591],[-110.865112,40.99773]]]}"
"357","Oregon Trail-Bear Lake Scenic Byway","Idaho State Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.044072719,42.996341824],[-111.04406,42.996342]]]}"
"358","Pioneer Historic Byway","National Scenic Byway, Idaho State Scenic Byway","WY","https://geo.dot.gov/server/rest/services/US_Scenic_Byways/MapServer","{""type"":""MultiLineString"",""coordinates"":[[[-111.044072719,42.996341824],[-111.04406,42.996342]]]}"
