site_id,site_name,state,footprint,winter,winter_rating,spring,spring_rating,summer,summer_rating,fall,fall_rating
412,Hart-Miller Island IBA,MD,0.232,42,Exceptional,54,Exceptional,50,Exceptional,57,Exceptional
1668,Hennepin and Hopper Lake,IL,0.235,26,Good,44,Exceptional,39,Exceptional,40,Exceptional
1109,Bear Island Wildlife Management Area,SC,0.034,32,Very Good,47,Exceptional,38,Exceptional,30,Good
2554,Otter Slough Conservation Area-03,MO,0.275,31,Very Good,42,Exceptional,35,Exceptional,36,Exceptional
1120,Santee Coastal Reserve,SC,0.037,36,Exceptional,40,Exceptional,31,Very Good,35,Very Good
2343,Fish Springs National Wildlife Refuge UT16,UT,0.029,30,Good,39,Exceptional,37,Exceptional,36,Exceptional
920,Donnelly Wildlife Management Area,SC,0.078,35,Exceptional,39,Exceptional,33,Very Good,30,Good
84,Orlando Wetlands Park,FL,0.330,39,Exceptional,34,Very Good,28,Good,34,Very Good
3565,Eufaula National Wildlife Refuge,AL,0.213,32,Very Good,34,Very Good,32,Very Good,31,Very Good
2874,Tennessee National Wildlife Refuge,TN,0.200,30,Good,36,Exceptional,31,Very Good,29,Good
1121,Santee National Wildlife Refuge,SC,0.283,32,Very Good,34,Very Good,28,Good,33,Very Good
1112,Cape Romain National Wildlife Refuge,SC,0.035,34,Very Good,34,Very Good,29,Good,29,Good
1775,St. Catherine Creek National Wildlife Refuge,MS,0.237,29,Good,28,Good,35,Exceptional,31,Very Good
1989,Wapanocca National Wildlife Refuge,AR,0.295,32,Very Good,33,Very Good,22,Low,32,Very Good
2298,Sonoita Creek SNA/Patagonia Lake IBA,AZ,0.225,29,Good,33,Very Good,29,Good,25,Low
1509,Green Island Wildlife Area,IA,0.194,14,Low,37,Exceptional,39,Exceptional,26,Good
3477,Whitewater Draw State Wildlife Area IBA,AZ,0.081,25,Good,26,Good,21,Low,33,Very Good
315,Pee Dee National Wildlife Refuge,NC,0.240,25,Fair,31,Very Good,26,Good,23,Low
2926,Dawson Forest,GA,0.282,16,Low,30,Good,26,Good,31,Very Good
2294,Willcox Playa/Cochise Lakes IBA,AZ,0.189,19,Low,29,Good,26,Good,28,Good
1984,Holla Bend National Wildlife Refuge,AR,0.216,30,Very Good,26,Good,23,Low,22,Low
2930,Bowdoin National Wildlife Refuge,MT,0.082,,N/A,38,Exceptional,37,Exceptional,23,Low
2289,Atascosa Highlands IBA,AZ,0.074,22,Fair,26,Good,26,Good,24,Low
2695,South Park Wildlife Habitat Management Area,WY,0.322,,N/A,40,Exceptional,36,Exceptional,20,Low
901,San Pedro Riparian National Conservation Area IBA,AZ,0.125,21,Fair,26,Good,24,Low,23,Low
566,"Bitter Lake 
National Wildlife Refuge",NM,0.084,19,Low,28,Good,24,Low,23,Low
299,Calispell Lake,WA,0.205,,N/A,41,Exceptional,52,Exceptional,0,N/A
686,"Rattlesnake Springs/ 
Washington Ranch",NM,0.156,19,Low,26,Good,24,Low,24,Low
4298,Slate Creek Wildlife Area,KS,0.181,0,N/A,35,Exceptional,31,Very Good,26,Good
2630,Quivira National Wildlife Refuge,KS,0.131,13,Low,26,Good,29,Good,23,Low
2953,Pablo National Wildlife Refuge,MT,0.311,9,Low,20,Low,29,Good,29,Good
3262,Oconee National Forest,GA,0.163,20,Low,24,Low,24,Low,19,Low
2622,Cheyenne Bottoms Preserve and Wildlife Area,KS,0.192,13,Low,26,Good,25,Good,21,Low
3291,Jackson Lake State Park,CO,0.224,13,Low,21,Low,24,Low,27,Good
567,"Bosque del Apache 
National Wildlife Refuge",NM,0.045,19,Low,27,Good,20,Low,18,Low
2632,Salt Plains National Wildlife Refuge,OK,0.184,19,Low,24,Low,21,Low,20,Low
599,Maxwell National Wildlife Refuge,NM,0.095,15,Low,22,Low,21,Low,23,Low
80,Lake Woodruff National Wildlife Refuge,FL,0.200,34,Very Good,31,Very Good,24,Low,31,Very Good
2542,Squaw Creek National Wildlife Refuge-23,MO,0.205,19,Low,42,Exceptional,30,Good,25,Good
19,St. Marks National Wildlife Refuge,FL,0.122,30,Good,29,Good,25,Good,30,Good
357,Walla Walla River Delta,WA,0.234,18,Low,34,Very Good,33,Very Good,28,Good
2066,Willow Slough Fish and Wildlife Area,IN,0.264,14,Low,33,Very Good,33,Very Good,32,Very Good
10000,Fort Fisher State Recreation Area,NC,0.171,34,Very Good,22,Low,19,Low,34,Very Good
