name,state,lon,lat,website
Great Plains Reservoir System,CO,-102.7,38.03333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=495
Craters of the Moon National Monument and Preserve,ID,-113.53333,43.4,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=549
Lewis & Clark and Julie Butler Hansen National Wildlife Refuges,OR,-123.6316,46.2239,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2498
Umatilla National Wildlife Refuge,OR,-119.6035,45.9044,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2566
American Falls Reservoir,ID,-112.82556,42.84333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3
Hebgen Lake,MT,-111.1848,44.7581,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2786
Siltcoos Lake,OR,-124.0918,43.8735,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2519
Cape Disappointment,WA,-124.08333,46.28333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=220
Balcones Canyonlands National Wildlife Refuge,TX,-98.07,30.6,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3339
Lower San Pedro River IBA,AZ,-110.5515795,32.58726705,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3040
Agua Fria NM Riparian Corridors IBA,AZ,-112.0721462,34.21657677,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=899
Bear River Bay UT02,UT,-112.25,41.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1965
Gilbert Bay/South Arm UT05,UT,-112.5,41,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2334
Wallowa Mountains,OR,-117.3177,45.1999,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2569
Protection Island,WA,-122.91667,48.13333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=288
Mima Prairie,WA,-123.05,46.86667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=283
Fort Simcoe,WA,-120.83333,46.35,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=349
Cibola NWR IBA,AZ,-114.6907216,33.30420832,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3466
Fort Hood,TX,-97.78167,31.12778,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3337
Malheur National Wildlife Refuge,OR,-118.8441,43.2657,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2501
Columbia Hills,WA,-120.43333,45.71667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=300
Hart Mountain National Antelope Refuge,OR,-119.6232,42.5348,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2489
Wenas Basin/ Clemans Mountain,WA,-120.8,46.85,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=298
Indian-Marrowstone Island/ Oak Bay,WA,-122.71667,48.05,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=281
Chiricahua Mountians IBA,AZ,-109.3069946,31.83694563,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2286
Ridgefield National Wildlife Refuge,WA,-122.76667,45.81667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=291
Bottle Beach,WA,-124.03333,46.9,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=218
Calispell Lake,WA,-117.2,48.26667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=299
North Willapa Bay (Willapa River Estuary),WA,-123.81667,46.51667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=273
Totten Inlet,WA,-123,47.15,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=292
South Willapa Bay (Shoalwater Bay),WA,-124.03333,46.68333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=272
