name,state,lon,lat,website
Joyce Kilmer - Slick Rock Wilderness,NC,-83.93333,35.35,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=304
Nantahala Mountains,NC,-83.55,35.16667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=305
New River Corridor,NC,-81.33333,36.5,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=306
Roan Mountain,NC,-82.13333,36.1,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=308
Stone Mountain - Doughton Park,NC,-81.08333,36.4,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=309
Caswell Game Lands,NC,-79.23333,36.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=310
Falls Lake,NC,-78.71667,36.01667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=313
Jordan Lake,NC,-79.01667,35.71667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=314
Pee Dee National Wildlife Refuge,NC,-80.06667,35.06667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=315
Alligator River Lowlands,NC,-75.86667,35.83333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=317
Bald Head - Smith Island,NC,-77.96667,33.86667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=318
Cape Hatteras National Seashore,NC,-75.53333,35.25,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=323
Cape Lookout National Seashore,NC,-76.53333,34.6,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=324
Cedar Island Marsh,NC,-76.3239,34.9475,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=326
Chowan River Bottomlands,NC,-76.86667,36.38333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=327
Croatan Forest,NC,-77.01667,34.85,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=329
Great Dismal Swamp,NC,-76.48333,36.5,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=334
Green Swamp,NC,-78.26667,34.08333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=336
Hobucken Marshes - Gum Swamp,NC,-76.5,35.28333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=338
Holly Shelter-Angola Bay,NC,-77.71667,34.46667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=340
Lea-Hutaff Island,NC,-77.68333,34.31667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=346
Black and Great Craggy Mountains,NC,-82.25,35.78333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=383
Chimney Rock - Hickory Nut Gorge,NC,-82.25,35.43333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=386
Great Smoky Mountains National Park,NC,-83.11667,35.65,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=388
Upper Neuse River Bottomlands,NC,-78.28333,35.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=393
Pea Island National Wildlife Refuge,NC,-75.5,35.71667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=402
Currituck Marshes - Pine Island,NC,-75.8,36.25,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=403
