name,state,lon,lat,website,,,,
Tom Yawkey Wildlife Center,SC,-79.26720,33.25072,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1118,,,,
Hobcaw Barony,SC,-79.20970,33.33693,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1117,,,,
Ozark National Forest,AR,-93.36750,35.74960,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3039,,,,
Dry Tortugas National Park,FL,-82.87300,24.62900,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=134,,,,
Lake Mary Jane-Upper Econ Mosaic,FL,-81.18000,28.36800,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=77,,,,
Orlando Wetlands Park,FL,-80.96100,28.54100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=84,,,,
Lake Woodruff National Wildlife Refuge,FL,-81.35200,29.11900,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=80,,,,
Lower Tampa Bay,FL,-82.69300,28.88100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=81,,,,
Myakka River Watershed,FL,-82.32700,27.19600,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=82,,,,
Osceola Flatwoods and Prairies,FL,-81.01700,28.07200,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=87,,,,
St. Sebastian River State Buffer Preserve,FL,-80.60200,27.76800,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=89,,,,
Babcock-Webb Ecosystem,FL,-81.82400,26.92900,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=101,,,,
Big South Fork National River and Recreation Area,TN,-84.66944,36.47722,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2830,,,,
Red Hills Ecosystem,FL,-84.22200,30.63400,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=18,,,,
St. Marks National Wildlife Refuge,FL,-84.20600,30.16100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=19,,,,
Wakulla Springs,FL,-84.30500,30.23300,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=20,,,,
Fort George and Talbot Islands,FL,-81.41900,30.45200,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=25,,,,
