name,state,lon,lat,website
Harrison-Crawford Forest Complex,IN,-86.2767,38.2096,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3066
Castle Rock State Park and Lowden-Miller SF,IL,-89.375,41.967,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1698
Shawnee,OH,-83.21389,38.72083,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3602
Current / Jack's Fork Watershed-45,MO,-91.239,37.102,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2590
Upper Mississippi NWR IBA,MN,-91.59861,44.05917,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2778
Lawrence Woods,OH,-83.62333,40.56639,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=438
Edge of Appalachia,OH,-83.41222,38.7725,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=509
East Fork,OH,-84.14056,39.00306,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=508
Wilds,OH,-81.72861,39.84444,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=521
Pyramid State Park,IL,-89.414,38.018,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1667
Mohican,OH,-82.28333,40.61667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=579
DeSoto National Wildlife Refuge,IA,-96.006,41.5482,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1506
Green Island Wildlife Area,IA,-90.2859,42.15,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1509
Red Rock Reservoir,IA,-93.0775,41.4141,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1520
Lacey Keosauqua State Park,IA,-91.9686,40.7118,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1527
Ruthven Wildlife Area/Dewey's Pasture,IA,-94.9444,43.1247,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1521
Haehnle Sanctuary,MI,-84.28333,42.31667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1614
Chautauqua National Wildlife Refuge,IL,-89.98,40.37,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1673
Pointe Mouillee State Game Area,MI,-83.202,42.018,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1639
Tawas Point State Park,MI,-83.46667,44.25,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1647
Baker Sanctuary (Bernard W.),MI,-84.98333,42.4,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1596
Brockway Mountain Hawk Watch,MI,-87.96667,47.46667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1599
Crab Orchard NWR,IL,-89.058,37.7,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1661
Seney National Wildlife Refuge,MI,-85.93333,46.28333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1643
Whitefish Point,MI,-84.95,46.76667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1653
Ledges State Park,IA,-93.8824,41.9967,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1498
Cache River SNA,IL,-88.965,37.362,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1700
Goose Lake Prairie State Park,IL,-88.3,41.37,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1685
Mississippi Palisades State Park,IL,-90.15,42.14,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1678
"Lost Mound Unit, Savanna District of the Upper Mississippi River NWR",IL,-90.342,42.225,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1690
Meredosia Lake,IL,-90.552,39.873,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1693
Pleasant Hill Lake,OH,-82.34333,40.64,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2051
Big Oaks National Wildlife Refuge,IN,-85.37,38.9689,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2017
Universal Mine,IN,-87.451,39.622,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2052
Cape Hills-02,MO,-89.529,37.483,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2614
Clear Creek,OH,-82.56833,39.59222,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2030
Kankakee Sands Project and surrounding natural areas,IN,-87.4561,41.0456,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2172
Hocking Hills,OH,-82.54639,39.43361,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2041
Little Beaver Creek,OH,-80.61111,40.7275,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2045
Pine Creek/Robert Feldt Marsh,IN,-87.15,40.642,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2047
Pomona Nongame Bird Management Area,IL,-89.37,37.66,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1704
Willow Slough Fish and Wildlife Area,IN,-87.5039,41.0456,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2066
Wayne National Forest-Ironton,OH,-82.33556,38.64028,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2063
Wayne National Forest-Athens,OH,-81.16667,39.4025,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2062
Sugar Creek Valley,IN,-87.195,39.89,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2065
Cane Ridge Wildlife Management Area and Gibson Lake,IN,-87.747,38.371,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2147
Lynnville-Squaw Creek Mine Complex,IN,-87.313,38.157,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2327
Maple River State Game Area,MI,-84.7,43.11,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2210
Kittson-Roseau Aspen Parkland IBA,MN,-96.472,48.833,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2424
Cuivre River State Park-10,MO,-90.932,39.039,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2521
Taberville Prairie Plains-13,MO,-93.983,38.055,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2578
Yellowwood State Forest,IN,-86.3458,39.205,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2545
Lower Grand River Wetlands-08,MO,-93.252,39.654,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2522
Muscatatuck National Wildlife Refuge,IN,-85.833,38.954,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2539
Big Piney Hills-39,MO,-92.085,37.616,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2595
Great Rivers Confluence,MO,-90.416,38.96,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2525
Shell Knob Glades and Woodlands-38,MO,-93.676,36.618,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2610
Upper St. Francis Watershed-44,MO,-90.541,37.288,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2611
Hickory and Pickle Creek Hills-15,MO,-90.267,37.833,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2596
Otter Slough Conservation Area-03,MO,-90.113,36.71,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2554
Grand River Grasslands-05,MO,-94.132,40.506,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2537
Patoka River National Widlife Refuge,IN,-87.417,38.392,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2540
White River Glades and Woodlands-22,MO,-92.872,36.704,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2579
Minnehaha Fish and Wildlife Area/Dugger Unit,IN,-87.261,39.07,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2546
Clinton Lake State Recreation Area,IL,-88.876,40.139,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2574
Thousand Hills Woodland and Forest-30,MO,-92.639,40.124,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2550
Mingo Basin-01,MO,-90.15,37.009,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2553
Southeast Missouri Bottomlands-40,MO,-89.396,36.627,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2555
El Dorado Prairies-14,MO,-93.985,37.889,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2556
Osage River Bottoms-36,MO,-94.239,38.037,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2575
Central Missouri Hills-33,MO,-92.23,38.76,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2587
Eleven Point Watershed-43,MO,-91.315,36.811,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2594
Upper Castor / Whitewater Watershed-41,MO,-90.235,37.312,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2586
Upper / Middle Meramec River Watershed-46,MO,-91.148,37.894,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2600
Niangua River Basin-09,MO,-92.864,37.824,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2601
Busch / Weldon / Howell Conservation Area Complex-21,MO,-90.734,38.691,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2615
Potato Creek State Park,IN,-86.36,41.55,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2543
Two Rivers NWR (Calhoun Division) / Mississippi River SFWA,IL,-90.559,38.965,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2639
Itasca State Park,MN,-95.22278,47.20278,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2710
Rudyard Clay Plain,MI,-84.5,46.2,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3772
Mississippi River Sandbars and Islands-47,MO,-89.4547,36.5285,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2552
Lower St. Mary's River and Potagannissing Bay,MI,-84.0125,46.0872,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2750
