"eco_id","tier1_start","tier1_end","tier2_start","tier2_end","tier3_start","tier3_end"
"17006","1","12","13","34","35","123"
"17007","1","1","2","6","7","41"
"17008","1","8","9","18","19","126"
"17009","1","4","5","17","18","196"
"17010","1","4","5","9","10","93"
"17011","1","7","8","18","19","96"
"17012","1","13","14","35","36","175"
"17013","1","2","3","5","6","139"
"17014","1","3","4","9","10","73"
"17015","1","1","2","4","5","119"
"17016","1","5","6","11","12","95"
"17017","1","5","6","10","11","117"
"17018","1","6","7","16","17","92"
"17019","1","3","4","7","8","126"
"17020","1","6","7","21","22","128"
"17021","1","4","5","12","13","51"
"17022","1","5","6","17","18","64"
"17023","1","4","5","15","16","115"
"17024","1","9","10","22","23","198"
"17025","1","9","10","29","30","117"
"17026","1","5","6","18","19","68"
"17027","1","12","13","33","34","269"
"17028","1","9","10","22","23","70"
"17029","1","11","12","27","28","177"
"17030","1","17","18","56","57","431"
"17031","1","35","36","107","108","512"
"17032","1","4","5","11","12","139"
"17033","1","3","4","7","8","114"
"17035","1","6","7","20","21","306"
"17036","1","2","3","5","6","77"
"17037","1","43","44","112","113","498"
"17039","1","10","11","26","27","123"
"17040","1","12","13","35","36","207"
"17041","1","8","9","20","21","241"
"17043","1","14","15","36","37","233"
"17044","1","3","4","13","14","128"
"17045","1","17","18","59","60","262"
"17046","1","2","3","9","10","141"
"17047","1","20","21","62","63","298"
"17048","1","27","28","85","86","496"
"17049","1","16","17","51","52","436"
"17050","1","1","2","5","6","70"
"17051","1","9","10","24","25","134"
"17063","1","4","5","7","8","136"
"17065","1","3","4","14","15","115"
"17066","1","3","4","13","14","196"
"17067","1","2","3","9","10","94"
"17068","1","4","5","19","20","181"
"17069","1","2",NULL,NULL,"3","72"
"17070","1","6","7","17","18","148"
"17071","1","6","7","19","20","170"
"17072","1","8","9","32","33","299"
"17073","1","2","3","4","5","105"
"17074","1","2","3","7","8","79"
"17075","1","2","3","11","12","250"
"17085","1","9","10","26","27","178"
"17086","1","13","14","42","43","299"
"17087","1","3","4","12","13","212"
"17088","1","8","9","22","23","114"
"17090","1","3","4","19","20","261"
"17091","1","13","14","40","41","333"
"17092","1","14","15","52","53","532"
"17093","1","14","15","45","46","551"
"17094","1","6","7","18","19","193"
"17095","1","2","3","8","9","181"
"17096","1","3","4","5","6","126"
"17097","1","15","16","50","51","327"
"17101","1","1","2","2","3","37"
