"eco_id","total_facets","total_acres","facets_to_50","facets_to_70","facets_to_80","pct_facets_to_50","pct_facets_to_70","pct_facets_to_80"
"17069","72","26920055","2","2","2","2.8","2.8","2.8"
"17015","119","30473446","1","2","4","0.8","1.7","3.4"
"17013","139","27100682","2","4","5","1.4","2.9","3.6"
"17073","105","42378626","2","3","4","1.9","2.9","3.8"
"17096","126","19640895","3","4","5","2.4","3.2","4.0"
"17075","250","68903167","2","6","11","0.8","2.4","4.4"
"17095","181","28666185","2","5","8","1.1","2.8","4.4"
"17063","136","16755900","4","6","7","2.9","4.4","5.1"
"17101","37","5087085","1","2","2","2.7","5.4","5.4"
"17019","126","42345810","3","5","7","2.4","4.0","5.6"
"17087","212","18789150","3","7","12","1.4","3.3","5.7"
"17033","114","17611268","3","4","7","2.6","3.5","6.1"
"17046","141","26003683","2","6","9","1.4","4.3","6.4"
"17035","306","12123695","6","14","20","2.0","4.6","6.5"
"17036","77","23395185","2","3","5","2.6","3.9","6.5"
"17066","196","55702443","3","7","13","1.5","3.6","6.6"
"17050","70","10857623","1","3","5","1.4","4.3","7.1"
"17090","261","38570865","3","12","19","1.1","4.6","7.3"
"17032","139","41426180","4","8","11","2.9","5.8","7.9"
"17093","551","72410800","14","29","45","2.5","5.3","8.2"
"17041","241","10410808","8","13","20","3.3","5.4","8.3"
"17017","117","11482330","5","8","10","4.3","6.8","8.5"
"17009","196","45175658","4","10","17","2.0","5.1","8.7"
"17074","79","19787463","2","4","7","2.5","5.1","8.9"
"17094","193","32280310","6","13","18","3.1","6.7","9.3"
"17067","94","70641985","2","6","9","2.1","6.4","9.6"
"17010","93","16893405","4","7","9","4.3","7.5","9.7"
"17092","532","73056678","14","31","52","2.6","5.8","9.8"
"17044","128","23069465","3","7","13","2.3","5.5","10.2"
"17068","181","49096929","4","9","19","2.2","5.0","10.5"
"17072","299","123627409","8","20","32","2.7","6.7","10.7"
"17024","198","33862018","9","16","22","4.5","8.1","11.1"
"17071","170","3645639","6","13","19","3.5","7.6","11.2"
"17070","148","23496171","6","13","17","4.1","8.8","11.5"
"17016","95","31245597","5","9","11","5.3","9.5","11.6"
"17049","436","10638492","16","35","51","3.7","8.0","11.7"
"17091","333","48556400","13","27","40","3.9","8.1","12.0"
"17065","115","59105246","3","8","14","2.6","7.0","12.2"
"17014","73","7006098","3","5","9","4.1","6.8","12.3"
"17027","269","28789179","12","23","33","4.5","8.6","12.3"
"17023","115","39034245","4","10","15","3.5","8.7","13.0"
"17030","431","21227629","17","37","56","3.9","8.6","13.0"
"17086","299","9320731","13","29","42","4.3","9.7","14.0"
"17008","126","31055126","8","14","18","6.3","11.1","14.3"
"17007","41","7372219","1","4","6","2.4","9.8","14.6"
"17085","178","11684827","9","17","26","5.1","9.6","14.6"
"17097","327","33027116","15","35","50","4.6","10.7","15.3"
"17029","177","7112710","11","20","27","6.2","11.3","15.3"
"17043","233","12400262","14","26","36","6.0","11.2","15.5"
"17020","128","39200666","6","13","21","4.7","10.2","16.4"
"17040","207","5731225","12","25","35","5.8","12.1","16.9"
"17048","496","27057155","27","57","85","5.4","11.5","17.1"
"17018","92","34343192","6","11","16","6.5","12.0","17.4"
"17051","134","4042653","9","16","24","6.7","11.9","17.9"
"17011","96","47787505","7","13","18","7.3","13.5","18.8"
"17088","114","20641030","8","17","22","7.0","14.9","19.3"
"17012","175","23253123","13","25","35","7.4","14.3","20.0"
"17047","298","11343018","20","40","62","6.7","13.4","20.8"
"17031","512","16758940","35","73","107","6.8","14.3","20.9"
"17039","123","3254177","10","19","26","8.1","15.4","21.1"
"17045","262","39929630","17","39","59","6.5","14.9","22.5"
"17037","498","52212799","43","81","112","8.6","16.3","22.5"
"17021","51","9413582","4","8","12","7.8","15.7","23.5"
"17025","117","26672896","9","20","29","7.7","17.1","24.8"
"17026","68","3677166","5","11","18","7.4","16.2","26.5"
"17022","64","3996857","5","12","17","7.8","18.8","26.6"
"17006","123","23882290","12","24","34","9.8","19.5","27.6"
"17028","70","3277324","9","17","22","12.9","24.3","31.4"
