"eco_id","total_facets","total_acres","facets_needed_for_80pct","pct_of_facets_needed_for_80pct"
"17069","72","26920055","2","2.8"
"17015","119","30473446","4","3.4"
"17013","139","27100682","5","3.6"
"17073","105","42378626","4","3.8"
"17096","126","19640895","5","4.0"
"17075","250","68903167","11","4.4"
"17095","181","28666185","8","4.4"
"17063","136","16755900","7","5.1"
"17101","37","5087085","2","5.4"
"17019","126","42345810","7","5.6"
"17087","212","18789150","12","5.7"
"17033","114","17611268","7","6.1"
"17046","141","26003683","9","6.4"
"17035","306","12123695","20","6.5"
"17036","77","23395185","5","6.5"
"17066","196","55702443","13","6.6"
"17050","70","10857623","5","7.1"
"17090","261","38570865","19","7.3"
"17032","139","41426180","11","7.9"
"17093","551","72410800","45","8.2"
"17041","241","10410808","20","8.3"
"17017","117","11482330","10","8.5"
"17009","196","45175658","17","8.7"
"17074","79","19787463","7","8.9"
"17094","193","32280310","18","9.3"
"17067","94","70641985","9","9.6"
"17010","93","16893405","9","9.7"
"17092","532","73056678","52","9.8"
"17044","128","23069465","13","10.2"
"17068","181","49096929","19","10.5"
"17072","299","123627409","32","10.7"
"17024","198","33862018","22","11.1"
"17071","170","3645639","19","11.2"
"17070","148","23496171","17","11.5"
"17016","95","31245597","11","11.6"
"17049","436","10638492","51","11.7"
"17091","333","48556400","40","12.0"
"17065","115","59105246","14","12.2"
"17014","73","7006098","9","12.3"
"17027","269","28789179","33","12.3"
"17023","115","39034245","15","13.0"
"17030","431","21227629","56","13.0"
"17086","299","9320731","42","14.0"
"17008","126","31055126","18","14.3"
"17007","41","7372219","6","14.6"
"17085","178","11684827","26","14.6"
"17097","327","33027116","50","15.3"
"17029","177","7112710","27","15.3"
"17043","233","12400262","36","15.5"
"17020","128","39200666","21","16.4"
"17040","207","5731225","35","16.9"
"17048","496","27057155","85","17.1"
"17018","92","34343192","16","17.4"
"17051","134","4042653","24","17.9"
"17011","96","47787505","18","18.8"
"17088","114","20641030","22","19.3"
"17012","175","23253123","35","20.0"
"17047","298","11343018","62","20.8"
"17031","512","16758940","107","20.9"
"17039","123","3254177","26","21.1"
"17045","262","39929630","59","22.5"
"17037","498","52212799","112","22.5"
"17021","51","9413582","12","23.5"
"17025","117","26672896","29","24.8"
"17026","68","3677166","18","26.5"
"17022","64","3996857","17","26.6"
"17006","123","23882290","34","27.6"
"17028","70","3277324","22","31.4"
