place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000,geom_web
2629,Mt. Baker Ma - Mt. Baker National Forest,WA,24835,US Forest Service,Inventoried Roadless Area,North Cascades,12,59,,FALSE,654,TRUE,0106000020E6100000010000000103000000010000001E000000EB4C9790BD7A5EC0A42D2FB0FA7F48406BB0C092EF6F5EC01497DA69A77F4840BE9EE84D6C6D5EC0E9240448CA7C4840253ADB60E46F5EC0C49F121F3B7A484047246AF995725EC0FB945EEBEE7848404A66B02FAD735EC0C9D8023565744840F030BE5103755EC035D85A8C46744840C173FCC0F3755EC017ADB65B5B754840A02F3FDD89775EC01A26BFF3CC744840707812146E775EC0AD1AFA8081734840CFD52FCA35795EC0197164E6E0734840DA6B3112CD785EC0FE303DD750754840E1A7C49ABE7A5EC06F269F11F4754840479D1F2BCA7A5EC0A22030FAF1774840C671EC3647795EC0F0F1DB42297848406E5E4921017A5EC0C1E28D5D4A7B484027171E4A13795EC092AA4AF35C7B4840FB815AFAA5775EC017C632C7837948408F446E9C6D765EC0C3087D815E7A4840B1498DC6CB765EC0E45901F4DC7B4840A626C1BD98755EC08D3F42E9A27B48407C0F650CAC755EC0A2E5ED8DA77A4840A8C9B96F2E745EC064A5A3980F794840E688DCE957745EC0CA9F2053D37A48408B56E078AC735EC020DAE7533A7A484028FDC38E64735EC066F4DD85DA7A4840B523EDCEAB765EC048346EA98E7C48407E4687EF1A7B5EC086EF51326E7B484099B9807AB47C5EC0EDFAF8F6147C4840EB4C9790BD7A5EC0A42D2FB0FA7F4840
2808,Hungry Ridge - Okanogan National Forest,WA,8708,US Forest Service,Inventoried Roadless Area,Okanagan,10,663,377,TRUE,418,TRUE,0106000020E61000000100000001030000000100000016000000DDD56B966E0E5EC02E2D417BF50E4840BBC43FB8720A5EC0CA108DAB890F4840671D2277990A5EC01ECF2D0E960D484068C66C22CC085EC0DDFB54B4220B484096B8C6D551085EC077B993F38D0B4840AFCB0D422C095EC06F1D1285200D4840214CBD8B66085EC0E0FD542BED0D48403BD1A289A4075EC058FE0CB0870D48409EAA058325075EC05D840032310C4840A231F7455C085EC0E4817E0A160A48401B7CC07CCD055EC0B27DB6C6EE0B48408A60F2D15D065EC0311866CA320A48401E870D8669055EC0879B0D255E0A484068B061DF68065EC03D506F98C40748408E06549430085EC0060132D489074840ED236208CB095EC04355B2DAEB0948401EB013919C0D5EC0F289DECE720A4840D0FAFD12B40D5EC0409F4499980B4840AB83FBFA480E5EC0FDD77575130B484080FD3567DF0E5EC0856F4933070C4840442F69C1090E5EC0072C0419A70D4840DDD56B966E0E5EC02E2D417BF50E4840
2829,Green Mountain - Olympic National Forest,WA,4617,US Forest Service,Inventoried Roadless Area,Pacific Northwest Coast,12,1330,,FALSE,750,TRUE,0106000020E6100000010000000103000000010000000B000000051A995600BF5EC07E9F1B1923F14740664D5391D5BC5EC01672792F82EF47400C11C60326BC5EC00BC2B11FEAED4740453B615320BC5EC0F07FBB55D1E54740ADEC5E2AA4BD5EC0B67BA7CF00E84740E46B123625BD5EC02443E669CBE8474052CCC685DCBD5EC0A700AA1B0CE9474076B6228B8BBD5EC01BDBA09DABEA4740332DB5D0B8BE5EC0F28E641988EA4740A993768042BE5EC02FCD51E275EC4740051A995600BF5EC07E9F1B1923F14740
2832,Lightning - Olympic National Forest,WA,7105,US Forest Service,Inventoried Roadless Area,Pacific Northwest Coast,11,1147,,FALSE,613,TRUE,0106000020E61000000100000001030000000100000011000000BC2180A7D1D75EC005ACDEED95C247404A531AD3B5D75EC0658DFA1DEBC14740D70474AE76D85EC085E215FEF2C1474067BF9924FBD95EC0C6C64EAADFBF4740706C0D51E3D95EC01758F050F6BE4740DC99398DC9D85EC06351066CE6BE4740699D0D39DDD65EC0BDFE1531A9C0474027623FB35AD65EC028B53B22E8BF4740A57B0040EDD45EC0E51376D5B1C04740266C1413FAD35EC0717398A572BE4740CEBA712136D45EC03B1D7D0E54BD4740DDA0045379D25EC0418EFA9D4FBD4740237770493AD35EC0D76435DB4CBB47405EB68A507ED65EC062766A1735BB474016D3CDFFA9DA5EC084E4CD99A1BE47406792E4E2C0DA5EC000CC85DB2CC04740BC2180A7D1D75EC005ACDEED95C24740
2836,Mt. Zion - Olympic National Forest,WA,3544,US Forest Service,Inventoried Roadless Area,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,2,1520,110,TRUE,110,TRUE,0106000020E6100000010000000103000000010000000D00000020CB10C7E2C35EC07DCEDF3CA5F94740841205E320C25EC0ED85093CEDF9474069DD5BC7F8C15EC0EF10101BE7F747401E32E1D1E8BE5EC0658EF7F9E3F54740E71E388777BE5EC0797CF9D4F4F44740D7DF4A0422BF5EC085C68B14F8F3474092D4847193BD5EC09189FED278F34740B291475370BD5EC0F981AB2606F1474091033B5CBDBC5EC0B582844B89F04740C8E6BDD5DEBD5EC0E3C8C025DAF047403438DACCA4BE5EC0022913F116F347405FAD605398BF5EC043C3858D66F2474020CB10C7E2C35EC07DCEDF3CA5F94740
2839,South Quinault - Olympic National Forest,WA,8719,US Forest Service,Inventoried Roadless Area,Pacific Northwest Coast,14,2149,,FALSE,557,TRUE,0106000020E610000001000000010300000001000000190000000A88062B5DF55EC0A5AC34655ABC4740442A975D08F55EC0163ACE3FDCBB47404783AB4420F45EC0E7F50072D4BC4740B4D7518258F45EC06D311F3732BC4740CC226376D8F35EC0DE70C1A39ABC4740E0C9D3CD27F25EC0CEA9054D22BA47404DB5B10A2AF35EC02A9F3A5697BC47402236CDFD46F15EC09FBFDB58B4BA47407658CE0380F15EC0E40EEC9DC9B94740F99353E75BF25EC0586D3BC0F8B947408D11E3BB6EF45EC07D6E5B0260B447407AE5410274F55EC03BBD783B7CB44740E99208FE41F55EC0360B14EBC2B5474008E9345CDBF55EC03171C84D68B6474054D57A97BEF55EC0C5384D814FB447405E6FF6044BF65EC021B53B9B75B347405566CD5EE0F65EC0EF34FC5F14B44740D87601441BF75EC0A4D51AC74FB24740163DD7D001F85EC0F47B931225B247409F6B90357FF85EC0DEE9873C9CB247408DF3080019F85EC09516BF6B47B64740FE95043CBCF65EC024E0756E47B6474039C5AC4007F65EC0FDAB3C690CB94740D489682B21F85EC0A1C709C843B947400A88062B5DF55EC0A5AC34655ABC4740
2841,Upper Skokomish - Olympic National Forest,WA,9264,US Forest Service,Inventoried Roadless Area,Pacific Northwest Coast,9,742,354,TRUE,357,TRUE,0106000020E61000000100000001030000000100000019000000D17277A33DE15EC0FD7CDB2A41C24740CE168D1FFBDD5EC03D34D62796C247402FE58EA3BCD95EC072F82382ACBD4740BB2D639F0CD75EC0BA7D62C6B9BB47404D50AAE54BD95EC01C49DB7AFFBC474009FC1E467ADA5EC0FB12BD3052BC4740012E30157DDA5EC04A18983C08BB4740E99D3F7A05DB5EC0819B84763CBB474080A5EE49DEDB5EC05C6DB2E5AFBD4740F33A62887CDB5EC011A9591465BE4740F2D6ABB6DADC5EC0953C2F408EBF474052EA2C6931DC5EC0E616708338BE47408FED5E87CBDC5EC02C218D8AAFBD4740917C439686DD5EC09ED600CBCCBE47401064A40AECDC5EC07607F0A422BD47401F1E8BC78BDD5EC07716B9A453BB4740AF6175D98CDF5EC03BB8D48BFFBB47405F3CE88A7CE05EC02FDBB7A980BA474065AD8BDF4DE05EC0AF60848E08BD4740D198CECEF3E05EC059B584A9AFBC4740E0ECE1D18BE15EC04C138AB80ABF474053D1A20BD7E05EC0892A9FEE7FBF4740BDCFD74701E15EC074772327B3C14740234169BA2BE05EC096CBD10DE8C14740D17277A33DE15EC0FD7CDB2A41C24740
3930,Chopaka Mountain WSA - Spokane Wenatchee Field Office,WA,5476,Bureau of Land Management,Wilderness Study Area,Okanagan,14,906,,FALSE,672,TRUE,0106000020E610000001000000010300000002000000110000004D18061CB5EE5DC0C58E87DCA77F48403A63ED3BADEE5DC00BDEAA77A17A48408CB6BF65A0ED5DC04F510CC01C7A4840E467531DE4EC5DC01B78F00BF27648408EF4D8C30EEC5DC0AEC2C65A597748403E431F4127EB5DC0FFB36257097548407A502560B3EC5DC0E1BFB6C30C754840047968FB80EC5DC0E0C7DBE6C17548405373583BF0EC5DC0DBB5ACA258764840BDD7B67526ED5DC07D683E460A7548403F328EECEEED5DC05AC46FBF0B7548400A5FAD20F0ED5DC08E7943D5F67548409C6421BC03EF5DC0AB71F5E2FC7548402FCD3E8207EF5DC02A38E643C5784840B64CC2A455F05DC06561C2F4C37848409608E22E5AF05DC08EE00F5CE97F48404D18061CB5EE5DC0C58E87DCA77F48400400000037F20D16BCEE5DC0A9AA9D86CE7C48403191D158A2EF5DC0B7ACD7E2407C4840CAA577EC5DEF5DC062372B68DF7B484037F20D16BCEE5DC0A9AA9D86CE7C4840
3031,Pinhook - Pinhook Purchase Unit,FL,15276,US Forest Service,Inventoried Roadless Area,South Atlantic Coastal Plain,22,4812,,FALSE,571,TRUE,0106000020E61000000100000001030000000A0000001E00000020A66B07ED9854C00098F5A1F07C3E40B0F63BCAE79854C0B65955AB53753E403CCD24CB909A54C01EA6F2AF3A753E407AC935AD979B54C030A7AB271E763E402908454EDB9B54C07EEE71C0E8783E40B938E7F0499D54C053AC3C77CA783E40725164F2B19D54C0C25A5BED357C3E402A79B710BA9C54C07203A8B2DA7C3E403624D8F09D9C54C099413D506E7E3E40062B4ED9219F54C0F56BC1F694863E406988E13AFC9F54C052655FF07B863E40129AA35D98A054C032D9598B138A3E4080C20748939F54C09AD1A894488B3E409CF38B1A819F54C0222339139E873E40F6C77E76589D54C0320D9643C0873E40DA3F5B17599D54C06D32A4226F893E408C3685020C9C54C00CDC553C1B8A3E40351B8815D49A54C067DEFC73628F3E401DEB0DF2FC9854C0E788FA628A8F3E4035DB1511FA9854C09BD68A43A38D3E4047E6C34EFD9754C0B8899C2BCF8C3E408506C98E429854C086AE9E29CB8B3E409BA53633CF9A54C05BB2CBD5DE8A3E40E47977F2AB9B54C0D5DC0E911F863E4059B5DD8F0D9B54C02BB1CA164E833E402BE42732DC9A54C053AB3DB691883E4033BEFFAE709954C00F4C6461B1873E40AE20F6CC5A9A54C08A42F13C29803E40A969072C869954C09B4E782271813E4020A66B07ED9854C00098F5A1F07C3E40040000009CDD335F869A54C0CF25127818783E402C069A58629A54C0666A244D98773E40D0FCD2B0629A54C09AE4B05318783E409CDD335F869A54C0CF25127818783E4004000000A5A1C771649A54C0D7775BBF88793E405F8442E3869A54C01F5720CB02793E40B1BBAA52639A54C023916C2703793E40A5A1C771649A54C0D7775BBF88793E40040000000F59A458629A54C00F2A1803137F3E405131D672849A54C09B38DF6D967E3E4044F938B6619A54C0C5C85E119B7E3E400F59A458629A54C00F2A1803137F3E40040000007CFFD3E8CD9954C07A4ABA719A803E40726FA057DF9954C0A99BF438A27F3E40E2EDA356CC9954C096E36935A27F3E407CFFD3E8CD9954C07A4ABA719A803E4004000000E8FC02215F9954C07E327F123C8C3E4084E194AC7F9954C05BD13E8CBE8B3E40E652A7AD5E9954C0702E4D0CBF8B3E40E8FC02215F9954C07E327F123C8C3E400400000004A382D5A69954C0CC6CC2E3A88C3E40B9BF35BFE89954C0025BFC28BE8B3E4052EC3650A59954C06BC4E70DBE8B3E4004A382D5A69954C0CC6CC2E3A88C3E4004000000EE213656EA9954C00CDFD6DF208D3E40711B82560D9A54C08DE77DF19E8C3E40670A97A7E99954C0BC74D28EA38C3E40EE213656EA9954C00CDFD6DF208D3E40040000005F647D7D719854C00B86A87D4A8C3E400E29F395959854C01E9D2ACFB88C3E4027171630949854C07C56E2A8498C3E405F647D7D719854C00B86A87D4A8C3E400400000030DBE17EFC9954C0789A1D81CE8D3E404812CA2C0E9A54C06585CF07588D3E40A26451CBFB9954C0C083380A5A8D3E4030DBE17EFC9954C0789A1D81CE8D3E40
5342,Bow and Arrow Ranch - Prairie Canyonlands,CO,28635,The Nature Conservancy,Private Conservation,Central Shortgrass Prairie,3,2108,173,TRUE,173,TRUE,0106000020E61000000100000001030000000700000035000000312C75BF9B165AC0649E68749EC1424018938E58CD195AC03F90D80BA7C142409236757D7A195AC01A91C557FEC242408A4779D4E2185AC0D016818DF6C2424016F72C2213195AC0BD1498975CC44240ADC76B36A71A5AC0D01140CE10C342400077E43E271A5AC0B58FA6BBFDC34240A35378B3A21A5AC03631E685E7C442402A75C2D1D9195AC0FEE4E16EC8C4424070A3CE2BC2195AC0DA66CB833AC74240AE0AE6A60C1A5AC002D904C2A6C942405C0FB70B371B5AC03260372FACC942407CDFE4DE361B5AC004DED4528ECA4240BCBDF5AB561A5AC087D014398CCA42402AA8CA1AA01A5AC05541CD4FDACD4240AEB290D3DE185AC0DF33B0DDF3CB42404326A4D5DD185AC0B234AB35C0CE4240F2E5CD45551A5AC059A0BEF6C9CE42406F524539561A5AC0E0BBE5BB3AD042408D592F49EC1A5AC03C1B467EBDD0424099C230A9CB1B5AC090F4792049D04240C133FAF0601C5AC08B88FA16A8D24240DED4A4F370195AC0C315FF8B9AD142405BCBF7E7D7185AC039EFC70EFBD24240DA1F3B490D155AC0453EE5B972D24240FCF51F8FDE135AC05D0C353DF4D142403DE85B49DE135AC03FE10C5290D04240A03F37271D125AC05DF9C2BF1CD042402811526769125AC0D9107AC8B1CE424052E8B53257115AC08E9F807D2CCF424025D2AA5653115AC0311D322CD6CC42409D2B33EED90F5AC009060B136BCC4240F24FDB6E25105AC0D746733D1FC94240E54E63410F135AC0E74AEDDC19C942403B4EECE90E135AC0728C92A60BCA424093AED31BDE115AC0F9FC2D060ACA424013A3D860DC115AC092188987FACA4240E6E6DB3D36145AC01B79DE2DFACA42409BC98CD0F0135AC0AE0FE0B719C942408908B27863155AC06A4F0E561DC94240F5B95B79F8155AC0F02F8E8928C84240CD98368788165AC0FD0423BD0ACA4240598813F366175AC03828DC340CCA4240DAF39C8D8B165AC01400040927C84240A8E47AF1B1175AC01C5F8037A0C84240BE18B46DDD185AC09E5BC38DC3C5424083660C9DFB175AC07D699561B8C64240EF476E9F8E165AC047B8055444C64240C1C4287A90165AC07C09864A56C5424075D10127B3155AC0AC611DABCFC542402E1E69CDB8155AC0EC5185D07AC34240B93DF76C95165AC0CD8C5B2F78C34240312C75BF9B165AC0649E68749EC14240040000000936BE6727195AC0155EBAA518C24240D8DFF5C3E3185AC0E4490A028FC24240ED89E97524195AC04CED8B7C93C242400936BE6727195AC0155EBAA518C2424004000000AAC30EF2DE175AC0E21C29042CC64240A36B5AA6CE175AC0C072629619C64240998ED102D1175AC07501CBC62FC64240AAC30EF2DE175AC0E21C29042CC6424005000000B7849FCCDE185AC0118163F3A4C84240C864B45846185AC013955C8A1DC9424044AE86C345185AC079BD5C4902CB42403BB9697575195AC079347C460CCB4240B7849FCCDE185AC0118163F3A4C8424005000000B00F7E0231145AC0121B6A56DBCC4240F93136369C135AC03C97A817D9CC4240414E4C5197135AC0E8FBBCBAB3CE42401BA4C0CA2B145AC071D9C7ABB2CE4240B00F7E0231145AC0121B6A56DBCC4240050000003DBC514D5C155AC055FCCBB24DCD42407E4E7F8D5A155AC0E4670F53B2CE4240FC393D5882165AC0164D84B7B0CE42409BAAFBAD84165AC00F375971DCCC42403DBC514D5C155AC055FCCBB24DCD4240040000000BD1F0E18A185AC0EA0DE10FB0CF42403090576CE7185AC0CF15CD1E2FD042406DE654CBE6185AC05EFFA40AB6CF42400BD1F0E18A185AC0EA0DE10FB0CF4240
