"place_id","name","owner","eco_id","eco_name","states","acres","facets","veg","footprint","gap_min","gap_max","national_rank","ecoregion_rank","score_veg","score_facet_pct_eco","score_evt_pct_eco","score_intact","score_mgmt","score_desig","landscape_score","selection_score","landform_diff_min","veg_diff_min","combined_diff_50_50","complementarity_acres","quality_cutoff_rank","candidate_pool_size","weight_complementarity","weight_facets","weight_veg","weight_intact","weight_facet_pct_eco","weight_evt_pct_eco","weight_mgmt","weight_desig","run_id","run_ts","run_label","rank_top1000"
"900404","Olympic National Park","NPS",17041,"Pacific Northwest Coast","WA","896742","173","32","0.009",1,1,"1","1","53.4","100.0","62.8","98.8",100,100,"89.87","89.87",NULL,NULL,NULL,NULL,12,40,"0.20","5","5","30","20","20","15","5","726","2026-03-24 16:58:48.407302","iterative_landform_veg_top_pct_floor_v2","1"
"2778","North Cascades National Park","NPS",17039,"North Cascades","WA","499355","47","40","0.006",1,1,"2","1","67.2","53.1","100.0","99.2",100,100,"85.08","85.08",NULL,NULL,NULL,NULL,12,42,"0.20","5","5","30","20","20","15","5","711","2026-03-24 16:57:43.875336","iterative_landform_veg_top_pct_floor_v2","2"
"900221","Grand Canyon National Park","NPS",17091,"Colorado Plateau","AZ","1157563","101","59","0.006",1,1,"4","1","100.0","42.1","67.1","99.2",100,100,"79.51","79.51",NULL,NULL,NULL,NULL,33,161,"0.20","5","5","30","20","20","15","5","663","2026-03-24 16:54:13.777996","iterative_landform_veg_top_pct_floor_v2","3"
"900209","Glacier National Park","NPS",17030,"Canadian Rocky Mountains","MT","992628","166","27","0.003",1,1,"5","1","44.8","53.5","45.0","99.6",100,100,"76.62","76.62",NULL,NULL,NULL,NULL,39,192,"0.20","5","5","30","20","20","15","5","684","2026-03-24 16:55:48.05942","iterative_landform_veg_top_pct_floor_v2","4"
"900242","Guadalupe Mountains National Park","NPS",17090,"Chihuahuan Desert","TX","87068","89","47","0.005",1,1,"6","1","79.3","47.4","51.9","99.3",100,100,"76.18","76.18",NULL,NULL,NULL,NULL,12,41,"0.20","5","5","30","20","20","15","5","721","2026-03-24 16:58:26.646517","iterative_landform_veg_top_pct_floor_v2","5"
"900516","Sequoia National Park","NPS",17043,"Sierra Nevada","CA","404600","115","28","0.006",1,2,"7","1","46.6","68.7","32.7","99.2",100,100,"75.69","75.69",NULL,NULL,NULL,NULL,28,140,"0.20","5","5","30","20","20","15","5","706","2026-03-24 16:57:22.192493","iterative_landform_veg_top_pct_floor_v2","6"
"900155","Desolation Canyon - Price Field Office","BLM",17047,"Utah High Plateaus","UT","226146","132","34","0.005",1,1,"8","1","56.9","61.6","57.1","99.3",100,0,"75.19","75.19",NULL,NULL,NULL,NULL,27,132,"0.20","5","5","30","20","20","15","5","725","2026-03-24 16:58:44.039322","iterative_landform_veg_top_pct_floor_v2","7"
"900597","Ventana Wilderness - Los Padres National Forest","UFS",17085,"California Central Coast","CA","209884","85","27","0.016",1,1,"9","1","44.8","66.4","56.4","97.8",100,25,"74.83","74.83",NULL,NULL,NULL,NULL,19,91,"0.20","5","5","30","20","20","15","5","730","2026-03-24 16:59:05.665572","iterative_landform_veg_top_pct_floor_v2","8"
"1499","Great Smoky Mountains National Park","NPS",17021,"Southern Blue Ridge","NC, TN","519597","33","17","0.035",2,2,"11","1","27.6","90.1","33.4","95.2",90,100,"74.07","74.07",NULL,NULL,NULL,NULL,20,97,"0.20","5","5","30","20","20","15","5","679","2026-03-24 16:55:26.055803","iterative_landform_veg_top_pct_floor_v2","9"
"40","Anza-Borrego Desert State Park","SPR",17095,"Sonoran Desert","CA","608024","106","35","0.025",3,3,"13","1","58.6","81.5","63.4","96.6",65,0,"73.69","73.69",NULL,NULL,NULL,NULL,24,116,"0.20","5","5","30","20","20","15","5","712","2026-03-24 16:57:48.117797","iterative_landform_veg_top_pct_floor_v2","10"
