place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
900404,Olympic National Park,WA,896742,National Park Service,National Park,Pacific Northwest Coast,1,1,1,TRUE,1,TRUE
2778,North Cascades National Park,WA,499355,National Park Service,National Park,North Cascades,1,2,2,TRUE,2,TRUE
2621,Glacier Peak Wilderness - Mt. Baker National Forest,WA,274961,US Forest Service,National Forest,North Cascades,2,3,69,TRUE,69,TRUE
900221,Grand Canyon National Park,AZ,1157563,National Park Service,National Park / Wilderness Study Area,Colorado Plateau,1,4,3,TRUE,3,TRUE
900209,Glacier National Park,MT,992628,National Park Service,National Park / Wild and Scenic River / Wilderness Study Area,Canadian Rocky Mountains,1,5,4,TRUE,4,TRUE
900242,Guadalupe Mountains National Park,TX,87068,National Park Service,National Park,Chihuahuan Desert,1,6,5,TRUE,5,TRUE
900516,Sequoia National Park,CA,404600,National Park Service,National Park / Wild and Scenic River,Sierra Nevada,1,7,6,TRUE,6,TRUE
900155,Desolation Canyon - Price Field Office,UT,226146,Bureau of Land Management,"National Public Lands
 / Wilderness Study Area",Utah High Plateaus,1,8,7,TRUE,7,TRUE
900597,Ventana Wilderness - Los Padres National Forest,CA,209884,US Forest Service,National Forest / Wild and Scenic River,California Central Coast,1,9,8,TRUE,8,TRUE
900010,Alpine Lakes Wilderness - Snoqualmie National Forest,WA,163154,US Forest Service,National Forest / Wild and Scenic River,North Cascades,3,10,137,TRUE,137,TRUE
1499,Great Smoky Mountains National Park,"NC, TN",519597,National Park Service,National Park,Southern Blue Ridge,1,11,9,TRUE,9,TRUE
900290,Kings Canyon National Park,CA,453324,National Park Service,National Park / Wild and Scenic River,Sierra Nevada,2,12,70,TRUE,70,TRUE
40,Anza-Borrego Desert State Park,CA,608024,California Department of Parks and Recreation,State Park,Sonoran Desert,1,13,10,TRUE,10,TRUE
900216,Golden Trout Wilderness - Inyo National Forest,CA,191653,US Forest Service,National Forest / Wild and Scenic River,Sierra Nevada,3,14,204,TRUE,204,TRUE
900628,Zion National Park,UT,125166,National Park Service,National Park / Wild and Scenic River,Utah High Plateaus,2,15,71,TRUE,71,TRUE
900034,Berryessa Snow Mountain - Mendocino National Forest,CA,172709,US Forest Service,National Forest,California North Coast,1,16,11,TRUE,11,TRUE
900149,Death Valley National Park,"CA, NV",3351098,National Park Service,National Park,Mojave Desert,1,17,12,TRUE,12,TRUE
2628,Mount Baker Wilderness - Mt. Baker National Forest,WA,115839,US Forest Service,National Forest,North Cascades,4,18,205,TRUE,205,TRUE
2827,Buckhorn Wilderness - Olympic National Forest,WA,36325,US Forest Service,National Forest,Pacific Northwest Coast,2,19,72,TRUE,72,TRUE
900367,Mount Rainier National Park,WA,231488,National Park Service,National Park,West Cascades,1,20,13,TRUE,13,TRUE
265,Baxter State Park,ME,175213,Baxter State Park Authority,State Park,Northern Appalachian / Acadian,1,21,14,TRUE,14,TRUE
60,Painted Bluffs IRA - Apache National Forest,AZ,43056,US Forest Service,Inventoried Roadless Area,Apache Highlands,1,22,15,TRUE,15,TRUE
900036,Berryessa Snow Mountain National Monument - Ukiah Field Office,CA,94776,Bureau of Land Management,,Great Central Valley,2,23,73,TRUE,73,TRUE
2630,Mt. Baker Noisy - Diobsud IRA - Mt. Baker National Forest,WA,55118,US Forest Service,Inventoried Roadless Area,North Cascades,5,24,271,TRUE,271,TRUE
4007,Boundary Waters Canoe Area Wilderness - Superior National Forest,MN,793697,US Forest Service,National Forest,Superior Mixed Forest,1,25,16,TRUE,16,TRUE
2636,Pasayten Wilderness - Mt. Baker National Forest,WA,111277,US Forest Service,National Forest,North Cascades,6,26,368,TRUE,402,TRUE
3897,Henry M. Jackson Wilderness - Snoqualmie National Forest,WA,45970,US Forest Service,National Forest,North Cascades,7,27,337,TRUE,337,TRUE
1909,Upper Burro Creek (East) - Kingman Field Office,AZ,18458,Bureau of Land Management,"National Public Lands
",Apache Highlands,2,28,74,TRUE,74,TRUE
900095,Cascade-Siskiyou National Monument - Medford Ashland Field Office,"CA, OR",66457,Bureau of Land Management,National Monument,West Cascades,1,29,17,TRUE,17,TRUE
1785,John Muir Wilderness - Inyo National Forest,CA,230525,US Forest Service,National Forest,Sierra Nevada,4,30,272,TRUE,272,TRUE
900256,High Peaks Wilderness,NY,275359,NYS DEC / NYS Department of Environmental Conservation,State Forest,Northern Appalachian / Acadian,2,31,75,TRUE,75,TRUE
4785,Wind Cave National Park,SD,33824,National Park Service,National Park,Black Hills,1,32,18,TRUE,18,TRUE
4253,Hellsgate Wilderness - Tonto National Forest,AZ,37452,US Forest Service,National Forest,Apache Highlands,3,33,138,TRUE,138,TRUE
