place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
900404,Olympic National Park,WA,896742,National Park Service,National Park,Pacific Northwest Coast,1,1,1,TRUE,1,TRUE
2621,Glacier Peak Wilderness - Mt. Baker National Forest,WA,274961,US Forest Service,National Forest,North Cascades,1,2,2,TRUE,2,TRUE
40,Anza-Borrego Desert State Park,CA,608024,California Department of Parks and Recreation,State Park,Sonoran Desert,1,4,3,TRUE,3,TRUE
900155,Desolation Canyon - Price Field Office,UT,226146,Bureau of Land Management,"National Public Lands
 / Wilderness Study Area",Utah High Plateaus,1,5,4,TRUE,4,TRUE
900221,Grand Canyon National Park,AZ,1157563,National Park Service,National Park / Wilderness Study Area,Colorado Plateau,1,6,5,TRUE,5,TRUE
900597,Ventana Wilderness - Los Padres National Forest,CA,209884,US Forest Service,National Forest / Wild and Scenic River,California Central Coast,1,7,6,TRUE,6,TRUE
900034,Berryessa Snow Mountain - Mendocino National Forest,CA,172709,US Forest Service,National Forest,California North Coast,1,9,7,TRUE,7,TRUE
900216,Golden Trout Wilderness - Inyo National Forest,CA,191653,US Forest Service,National Forest / Wild and Scenic River,Sierra Nevada,1,10,8,TRUE,8,TRUE
60,Painted Bluffs - Apache National Forest,AZ,43056,US Forest Service,Inventoried Roadless Area,Apache Highlands,1,11,9,TRUE,9,TRUE
900209,Glacier National Park,MT,992628,National Park Service,National Park / Wild and Scenic River / Wilderness Study Area,Canadian Rocky Mountains,1,14,10,TRUE,10,TRUE
1499,Great Smoky Mountains National Park,"NC, TN",519597,National Park Service,National Park,Southern Blue Ridge,1,15,11,TRUE,11,TRUE
900242,Guadalupe Mountains National Park,TX,87068,National Park Service,National Park,Chihuahuan Desert,1,16,12,TRUE,12,TRUE
265,Baxter State Park,ME,175213,Baxter State Park Authority,State Park,Northern Appalachian / Acadian,1,17,13,TRUE,13,TRUE
1075,Custer State Park,SD,70409,State Park & Recreation,State Park,Black Hills,1,20,14,TRUE,14,TRUE
4007,Boundary Waters Canoe Area Wilderness - Superior National Forest,MN,793697,US Forest Service,National Forest,Superior Mixed Forest,1,24,15,TRUE,15,TRUE
5687,Sun River Wildlife Management Area,MT,12047,"Montana Fish, Wildlife and Parks",State Conservation Area,Fescue-Mixed Grass Prairie,1,46,16,TRUE,16,TRUE
900154,Desert National Wildlife Range,NV,1507132,U.S. Fish & Wildlife Service,National Wildlife Refuge / Wilderness Study Area,Mojave Desert,1,60,17,TRUE,17,TRUE
900375,Neola Wildlife Management Area - Monongahela NF,"VA, WV",72677,USDA Forest Service,National Forest,Central Appalachian Forest,1,62,18,TRUE,18,TRUE
1432,Gila Wilderness - Gila National Forest,NM,559005,US Forest Service,National Forest,Arizona-New Mexico Mountains,1,63,19,TRUE,19,TRUE
900367,Mount Rainier National Park,WA,231488,National Park Service,National Park,West Cascades,1,64,20,TRUE,20,TRUE
900095,Cascade-Siskiyou National Monument - Medford Ashland Field Office,"CA, OR",66457,Bureau of Land Management,National Monument,West Cascades,1,65,21,TRUE,21,TRUE
1563,West Elk Wilderness - Gunnison National Forest,CO,176416,US Forest Service,National Forest,Southern Rocky Mountains,1,69,22,TRUE,22,TRUE
900543,Split Rock Wild Forest,NY,3067,NYS DEC / NYS Department of Environmental Conservation,State Forest,St. Lawrence - Champlain Valley,1,78,23,TRUE,23,TRUE
900175,Everglades National Park,FL,1534165,National Park Service,National Park,Tropical Florida,1,84,24,TRUE,24,TRUE
2819,Pasayten Wilderness - Okanogan National Forest,WA,417972,US Forest Service,National Forest,Okanagan,1,87,25,TRUE,25,TRUE
900166,Eagle Cap Wilderness - Whitman National Forest,OR,134450,US Forest Service,National Forest / Wild and Scenic River,Middle Rockies - Blue Mountains,1,92,26,TRUE,26,TRUE
12,Amistad National Recreation Area,TX,58829,National Park Service,National Recreation Area,Tamaulipan Thorn Scrub,1,118,27,TRUE,27,TRUE
1150,Dinosaur National Monument,"CO, UT",172956,National Park Service,Wilderness Study Area,Utah-Wyoming Rocky Mountains,1,123,28,TRUE,28,TRUE
900548,Steens Mountain Wilderness - Burns Andrews Field Office,OR,155575,Bureau of Land Management,"National Public Lands
 / Wild and Scenic River",Columbia Plateau,1,130,29,TRUE,29,TRUE
3293,Greater Red Creek ACEC (Currant Creek Watershed) - Rock Springs Field Office,WY,21170,Bureau of Land Management,Area of Critical Environmental Concern,Wyoming Basins,1,201,30,TRUE,30,TRUE
1234,Sawtooth Mountains Wilderness - El Centro Field Office,CA,33701,Bureau of Land Management,"National Public Lands
",California South Coast,1,213,31,TRUE,31,TRUE
900149,Death Valley National Park,"CA, NV",3351098,National Park Service,National Park,Mojave Desert,1,230,32,TRUE,32,TRUE
900100,Charles M. Russell National Wildlife Refuge,MT,343798,U.S. Fish & Wildlife Service,National Wildlife Refuge / Wilderness Study Area,Northern Great Plains Steppe,1,256,33,TRUE,33,TRUE
900455,Red Dirt - Kisatchie National Forest,LA,40450,US Forest Service,National Wildlife Refuge,West Gulf Coastal Plain,1,268,34,TRUE,34,TRUE
7578,Balsam Lake Mountain Wild Forest,NY,13385,NYS Department of Environmental Conservation,State Forest,High Allegheny Plateau,1,399,35,TRUE,35,TRUE
900125,Coosa Wildlife Management Area,AL,9598,Alabama Forever Wild Land Trust,State Conservation Area,Piedmont,1,421,36,TRUE,36,TRUE
4616,Chelan - Wenatchee National Forest,WA,74534,US Forest Service,Inventoried Roadless Area,East Cascades - Modoc Plateau,1,424,37,TRUE,37,TRUE
3669,Channell - Sequoia National Forest,CA,45385,US Forest Service,Inventoried Roadless Area,Great Central Valley,1,435,38,TRUE,38,TRUE
900186,Fort Niobrara National Wildlife Refuge,NE,17572,U.S. Fish & Wildlife Service,National Wildlife Refuge,Dakota Mixed-Grass Prairie,1,449,39,TRUE,39,TRUE
5273,Santee Coastal Reserve Wildlife Management Area,SC,25572,South Carolina Department of Natural Resources,State Conservation Area,Mid-Atlantic Coastal Plain,1,583,40,TRUE,40,TRUE
900272,Isle Royale National Park,MI,506039,National Park Service,National Park,Great Lakes,1,755,41,TRUE,41,TRUE
4868,JE Canyon Ranch - Lower Purgatoire Conservation Area,CO,19035,The Nature Conservancy,Private Conservation,Central Shortgrass Prairie,1,805,42,TRUE,42,TRUE
900376,New River Gorge National Park and Preserve,WV,70999,US National Park Service,National Park,Cumberlands And Southern Ridge And Valley,1,908,43,TRUE,43,TRUE
900402,Okefenokee National Wildlife Refuge,"FL, GA",405259,U.S. Fish & Wildlife Service,National Wildlife Refuge,South Atlantic Coastal Plain,1,969,44,TRUE,44,TRUE
6840,State Game Land 087,PA,17318,PA Game Commission,State Land,Western Allegheny Plateau,1,1083,45,TRUE,45,TRUE
2681,Natchez Trace Parkway,"AL, MS, TN",21228,National Park Service,,Interior Low Plateau,1,1144,46,TRUE,46,TRUE
5419,San Juan Islands National Monument - Moran,WA,5609,Washington State Parks and Recreation Commission (SPRC),National Monument,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,1,1196,47,TRUE,47,TRUE
7054,Roseau River State Wildlife Management Area,MN,66943,Minnesota Department of Natural Resources,State Conservation Area,Northern Tallgrass Prairie,1,1211,48,TRUE,48,TRUE
900545,St. Marks National Wildlife Refuge,FL,71241,U.S. Fish & Wildlife Service,National Wildlife Refuge,East Gulf Coastal Plain,1,1346,49,TRUE,49,TRUE
900056,Black River State Forest,WI,62422,Wisconsin Department of Natural Resources,State Conservation Area,Prairie-Forest Border,1,1422,50,TRUE,50,TRUE
900441,Quabbin Reservoir Watershed,MA,40645,DCR - Division of Water Supply Protection,Water Supply Land,Lower New England / Northern Piedmont,1,1462,51,TRUE,51,TRUE
3719,Bald Knob Wilderness - Shawnee National Forest,IL,5800,US Forest Service,National Forest,Ozarks,1,1546,52,TRUE,52,TRUE
5977,Assateague Island National Seashore,"MD, VA",6139,US National Park Service,National Seashore,Chesapeake Bay Lowlands,1,1697,53,TRUE,53,TRUE
1081,Dale Bumpers White River National Wildlife Refuge,AR,149285,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mississippi River Alluvial Plain,1,2256,54,TRUE,54,TRUE
900262,Hugo Wildlife Management Area,OK,12906,Department of Wildlife Conservation,State Conservation Area,Ouachita Mountains,1,2340,55,TRUE,55,TRUE
5114,Cedar Bluff Wildlife Area,KS,11336,State Fish and Wildlife,State Conservation Area,Central Mixed-Grass Prairie,1,2833,56,TRUE,56,TRUE
6219,City Greenspace,OR,3663,City of Forest Grove,Local Other,Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests,1,2860,57,TRUE,57,TRUE
900593,Upper Ouachita National Wildlife Refuge,LA,53589,U.S. Fish & Wildlife Service,National Wildlife Refuge,Upper West Gulf Coastal Plain,1,3194,58,TRUE,58,TRUE
6164,Sanganois State Fish and Wildlife Area,IL,10904,Other State Land,State Conservation Area,Central Tallgrass Prairie,1,3396,59,TRUE,59,TRUE
4045,Sabinoso - Taos Field Office,NM,17926,Bureau of Land Management,National Public Lands,Southern Shortgrass Prairie,1,3717,60,TRUE,60,TRUE
2788,Juniper Prairie Wilderness - Ocala National Forest,FL,14293,US Forest Service,National Forest,Florida Peninsula,1,3875,61,TRUE,61,TRUE
3471,Sam D. Hamilton Noxubee National Wildlife Refuge,MS,47171,U.S. Fish & Wildlife Service,National Wildlife Refuge,Upper East Gulf Coastal Plain,1,3962,62,TRUE,62,TRUE
6469,Hulah Wildlife Management Area,"KS, OK",19828,Department of Wildlife Conservation,State Conservation Area,Osage Plains/Flint Hills Prairie,1,4136,63,TRUE,63,TRUE
6610,Pass A Loutre Wildlife Management Area,LA,115322,State Fish and Wildlife,State Conservation Area,Gulf Coast Prairies And Marshes,1,4203,64,TRUE,64,TRUE
7973,Lost Maples State Natural Area,TX,2876,Texas Parks and Wildlife Department,State Conservation Area,Edwards Plateau,1,4423,65,TRUE,65,TRUE
4964,Flat River State Game Area,MI,8614,Michigan Department of Natural Resources,State Conservation Area,North Central Tillplain,1,5491,66,TRUE,66,TRUE
1646,Hugo Lake State Park,OK,6376,Tourism and Recreation Department,State Park,Crosstimbers And Southern Tallgrass Prairie,1,5561,67,TRUE,67,TRUE
900613,Wharton State Forest,NJ,11152,New Jersey Department of Environmental Protection,State Forest,North Atlantic Coast,1,5788,68,TRUE,68,TRUE
2778,North Cascades National Park,WA,499355,National Park Service,National Park,North Cascades,2,3,69,TRUE,69,TRUE
2827,Buckhorn Wilderness - Olympic National Forest,WA,36325,US Forest Service,National Forest,Pacific Northwest Coast,2,18,70,TRUE,70,TRUE
900516,Sequoia National Park,CA,404600,National Park Service,National Park / Wild and Scenic River,Sierra Nevada,2,19,71,TRUE,71,TRUE
1909,Upper Burro Creek (East) - Kingman Field Office,AZ,18458,Bureau of Land Management,"National Public Lands
",Apache Highlands,2,21,72,TRUE,72,TRUE
1316,Pavant - Fishlake National Forest,UT,42517,US Forest Service,Inventoried Roadless Area,Utah High Plateaus,2,22,73,TRUE,73,TRUE
900256,High Peaks Wilderness,NY,275359,NYS DEC / NYS Department of Environmental Conservation,State Forest,Northern Appalachian / Acadian,2,29,74,TRUE,74,TRUE
900490,San Rafael Wilderness - Los Padres National Forest,CA,185493,US Forest Service,National Forest / Wild and Scenic River,California Central Coast,2,34,75,TRUE,75,TRUE
835,Citico Creek Wilderness - Cherokee National Forest,"NC, TN",16209,US Forest Service,National Forest,Southern Blue Ridge,2,43,76,TRUE,76,TRUE
3178,Mt. Ellen-Blue Hills - Richfield Field Office,UT,81405,Bureau of Land Management,Wilderness Study Area,Colorado Plateau,2,44,77,TRUE,77,TRUE
900036,Berryessa Snow Mountain National Monument - Ukiah Field Office,CA,94776,Bureau of Land Management,,Great Central Valley,2,49,78,TRUE,78,TRUE
900063,Bob Marshall Wilderness - Flathead National Forest,MT,711461,US Forest Service,National Forest / Wild and Scenic River,Canadian Rocky Mountains,2,67,79,TRUE,79,TRUE
4552,Voyageurs National Park,MN,122355,National Park Service,National Park,Superior Mixed Forest,2,73,80,TRUE,80,TRUE
4785,Wind Cave National Park,SD,33824,National Park Service,National Park,Black Hills,2,75,81,TRUE,81,TRUE
900564,Three Sisters Wilderness - Deschutes National Forest,OR,94052,US Forest Service,National Forest / Wild and Scenic River,West Cascades,2,93,82,TRUE,82,TRUE
900251,Hells Canyon - Nezperce National Forest,ID,72832,US Forest Service,National Recreation Area,Middle Rockies - Blue Mountains,2,102,83,TRUE,83,TRUE
900084,Cabeza Prieta National Wildlife Refuge,AZ,853879,U.S. Fish & Wildlife Service,National Wildlife Refuge,Sonoran Desert,2,125,84,TRUE,84,TRUE
322,Big Cypress National Preserve,FL,681487,National Park Service,Conservation Area,Tropical Florida,2,132,85,TRUE,85,TRUE
3608,Pecos Wilderness - Santa Fe National Forest,NM,192120,US Forest Service,National Forest,Southern Rocky Mountains,2,140,86,TRUE,86,TRUE
2810,Lake Chelan-Sawtooth Wilderness - Okanogan National Forest,WA,96235,US Forest Service,National Forest,Okanagan,2,144,87,TRUE,87,TRUE
900213,Gold Butte Part A - Las Vegas Field Office,NV,179397,Bureau of Land Management,Area of Critical Environmental Concern,Mojave Desert,2,153,88,TRUE,88,TRUE
1377,Absaroka-Beartooth Wilderness - Gallatin National Forest,"MT, WY",579125,US Forest Service,National Forest,Utah-Wyoming Rocky Mountains,2,160,89,TRUE,89,TRUE
900039,Big Bend National Park,TX,780608,National Park Service,National Park / Wilderness Study Area,Chihuahuan Desert,2,176,90,TRUE,90,TRUE
