"rank_top500","rank_top1000","place_id","name","owner","owner_name","designation","acres","eco_id","eco_name","states","facets","veg","footprint","landscape_score","national_rank","ecoregion_rank"
"1","1","900404","Olympic National Park","NPS","National Park Service","National Park","896742","17041","Pacific Northwest Coast","WA","173","32","0.009","87.89",1,1
"2","2","2621","Glacier Peak Wilderness - Mt. Baker National Forest","UFS","US Forest Service","National Forest","274961","17039","North Cascades","WA","72","33","0.004","85.58",2,1
"3","3","40","Anza-Borrego Desert State Park","SPR","California Department of Parks and Recreation","State Park","608024","17095","Sonoran Desert","CA","106","35","0.025","80.85",4,1
"4","4","900155","Desolation Canyon - Price Field Office","BLM","Bureau of Land Management","National Public Lands
 / Wilderness Study Area","226146","17047","Utah High Plateaus","UT","132","34","0.005","76.05",5,1
"5","5","900221","Grand Canyon National Park","NPS","National Park Service","National Park / Wilderness Study Area","1157563","17091","Colorado Plateau","AZ","101","59","0.006","74.89",6,1
"6","6","900597","Ventana Wilderness - Los Padres National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","209884","17085","California Central Coast","CA","85","27","0.016","74.50",7,1
"7","7","900034","Berryessa Snow Mountain - Mendocino National Forest","UFS","US Forest Service","National Forest","172709","17029","California North Coast","CA","71","36","0.015","73.01",9,1
"8","8","900216","Golden Trout Wilderness - Inyo National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","191653","17043","Sierra Nevada","CA","110","35","0.002","72.73",10,1
"9","9","60","Painted Bluffs - Apache National Forest","UFS","US Forest Service","Inventoried Roadless Area","43056","17088","Apache Highlands","AZ","63","32","0.046","72.33",11,1
"10","10","900115","Clark National Forest - Lewis","UFS","US Forest Service","Inventoried Roadless Area / National Forest","739745","17030","Canadian Rocky Mountains","MT","124","39","0.024","71.93",13,1
"11","11","1499","Great Smoky Mountains National Park","NPS","National Park Service","National Park","519597","17021","Southern Blue Ridge","NC, TN","33","17","0.035","71.27",16,1
"12","12","900242","Guadalupe Mountains National Park","NPS","National Park Service","National Park","87068","17090","Chihuahuan Desert","TX","89","47","0.005","71.07",17,1
"13","13","265","Baxter State Park","SPR","Baxter State Park Authority","State Park","175213","17016","Northern Appalachian / Acadian","ME","42","33","0.002","70.91",18,1
"14","14","1075","Custer State Park","SPR","State Park & Recreation","State Park","70409","17028","Black Hills","SD","45","15","0.095","70.59",21,1
"15","15","4007","Boundary Waters Canoe Area Wilderness - Superior National Forest","UFS","US Forest Service","National Forest","793697","17023","Superior Mixed Forest","MN","48","25","0.002","68.82",25,1
